"Gene" "BF" "LoF.BF" "nonLoF.BF"
"187" "PTAFR" 0.822203494414576 0.896972528746529 0.916642893805858
"188" "ATPIF1" 0.84954254381774 0.947086336479694 0.897006440801878
"189" "SESN2" 1.04028615384726 0.989042959756138 1.05181088807685
"190" "PHACTR4" 1.55945519266475 1.04996565710818 1.4852440002274
"191" "TRNAU1AP" 0.899951941842624 0.947086336479694 0.950232209227864
"192" "TAF12" 0.853915396933157 0.947086336479694 0.901623604989538
"193" "FABP3" 1.05315639853522 0.947086336479694 1.1119961908117
"194" "SPOCD1" 0.813512792854424 0.947086336479694 0.858963709558137
"195" "TMEM234" 0.861328476278033 0.896972528746529 0.960261823716824
"196" "LCK" 0.83825053587925 0.947086336479694 0.885083548977187
"197" "TSSK3" 0.915070555201917 1.010805244164 0.905288689868973
"198" "ZBTB8A" 0.879273634956504 0.962703148737229 0.913338276819642
"199" "SYNC" 1.06314620878264 1.05291366352133 1.00971831368119
"200" "YARS" 1.14511782514513 1.14312417830709 1.00174403347937
"201" "FNDC5" 1.04873051051402 0.947086336479694 1.10732302866087
"202" "RNF19B" 0.847195746815826 0.958151055711357 0.884198521481402
"203" "AZIN2" 0.650054753700645 0.896972528746529 0.724720917160152
"204" "HMGB4" 0.858517859880736 0.936363337716117 0.91686402628145
"205" "CSMD2" 0.553781390465494 1.05291366352133 0.525951376310804
"206" "GJB5" 1.12629717833912 1.05291366352133 1.06969566200934
"207" "GJB4" 1.00650010276696 0.93146952422216 1.08055076048511
"208" "ZMYM6" 1.03045147729642 1.05291366352133 0.978666640007508
"209" "KIAA0319L" 0.956936927056953 0.962703148737229 0.994010384522125
"210" "NCDN" 0.927924489337191 1.10862718282991 0.837003190710648
"211" "CLSPN" 0.89650483540068 1.164020468508 0.770179614238045
"212" "AGO1" 1.03491938384299 1.05291366352133 0.982910014085901
"213" "TEKT2" 0.700133012932335 0.934086423057424 0.749537725471569
"214" "ADPRHL2" 0.98940684209608 0.947086336479694 1.04468495002651
"215" "MRPS15" 0.900223823207836 1.11235246634439 0.809297278016842
"216" "CSF3R" 1.09359745651614 1.10862718282991 0.986442939027167
"217" "GNL2" 1.92122905732663 0.863518277755078 2.22488522457373
"218" "C1orf109" 1.17307731461102 1.05291366352133 1.11412488530904
"219" "YRDC" 0.814124127745622 0.896972528746529 0.907635520212997
"220" "INPP5B" 0.810027501399533 1.10862718282991 0.73065816348814
"221" "SF3A3" 0.90801471824149 0.947086336479694 0.958745452517631
"222" "FHL3" 1.74244952347176 1.05291366352133 1.65488357102744
"223" "UTP11L" 0.868421169635606 0.980756989207225 0.885460087659
"224" "RRAGC" 1.04247892532291 1.05291366352133 0.990089654489309
"225" "GJA9" 1.20689458141942 1.29046473275838 0.935240267155284
"226" "RHBDL2" 1.02112246631895 1.01364329922044 1.00737850001501
"227" "KIAA0754" 1.4644115689701 1.04996565710818 1.39472330266819
"228" "BMP8B" 1.48707145645032 1.05291366352133 1.41233940442658
"229" "TRIT1" 0.92661611609256 0.947086336479694 0.978386109482667
"230" "PPT1" 0.941719802129898 0.926461894221527 1.01646900752587
"231" "TMCO2" 0.829853281981025 0.832575688856311 0.996730138878994
"232" "ZMPSTE24" 0.896497571502919 0.896972528746529 0.999470488528479
"233" "ZFP69B" 0.908669058690641 0.849510426173477 1.06963850082881
"234" "ZFP69" 1.01184177392715 0.947086336479694 1.06837332031223
"235" "CTPS1" 1.20954971974202 1.10862718282991 1.09103379249145
"236" "SCMH1" 1.12502153004472 0.947086336479694 1.18787642341712
"237" "RIMKLA" 1.94287231390695 1.05291366352133 1.84523421171045
"238" "ZMYND12" 1.03277605968915 1.0832315059361 0.953421363789318
"239" "CCDC30" 1.04612639242136 1.05291366352133 0.993553819904594
"240" "PPIH" 0.995655218408211 0.947086336479694 1.05128242279267
"241" "LEPRE1" 0.520513138134302 0.93146952422216 0.558808554223999
"242" "ERMAP" 0.968569588516793 1.22905423050938 0.788060904452824
