"Gene","BF","LoF.BF","nonLoF.BF"
"DLG2",0.919860513126375,1,0.919860513126375
"ACTR5",0.919813196878514,1,0.919813196878514
"KIF18A",0.919751406205887,1,0.919751406205887
"RNF220",0.919730223191762,1,0.919730223191762
"ZNF107",0.919681226068839,1,0.919681226068839
"WNK4",0.919562891400333,0.999999999999998,0.919562891400335
"MPRIP",0.919516139148516,1,0.919516139148516
"BZRAP1",0.919423449324494,1,0.919423449324494
"ATP2B4",0.919407649385569,1,0.919407649385569
"SEMA3F",0.919399052763549,1,0.919399052763549
"C14orf37",0.919307985674187,1,0.919307985674187
"PSD3",0.919272261438205,1,0.919272261438205
"ZNF76",0.919271946233737,1,0.919271946233737
"SLC10A2",0.919263041592528,0.999999999999999,0.919263041592529
"BUD13",0.919132306114851,1,0.919132306114851
"MYCBPAP",0.919102863838384,1,0.919102863838384
"IL17RA",0.919047608075604,1,0.919047608075604
"ZNF253",0.919042312368587,1,0.919042312368585
"FCRL2",0.918954174063969,1,0.918954174063968
"SULT1A2",0.918928998836953,1,0.918928998836953
"THEMIS",0.918860952421722,1,0.918860952421722
"FCGBP",0.918845845224562,0.999999999999999,0.918845845224564
"FAM81B",0.918805134036408,0.999999999999999,0.918805134036409
"CACNB2",0.918801604053879,1,0.918801604053879
"HSD3B1",0.918800186548019,1,0.918800186548019
"CRB1",0.918728145968217,1,0.918728145968217
"ADNP2",0.918669312527949,1,0.918669312527949
"KIAA1429",0.918640682727173,1,0.918640682727173
"TCF3",0.91863544542984,1,0.91863544542984
"EXOSC10",0.918588631264004,1,0.918588631264004
"RFX5",0.918533648779163,1,0.918533648779163
"SLC27A3",0.918465803852198,0.999999999999998,0.9184658038522
"CDH24",0.918354324329991,1,0.918354324329989
"GGCX",0.918332361952001,1,0.918332361952001
"EPHA8",0.918291755248916,1,0.918291755248916
"TBC1D5",0.918201207042371,1,0.91820120704237
"ZEB1",0.918128641790309,1,0.918128641790309
"GLTSCR1L",0.918049508307098,1,0.918049508307098
"SPTBN1",0.9179464384582,1,0.9179464384582
"SLITRK6",0.917939263144877,1,0.917939263144877
"GIGYF2",0.917834728437047,1,0.917834728437047
"KRT2",0.917790863592884,1,0.917790863592884
"DLK1",0.917748719374836,1,0.917748719374836
"ROBO1",0.917736265384944,1,0.917736265384944
"COL18A1",0.917695969733312,1,0.917695969733312
"WDR6",0.917683665047547,1,0.917683665047544
"SLC4A7",0.917675874403121,1,0.917675874403121
"GCC2",0.917652339899768,1,0.917652339899768
"HHIPL2",0.917649255141039,1,0.917649255141039
"NUP98",0.917586535049729,1,0.917586535049729
"NHLRC2",0.917501601237392,1,0.917501601237391
"SLC27A4",0.91744674502984,1,0.91744674502984
"TTC39B",0.917383491159698,0.999999999999999,0.9173834911597
"SLC2A7",0.917291583890166,1,0.917291583890166
"SPHKAP",0.91725060048227,1,0.91725060048227
"PCDHAC2",0.917228460827935,1,0.917228460827935
"MAPK8IP3",0.917223355562949,1,0.917223355562949
"MICAL1",0.917209013350252,0.999999999999999,0.917209013350253
"RSRC1",0.917098342056204,1,0.917098342056204
"CRNKL1",0.917017614778109,0.999999999999999,0.91701761477811
"SLC41A3",0.916995831408817,1,0.916995831408817
"SPNS1",0.916941446177287,1,0.916941446177287
"BCL9L",0.916906116954147,1,0.916906116954147
"ACTN1",0.91690137959711,1,0.91690137959711
"ACAD10",0.916795553288346,1,0.916795553288346
"BLM",0.916782512221384,1,0.916782512221382
"MIER2",0.916700961346753,1,0.916700961346753
"MYO7B",0.916695486531933,0.999999999999999,0.916695486531934
"CDHR5",0.916636107298974,1,0.916636107298974
"TRPM2",0.916613054634539,0.999999999999997,0.916613054634542
"PSD4",0.916600278679581,1,0.916600278679581
"CRIPAK",0.916571133640713,0.999999999999998,0.916571133640715
"ZNF214",0.916559737159699,1,0.916559737159699
"PLOD3",0.916516205297305,1,0.916516205297305
"KIF2C",0.916472442832823,0.999999999999999,0.916472442832825
"GAL3ST4",0.916403953938969,0.999999999999999,0.91640395393897
"MFI2",0.916354990934146,1,0.916354990934146
"VPS16",0.916301086316278,1,0.916301086316278
"CEP250",0.916299750253474,1,0.916299750253474
"PSG3",0.916285673659285,1,0.916285673659283
"SMG8",0.916253754269978,1,0.916253754269978
"EXD1",0.916208358827259,1,0.916208358827259
"ACIN1",0.916196542249801,1,0.916196542249801
"MX2",0.916128344551479,1,0.916128344551479
"CNTNAP1",0.916105687749464,1,0.916105687749464
"CCR5",0.916059222143652,1,0.916059222143649
"NOD1",0.91605449816933,0.999999999999998,0.916054498169332
"PKD1L1",0.916052749992005,1,0.916052749992003
"TSNAXIP1",0.915954493712324,1,0.915954493712324
"PCDH12",0.915891406913956,1,0.915891406913956
"CLK3",0.915890720052261,1,0.915890720052261
"TUT1",0.915793486263873,1,0.915793486263873
"FBN3",0.915766818319964,1,0.915766818319964
"APAF1",0.915759726566294,1,0.915759726566294
"EFTUD1",0.915749635334941,1,0.915749635334941
"DSG2",0.915730551317308,1,0.915730551317308
"CSGALNACT1",0.915716271986905,1,0.915716271986905
"CLSTN3",0.915681997481659,1,0.915681997481659
"CAPN2",0.915599106333992,1,0.915599106333992
"C19orf40",0.915596398126,1,0.915596398126
"DUOX1",0.915532903793699,0.999999999999998,0.9155329037937
"SEMA4D",0.91549606859327,1,0.91549606859327
"DAGLB",0.915492739545793,1,0.915492739545793
"SYNE3",0.915434313283456,1,0.915434313283456
"SPG20",0.915393991661189,1,0.915393991661189
"AZIN2",0.915387568786169,1,0.915387568786169
"ZNF786",0.915379187400632,1,0.915379187400632
"SIDT2",0.915335937644618,1,0.915335937644618
"PLXND1",0.915250274531662,1,0.915250274531662
"ANGEL2",0.915193454289372,1,0.915193454289372
"CHRNB1",0.915125060730444,0.999999999999999,0.915125060730445
"GRAMD1C",0.915101875617009,1,0.91510187561701
