Gene,BF,LoF.BF,nonLoF.BF
SLC4A8,4.004486156,1,4.004486156
SCN8A,1.652252501,1,1.652252501
ACVR1B,0.461061563,1,0.461061563
MAP3K12,0.508443656,1,0.508443656
SMARCC2,0.391124451,1,0.391124451
ANKRD52,1.213054182,1,1.213054182
KIF5A,0.943852473,1,0.943852473
CPSF6,1.168940324,1,1.168940324
PPFIA2,0.372042769,1,0.372042769
ATP2B1,0.937299274,1,0.937299274
PLXNC1,0.166972948,1,0.166972948
HCFC2,0.744585554,1,0.744585554
ATP2A2,0.645399798,1,0.645399798
CUX2,1.158964574,1,1.158964574
MED13L,0.247331841,1,0.247331841
KSR2,0.312272476,1,0.312272476
FZD10,1.091054611,1,1.091054611
PSPC1,0.867079952,1,0.867079952
XPO4,0.764649131,1,0.764649131
CDK8,1.17855166,1,1.17855166
FRY,0.095741188,1,0.095741188
PDS5B,1.812432225,1,1.812432225
NBEA,0.617965846,1,0.617965846
DCLK1,0.3830397,1,0.3830397
IPO5,0.99825561,1,0.99825561
ZIC2,1.283173684,1,1.283173684
ARGLU1,0.857504992,1,0.857504992
NYNRIN,0.631613492,1,0.631613492
BAZ1A,4.42458701,1,4.42458701
FOXA1,0.712027149,1,0.712027149
KCNH5,1.015538344,1,1.015538344
HSPA2,0.797197189,1,0.797197189
GPHN,0.83335035,1,0.83335035
ACTN1,1.686918914,1,1.686918914
RBM25,1.214063818,1,1.214063818
DICER1,0.258377837,1,0.258377837
BCL11B,0.841035426,1,0.841035426
CYP46A1,0.557373818,1,0.557373818
NIPA1,0.898015315,1,0.898015315
UBE3A,0.813776686,1,0.813776686
HERC2,0.12605744,1,0.12605744
SLC12A6,0.983299488,1,0.983299488
ACTC1,0.709011297,1,0.709011297
AQR,0.391683513,1,0.391683513
MEIS2,0.519010491,1,0.519010491
RTF1,0.572502035,1,0.572502035
CKMT1B,0.973937455,1,0.973937455
FOXB1,0.680482242,1,0.680482242
SKOR1,1.158964574,1,1.158964574
PIAS1,0.982712313,1,0.982712313
FEM1B,0.985532171,1,0.985532171
TLE3,0.96296816,1,0.96296816
ARIH1,1.070718872,1,1.070718872
HCN4,0.308240569,1,0.308240569
CSK,1.158964574,1,1.158964574
SIN3A,0.510825053,1,0.510825053
LINGO1,2.536092866,1,2.536092866
SLCO3A1,1.030640113,1,1.030640113
MAPK8IP3,1.328671001,1,1.328671001
CASKIN1,0.800954354,1,0.800954354
ZSCAN10,1.629196504,1,1.629196504
CREBBP,2.431131603,1,2.431131603
USP7,0.364015657,1,0.364015657
GRIN2A,0.378416896,1,0.378416896
PRKCB,0.454900555,1,0.454900555
CACNG3,1.039841233,1,1.039841233
PPP4C,0.884638045,1,0.884638045
CORO1A,0.662723353,1,0.662723353
ZNF689,0.796423382,1,0.796423382
SETD1A,0.227402048,1,0.227402048
CHD9,1.904021324,1,1.904021324
IRX5,0.841035426,1,0.841035426
ZNF319,0.980169612,1,0.980169612
CTCF,0.831375343,1,0.831375343
EDC4,0.683752361,1,0.683752361
SF3B3,1.296304214,1,1.296304214
KLHL36,1.312782466,1,1.312782466
SLC7A5,1.113009932,1,1.113009932
TUBB3,0.598572819,1,0.598572819
ABR,1.411775389,1,1.411775389
DLG4,0.573564308,1,0.573564308
NEURL4,0.567865483,1,0.567865483
POLR2A,0.839800693,1,0.839800693
KDM6B,2.250474487,1,2.250474487
MYH10,4.481564487,1,4.481564487
USP22,0.3549514,1,0.3549514
TAOK1,1.679380889,1,1.679380889
GIT1,1.620939667,1,1.620939667
CDK5R1,0.974730264,1,0.974730264
SRCIN1,0.681353824,1,0.681353824
THRA,1.222181191,1,1.222181191
RARA,1.070718872,1,1.070718872
TOP2A,0.558266447,1,0.558266447
KAT2A,1.258301141,1,1.258301141
STAT5B,1.240414417,1,1.240414417
STAT3,0.527247585,1,0.527247585
EZH1,1.242905437,1,1.242905437
NAGS,0.805880373,1,0.805880373
UBTF,0.83401967,1,0.83401967
EFTUD2,1.033658921,1,1.033658921
CDC27,0.841035426,1,0.841035426
KPNB1,0.800998274,1,0.800998274
HOXB8,0.831375343,1,0.831375343
IGF2BP1,1.110615698,1,1.110615698
KAT7,1.023973698,1,1.023973698
COL1A1,1.068184749,1,1.068184749
CACNA1G,0.332064778,1,0.332064778
DHX40,0.463520647,1,0.463520647
CLTC,1.961251259,1,1.961251259
TLK2,1.690008224,1,1.690008224
MRC2,1.68228491,1,1.68228491
PSMC5,0.555461661,1,0.555461661
HELZ,0.662372007,1,0.662372007
BPTF,0.960337416,1,0.960337416
SOX9,0.841035426,1,0.841035426
UNK,0.504610005,1,0.504610005
UBE2O,0.284498918,1,0.284498918
CBX4,0.841035426,1,0.841035426
DLGAP1,0.8225804,1,0.8225804
ROCK1,0.615156672,1,0.615156672
CXXC1,0.983115854,1,0.983115854
TCF4,1.411515213,1,1.411515213
KIAA1468,0.088249097,1,0.088249097
HCN2,0.96353457,1,0.96353457
DOT1L,0.763358089,1,0.763358089
PIP5K1C,0.93242885,1,0.93242885
EEF2,0.497318586,1,0.497318586
PTPRS,1.860311761,1,1.860311761
SAFB2,1.008403414,1,1.008403414
SAFB,0.721628467,1,0.721628467
VAV1,0.675225745,1,0.675225745
PNPLA6,1.82478347,1,1.82478347
CAMSAP3,1.063153988,1,1.063153988
EVI5L,0.828079634,1,0.828079634
ELAVL1,1.132493876,1,1.132493876
DNMT1,1.343461654,1,1.343461654
ILF3,0.772545096,1,0.772545096
SMARCA4,1.283173684,1,1.283173684
TNPO2,0.649966314,1,0.649966314
NFIX,0.794512075,1,0.794512075
NACC1,1.158964574,1,1.158964574
LPHN1,0.684618147,1,0.684618147
BRD4,0.359461761,1,0.359461761
CHERP,0.821718976,1,0.821718976
ANO8,1.624460043,1,1.624460043
MAST3,1.090677052,1,1.090677052
MAU2,1.627622703,1,1.627622703
ATP13A1,0.866485538,1,0.866485538
ACTN4,1.055961057,1,1.055961057
HNRNPL,1.079194525,1,1.079194525
SAMD4B,1.019361211,1,1.019361211
SUPT5H,1.171381885,1,1.171381885
HNRNPUL1,0.783026904,1,0.783026904
ATP1A3,0.911923089,1,0.911923089
GRIK5,0.386138231,1,0.386138231
MEGF8,0.887767934,1,0.887767934
CADM4,0.826412302,1,0.826412302
CLASRP,0.690372563,1,0.690372563
MARK4,0.641489008,1,0.641489008
PPP1R13L,1.199244927,1,1.199244927
GPR4,0.76516111,1,0.76516111
SYMPK,0.463463703,1,0.463463703
NOVA2,0.923858154,1,0.923858154
PRKD2,1.549802319,1,1.549802319
ARHGAP35,0.688280055,1,0.688280055
ZC3H4,0.127302167,1,0.127302167
SLC8A2,1.491762322,1,1.491762322
GRIN2D,0.602096397,1,0.602096397
RUVBL2,1.427310825,1,1.427310825
PPFIA3,1.199907647,1,1.199907647
PRR12,0.841035426,1,0.841035426
AP2A1,1.471492953,1,1.471492953
KCNC3,0.677425075,1,0.677425075
SHANK1,0.939186306,1,0.939186306
PPP2R1A,0.96353457,1,0.96353457
PRKCG,0.375157854,1,0.375157854
CNOT3,0.974730264,1,0.974730264
BRSK1,0.573463697,1,0.573463697
ZBTB45,1.084107747,1,1.084107747
MYT1L,0.834347682,1,0.834347682
KCNF1,1.158964574,1,1.158964574
ROCK2,0.502499388,1,0.502499388
ATAD2B,1.649039722,1,1.649039722
DNMT3A,1.158964574,1,1.158964574
NRXN1,0.571586717,1,0.571586717
SPTBN1,0.985082966,1,0.985082966
BCL11A,0.468771126,1,0.468771126
XPO1,1.286432758,1,1.286432758
CTNNA2,1.087990047,1,1.087990047
ZAP70,2.02414527,1,2.02414527
INPP4A,1.034103632,1,1.034103632
MAP4K4,0.985704635,1,0.985704635
ZEB2,1.608339424,1,1.608339424
KIF5C,0.755032732,1,0.755032732
NR4A2,0.449474047,1,0.449474047
SCN1A,2.183241137,1,2.183241137
TLK1,1.392786516,1,1.392786516
SF3B1,1.351633541,1,1.351633541
SATB2,1.57403329,1,1.57403329
FZD7,0.831375343,1,0.831375343
CUL3,1.49505807,1,1.49505807
TRIP12,7.98923416,1,7.98923416
PSMD1,0.430745463,1,0.430745463
KIF1A,0.639173035,1,0.639173035
PLCB4,0.725957492,1,0.725957492
KIF3B,0.52509782,1,0.52509782
RBM39,0.918586524,1,0.918586524
SRC,1.250748224,1,1.250748224
PPP1R16B,1.61048365,1,1.61048365
TOP1,0.850389167,1,0.850389167
SLC12A5,0.764616294,1,0.764616294
KCNB1,0.335708594,1,0.335708594
ZFP64,0.768687532,1,0.768687532
GNAS,1.517382022,1,1.517382022
EEF1A2,1.158964574,1,1.158964574
PRDM15,0.030090033,1,0.030090033
ABCG1,0.175392399,1,0.175392399
ADARB1,1.201732399,1,1.201732399
HIRA,6.70711248,1,6.70711248
TOP3B,3.599324738,1,3.599324738
GNAZ,0.794897687,1,0.794897687
SMARCB1,0.819782683,1,0.819782683
PATZ1,0.931171279,1,0.931171279
EIF3D,0.52021547,1,0.52021547
CACNG2,1.18547047,1,1.18547047
CSNK1E,1.101131185,1,1.101131185
KCNJ4,0.670423801,1,0.670423801
CACNA1I,0.529935942,1,0.529935942
ACO2,0.953560301,1,0.953560301
SHANK3,0.841035426,1,0.841035426
BRPF1,0.45464852,1,0.45464852
SLC6A1,2.138387529,1,2.138387529
TRIM71,0.838833235,1,0.838833235
