"","LoF_pvalue","All_variants_pvalue","fisher_combine_pvalue"
"CMC1",1,0.9990234375,0.999999523007546
"LRRC15",0.85546875,0.13389359223072,0.31065904694867
"RXFP1",1,0.263998321481896,0.529189594760581
"TCP11L1",1,0.2068207569701,0.53275016060504
"XIRP1",0.820358276367187,0.708364532077004,0.887134710644782
"MRPL19",1,0.167648194336672,0.442508693941873
"HS3ST1",1,0.767646547698548,0.970632158625032
"CDHR4",0.245069283551951,0.0974515445338084,0.156333742688847
"TAC4",1,0.7734375,0.846573590279973
"ST6GALNAC2",0.890625,0.304900198814239,0.56031627579945
"BBOF1",0.75,0.682003183978298,0.854572645483481
"OPALIN",1,0.41323507022126,0.762967781496986
"GRXCR1",0.5,0.5,0.613342818216194
"ZNF550",0.34375,0.17780994588244,0.250518344019057
"ARMCX6",1,0.878507522982545,0.979448848828214
"TPRA1",1,0.897395277421238,0.994546256325574
"FTSJ1",1,0.236564829945564,0.577580835692433
"TIGIT",0.25,0.950083521550868,0.584121784280046
"RTL4",1,0.923796114019261,0.99701978528476
"ANKRD37",1,0.615005302407115,0.913974379525285
"TNFSF4",1,0.255687890792615,0.525921365117927
"EXT1",1,0.101086553048088,0.332754508427346
"POMK",0.85546875,0.0963168109870944,0.227361031450482
"C12orf50",1,0.881779305579081,0.989958496535504
"ETV7",0.6875,0.297823861056076,0.528810861103929
"KRR1",1,0.662388770041971,0.935228446169457
"RBM34",0.3125,0.74194518293354,0.591679678248463
"MT1B",1,0.163110617426696,0.458883450790433
"SHISA3",1,0.564292660317733,0.887170910447914
"ATP5PB",1,0.767646547698548,0.970632158625032
"ENPP6",0.75,0.862775132702011,0.929069821621067
"SH3BP2",0.9375,0.516334459390708,0.812018585713803
"YAE1",1,0.866502113590643,0.990663834515167
"IGLL1",1,0.152029938857706,0.438405361346693
"DNAJB7",0.75,0.40862399588278,0.668739267432578
"OR1J1",0.250750051324161,0.152316446537752,0.210049043121423
"FSTL1",1,0.551289086504285,0.879579504527506
"C5orf51",0.6875,0.0693989916789156,0.190714584366809
"CALML3",0.75,0.423401037594598,0.681202494931526
"ASB14",0.5,0.825027293462688,0.786215286271029
"C1orf35",1,0.108678053152103,0.34987436494456
"OR5K3",0.75,0.096871822181874,0.262331395768668
"TRIM47",0.75,0.384994697592885,0.646867450376108
