"","LoF_pvalue","LoF+Missense_pvalue","fisher_combine_pvalue"
"CPLX1",1,0.855387068476223,1
"MITF",1,0.13809640145225,0.411500109514346
"CFP",1,0.0605868346113852,0.230452789310312
"BCL2L14",1,0.671544460663754,0.938936712716183
"WDHD1",1,0.114330921325213,0.359362795250076
"COPZ1",1,0.179356597904318,0.487559260875421
"FAM83G",1,0.593245949946378,0.902626641210421
"JADE3",1,0.710599871815205,0.953373316294054
"GTF2E2",0.49996572290589,0.782571963652119,0.805180665667453
"KPNB1",1,0.273901592291963,0.628600426324168
"CALB2",0.49996572290589,0.0346016537782432,0.123810760570129
"EPAS1",1,0.903863824871767,0.997891910650041
"PRL",1,0.541786536537471,0.873838402304909
"FSTL4",1,0.598669058400375,0.897465437074745
"NFASC",1,0.743716475133893,0.956197478461775
"INTS6L",1,0.758882178849016,0.96826440896393
"RGS9",0.726487526564926,0.149412279186835,0.378673268283556
"TSKU",1,0.425574484987564,0.789149276009837
"PCDHGA2",0.374914345456448,0.150204965124336,0.245831697240154
"SLC5A4",0.617496331661471,0.557957605939618,0.772342442822455
"DTD2",1,0.14323102496824,0.537522073482638
"CDK14",1,0.288305952066531,0.624582511810444
"EEF2K",0.0071580283088863,0.0565467102259201,0.00961646120968023
"CRTC1",1,0.312989121369828,0.676553167397694
"ING3",1,0.262847494783438,0.614059397527189
"SPOUT1",0.49996572290589,0.0303501345032976,0.0997120173198247
"OR5M9",1,0.629868849766141,0.92073805111484
"IMPG1",0.548673561199024,0.483242057021899,0.669993644519618
"BRSK2",1,0.914229574737375,0.999061652678479
"ZNF771",1,0.768561096578238,0.970873444448269
"CHD7",1,0.0313042822884149,0.139742327920542
"BIRC7",1,0.36730367004401,0.752542746996831
"SERPINA4",1,0.137596881007939,0.35254295773536
"GRIN3A",1,0.0210561645104422,0.108428752877209
"PSME3",1,0.548673561199024,0.878015755442931
"MS4A14",1,0.644954157402322,0.916560203049599
"EHMT1",1,1,1
"ARF1",1,0.624948586120971,0.91872810145408
"FXYD5",1,1,1
"ATXN7L2",1,0.848294727039138,0.994646149623767
"TBC1D13",1,0.885245149321759,1
"CEACAM1",1,0.0771572335000792,0.242314947089976
"BRD8",1,0.713469142599904,0.954161966444597
"CCT4",1,0.708230019647836,0.924936417602257
"CPNE2",1,0.543698487609256,0.875006835342233
"APPBP2",1,0.495819551418516,0.843658399071829
"ASL",0.453012582262561,0.313137565311814,0.31329270149104
"SENP2",1,0.154163675614569,0.442409730020606
"TRIP6",0.624948586120971,0.193931506899001,0.411548502088574
"B3GNT3",1,0.394315597670321,0.778436989058393
"UBE2Z",1,0.687435734853583,0.945077663757844
"RDH8",0.453012582262561,0.929345966035884,0.740880661829155
"PPP6R3",1,0.812868124700658,0.988081784517676
"CTBS",1,0.0757542714140401,0.271220021701522
"KLHL32",1,0.808512715463869,0.980344453852067
"NXF1",1,0.626481287547291,0.919446724816666
"IBTK",1,0.64978254971298,0.945950782546812
"UPF3B",1,0.0199299483633549,0.0979662936701601
"YKT6",1,1,1
"SEC16B",0.285913946405238,0.0932405793848137,0.094852952674382
"SRPK1",0.343581477453416,0.247352615457653,0.359932824511701
"NDP",1,0.628855533775774,0.812699974704968
"SLCO1A2",0.453012582262561,0.461896026657864,0.558646574339527
"NLK",1,1,1
"CA4",1,0.779277007019802,0.973509643423331
"MAPK14",1,0.217270281397938,0.548957953143965
"WDR24",1,0.294932583427355,0.655047768677179
"TRPC6",1,0.659757560018849,0.904371613246639
"MYBPC2",0.361099136754314,0.95228121449243,0.692118365706723
"MUC15",1,0.414000877655967,0.778202847422094
"NPTX2",1,0.344640405801154,0.711769875852687
"RPGR",1,0.327772298406737,0.708978382787572
"OR2A2",1,1,1
"EXOC7",1,0.334928644805746,0.735075050530358
"CLEC18A",1,0.013848197477315,0.0916608284757287
"PDLIM7",1,0.714712227439424,0.940591097145012
"C2orf16",0.580882465162443,0.0519719961268059,0.155506139681796
"DPP3",1,0.313056459792749,0.675518623432072
"CPSF3",1,0.548165021200393,0.876662848250582
"CPA5",0.0624572285219894,0.197744687190833,0.0832204356988903
"ARIH1",1,0.266630705624587,0.619087356519719
"SLC10A4",1,1,1
"STIP1",1,0.698292519412905,0.90760926786033
"KCTD13",1,0.174950408706671,0.479933185255963
"CCDC120",1,0.0185246874562701,0.0924132002217768
"KCNK12",1,0.469320038774038,0.824346736432477
"GLUL",1,1,1
"LMAN1L",0.584567987476984,0.756100726079171,0.673103676018874
"ERBB2",0.49996572290589,0.237472833913689,0.400149993425111
"PPARGC1B",1,0.808256179567798,0.985593794120419
"TRIM14",1,0.621765576239054,0.938977541692399
"SNRPG",1,0.124948635472415,0.384823372622846
"PDZD8",1,0.86420693922778,0.990331914909295
"NTF3",1,0.0431102533918638,0.178648649174866
"DDX50",0.374914345456448,0.40546525721794,0.518494059518609
"DNAJC7",1,0.481694812945589,0.881790281086997
"TTLL1",0.624948586120971,0.767990761788019,0.752513440645196
"LAMTOR2",1,0.218653694808287,0.551065495318603
"ERGIC3",1,0.0918034629546966,0.367490641672675
"CCPG1",1,0.711143406672836,0.960009549207475
"LAMB3",0.523150401718471,0.386825424802641,0.561494477615361
"NSUN7",0.507677603335609,0.000437022921731326,0.0031504840892882
"SLC38A9",1,0.141098270243513,0.38088803941513
"EDF1",1,0.343581477453416,0.710640220025029
"PCED1A",0.49996572290589,0.0605604597607574,0.1615165804312
"SAMD14",1,0.235181770379365,0.572342071999435
"CENPV",1,0.358967824226956,0.579062291055581
"SYT9",1,0.60597582209804,0.909518316909119
"ARL8B",1,0.0998099479646821,0.382854860804151
"NANP",1,0.183238768774252,0.570921313880343
"GUSB",1,0.927609954009395,0.997269450411451
"C8orf74",1,0.826099074696297,0.983822743923167
"CASP2",1,0.595593168765562,0.904228028710337
"GGA3",1,0.826234300173797,0.988900068366395
"CTDSPL2",1,1,1
"NACC2",1,0.670851175968009,0.938660306057266
"PNRC1",1,0.0347333652278368,0.151439366058648
"ECT2",1,0.0126966035258573,0.0774251165507822
"BPNT1",0.49996572290589,1,0.80318182647301
"ZNF676",0.408427145200901,0.601461787468584,0.467441339192443
"GLUD1",1,0.58894035942043,0.90074326463604
"ARPC5",1,0.387496703439846,0.754862153915102
"ZNF688",1,0.0648882581165336,0.242363392797929
"SRRM3",1,0.774269886642321,0.972355049204805
"GAL3ST3",1,0.00735496165993051,0.0484831881660335
"LRRC26",1,0.391843025723106,0.758958391348758
"CCDC27",0.850410650994555,0.838310561785906,0.95943870380617
"MYCN",1,0.900435536972804,0.994870247124385
"USP46",1,0.663393375756918,0.983452249697135
"WHAMM",1,0.171838726932798,0.458440857249815
"KIF2A",1,0.023500634490135,0.111645118967443
"KCNC2",1,0.428208867437527,0.788956864618395
"KCNA6",1,1,1
"TLN2",1,0.664195666276455,0.928981389651992
"TESK1",1,0.844686428042961,0.987260891067827
"ORM1",1,1,1
"CEP83",0.288927677347483,0.823330118469071,0.551685149776355
"AC093525.2",1,0.365859584623663,0.733733470567784
"GK",1,0.803511708884093,1
"PPP1R10",1,0.710599871815205,0.953373316294054
"RRP7A",0.374914345456448,0.549008624427329,0.584112433091611
"MYO1A",0.187555189103252,0.208441353106344,0.240819806318439
"SACM1L",1,0.569050268809724,0.912528619441699
"PPP1R13B",1,0.756962480184702,0.967732317190122
"UBE2E1",1,0.687435734853583,0.945077663757844
"DYNC1I2",1,0.719558131411114,0.920918989090519
"RAB5B",1,0.503148561794898,0.848746114312999
"NAA15",1,0.0553896512418962,0.215651991219725
"CDC42BPA",1,0.0498780216594428,0.215000884747671
"HIPK1",1,0.082887847271425,0.289300703330187
"NEK1",0.288927677347483,0.550550993478703,0.471137606108437
"GTF3C3",1,0.941512310115456,0.998236577755816
"FOXK1",1,0.518141473177309,0.858823097936689
"TMEM229B",1,0.628855533775774,0.920552515411743
"MAPK8IP3",1,0.851154722375771,0.978974196346318
"SPIN2A",1,0.803511708884093,0.979290759934002
"SNX3",1,0.628855533775774,0.979290759934002
"CWC15",1,1,1
"FOXN1",1,0.216175605426925,0.547284044092376
"IPO4",0.374914345456448,1,0.729109633378925
"ZNF180",1,0.536473800991229,0.870052696705923
"RPS24",1,0.55789421645184,0.88347342090325
"ROBO3",0.124948635472415,1,0.372155160677273
"KLF14",1,0.693424516858851,0.947296169961461
"NEK8",1,0.271710778261816,0.652227675998593
"CKB",1,0.198993136157356,0.520264558945022
"TTYH1",1,0.788505827728411,0.982335052266113
"VAX1",1,0.012898665335955,0.0690160042199261
"IQCG",1,0.17240856579329,0.496731077658245
"ZNF697",1,0.504056397908672,0.849368861006946
"MAPRE3",1,0.838687197175577,0.986226927183834
"MLC1",1,0.690809168666678,0.925830627817743
"TNFRSF21",1,0.680169680009547,0.957628790907592
"INSC",0.0350654670087748,0.501569539094448,0.107704080413324
"PHF20L1",0.49996572290589,0.259227416594433,0.345211021854032
"RPL17",1,0.307056749553173,0.669605622868182
"OMD",1,0.105494692097315,0.356622638856016
"RNF41",1,0.760447646368871,0.968694721582946
"PRPF4B",1,0.0370572488074589,0.159171678295397
"FGFR1OP",1,0.046936872396963,0.198775499439051
"SLC27A2",0.0624572285219894,0.870116290192298,0.224052858015577
"ITPKA",1,0.531408852407671,0.86737806331649
"RNPC3",0.624948586120971,0.47942804990197,0.736661379523997
"ACTN2",1,0.749272984360237,0.952781836843125
"SURF6",1,0.00267344489662642,0.0204927350513911
"TMCO3",1,0.030964147994254,0.136843190106507
"PRKCZ",1,0.513003270397562,0.85541913245792
"ERGIC1",1,0.0297098296797417,0.111500414045907
"PIM3",1,0.341302104554965,0.768196067600274
"FAM91A1",1,0.0459672120693701,0.187538269134213
"CTLA4",1,0.098449666040823,0.326676653168267
"TRABD2B",1,0.499187900888728,0.846010026208347
"CNEP1R1",1,0.0868594501420758,0.29909738808561
"TRAK1",1,0.253821101882536,0.601841708283728
"BTRC",1,1,1
"GMEB1",1,0.194372662422609,0.512750811595618
"ECSIT",0.624948586120971,0.116256848367618,0.271671150139969
"TAPT1",1,0.432092602577864,0.760720119823872
"CD63",1,0.307056749553173,0.669605622868182
"PPIE",1,0.543674135423965,0.819363109909967
"ZDHHC8",1,0.205225343036267,0.530229773978497
"PLA2G4A",1,0.592186022624857,0.918803195166467
"TFAP2C",1,0.401837834198079,0.768196067600274
"PPP4R3A",1,0.0537056104354659,0.210753586840551
"ATP6V1C1",0.49996572290589,0.149183262727733,0.137244114173235
"CLK1",0.22638608576044,0.0442044985017427,0.111250349624603
"HRH2",1,0.521838801441749,0.86124095666301
"CTSD",0.49996572290589,0.539932838240293,0.568294710753102
"GAPVD1",1,0.0970718328027341,0.344160954274204
"MTSS1L",1,0.320248758555907,0.684902317983378
"CDK13",1,1,1
"FBXL5",1,0.593176820895787,0.902970975154027
"GPR156",1,0.0291854746131546,0.131437689399816
"TAGLN3",1,0.109254824845677,0.351152904280573
"MEAF6",1,1,1
"SOS2",1,0.628840814998118,0.920545687879652
"FBXW4",1,0.896265052387364,0.994376319594965
"TMEM179",1,0.0523046324643349,0.206638359964007
"ZNF775",1,0.296622776289319,0.657106674659551
"ABCD4",1,0.714547128208831,0.954561561134825
