"","No_case","No_contr","OR","pval","eta_est","eta_pval","cate_index"
"ID gene_MPC<1_AF<0.0001",6904,6591,1.04748900015172,0.00361707303666716,0.052305980959648,0.00346466177100084,6
"High_PLI>=0.995_0.001<AF<0.01",NA,NA,NA,NA,NA,NA,1
"High_PLI>=0.995_0.0001<0.001",4,1,4,0.1875,0.999994056281036,0.182297698940937,1
"High_PLI>=0.995_AF<0.0001",25,14,1.78571428571429,0.0540645107030287,0.423812726575302,0.0711397053598566,1
"High_pLI within (0.5,0.995)_0.001<AF<0.01",NA,NA,NA,NA,NA,NA,2
"High_pLI within (0.5,0.995)_0.0001<0.001",NA,NA,NA,NA,NA,NA,2
"High_pLI within (0.5,0.995)_AF<0.0001",10,5,2,0.15087890625,0.472523479675862,0.175654094366194,2
"High_pLI<0.5_0.001<AF<0.01",14,12,1.16666666666667,0.422509491443634,4.36700920162701e-08,1,3
"High_pLI<0.5_0.0001<0.001",10,13,0.769230769230769,0.797563552856445,2.81166409427251e-05,1,3
"High_pLI<0.5_AF<0.0001",47,30,1.56666666666667,0.0337746257295132,0.306359482676962,0.0360645791568504,3
"High_MPC>=2_0.001<AF<0.01",199,183,1.08743169398907,0.221422659366723,7.53191538015651e-07,1,4
"High_MPC>=2_0.0001<0.001",21,13,1.61538461538462,0.114740506513044,0.433224437963055,0.403385952509707,4
"High_MPC>=2_AF<0.0001",167,159,1.05031446540881,0.349152520955513,0.016949036064323,0.909759107807502,4
"High_MPC within (1,2)_0.001<AF<0.01",829,813,1.01968019680197,0.355632859881092,4.97482391661388e-06,1,5
"High_MPC within (1,2)_0.0001<0.001",428,466,0.918454935622318,0.903958246575324,2.97798528235475e-05,1,5
"High_MPC within (1,2)_AF<0.0001",823,696,1.18247126436782,0.000609117689450536,0.19337753823307,0.000391893097064749,5
"High_MPC<1_0.001<AF<0.01",6630,6557,1.01113314015556,0.26533421372288,3.86724471723491e-06,1,6
"High_MPC<1_0.0001<0.001",2753,2679,1.02762224710713,0.160971372809963,0.000518058738718385,1,6
"High_MPC<1_AF<0.0001",2948,2789,1.05700968088921,0.0184846338322298,0.0521316222846691,0.0657291110245373,6
"Mod_PLI>=0.995_0.001<AF<0.01",NA,NA,NA,NA,NA,NA,1
