"","LoF_T","LoF_UT","LoF_OR","LoF_P_value","Missense_T","Missense_UT","Missense_OR","Missense_P_value","LoF+Missense_T","LoF+Missense_UT","LoF+Missense_OR","LoF+Missense_P_value"
"GHDC",4,3,1.33330279094402,1,217,209,1.03828582960021,0.730852484320105,221,212,1.04246324554166,0.696514212974355
"COMMD7",3,1,2.99997694771041,0.624948586120971,21,19,1.10524816333893,0.874457530461172,24,20,1.19998342271377,0.65109455497434
"FGFBP2",1,0,Inf,1,637,647,0.98454297023811,0.793395318917853,638,647,0.986088851490111,0.815969126977081
"IQCB1",9,6,1.49995100087584,0.607050407799402,263,231,1.13851756536657,0.169868237932966,272,237,1.14766794268888,0.136687807783392
"BAIAP2",1,0,Inf,1,33,54,0.611135006908054,0.030933978655809,34,54,0.629652908263207,0.0416133265546195
"RASSF5",2,0,Inf,0.49996572290589,100,100,1,1,102,100,1.02000167507365,0.943543571554895
"TRIR",0,0,0,1,5,4,1.24997834728159,1,5,4,1.24997834728159,1
"OR5AU1",13,8,1.62493722223108,0.382965117097471,283,230,1.230415438656,0.0219642149725674,296,238,1.24367678820713,0.0153081925216381
"ABHD11",1,0,Inf,1,140,118,1.1864255468046,0.18722243462302,141,118,1.19489930293557,0.167879635382892
"OR52R1",8,12,0.666688443710286,0.503148561794898,155,138,1.12317907661331,0.345240918319568,163,150,1.08663767929945,0.493126900380772
"PTPN23",0,0,0,1,674,631,1.06810691158591,0.259847671584001,674,631,1.06810691158591,0.259847671584001
"HPSE2",5,3,1.66659934587882,0.726487526564926,345,334,1.03294034583729,0.694697540606165,350,337,1.03858448034642,0.639551110289678
"ACSS3",4,0,Inf,0.124948635472415,314,260,1.20767527969388,0.0299095690709801,318,260,1.22305836010191,0.0196004783374117
"CYP2C9",2,2,1,1,267,235,1.1361598514769,0.173199344840179,269,237,1.13501083867979,0.174852665343525
"C8orf86",2,0,Inf,0.49996572290589,332,314,1.05734490270289,0.494514791066856,334,314,1.06371905781145,0.445874089195532
"SERPINB5",4,1,3.9993936007291,0.374914345456448,84,78,1.07688583800636,0.692962235086767,88,79,1.11391545633327,0.53368867333759
"FABP6",6,1,5.99928153460606,0.124910182969341,438,420,1.04286846188535,0.574089915036653,444,421,1.05465057130262,0.462444122752615
"SYTL4",0,0,0,1,78,67,1.16416601818724,0.404060122028284,78,67,1.16416601818724,0.404060122028284
"MMAA",7,4,1.7499237021537,0.548673561199024,52,48,1.08330048651026,0.763569171822077,59,52,1.13460496802765,0.567755125732239
"TPM4",0,0,0,1,19,21,0.90477417938341,0.874457530461172,19,21,0.90477417938341,0.874457530461172
"SDAD1",2,2,1,1,454,404,1.12375324922676,0.0987953246483389,456,406,1.12314363585309,0.0995413348273745
"PABPC1L",1,0,Inf,1,240,254,0.944863725572821,0.552157291202463,241,254,0.948803275964068,0.583504456169074
"ZNF433",20,19,1.05264696295577,1,83,103,0.805838626176881,0.160810195209525,103,122,0.844272958602873,0.226588405638008
"PANK1",2,0,Inf,0.49996572290589,511,484,1.05580501083619,0.412845303789988,513,484,1.05994032196894,0.376973065618238
"SPP1",16,11,1.45450151679578,0.441643045192726,98,88,1.11362780230438,0.50674519802922,114,99,1.15150326958966,0.333988797008359
"TMEM106A",1,2,0.500025679499842,1,122,86,1.41856479933515,0.0143924430519548,123,88,1.39768974388374,0.0182611243138538
"HIST2H2AB",1,0,Inf,1,4,1,3.9993936007291,0.374914345456448,5,1,4.99935160462203,0.218653694808287
"ZNF157",4,0,Inf,0.124948635472415,88,75,1.17331939806143,0.344640405801154,92,75,1.22664750387519,0.212992911127381
"NSMCE4A",1,0,Inf,1,59,45,1.31108303889621,0.200592100084227,60,45,1.33330284813912,0.170053404642791
"SEC61A1",0,0,0,1,7,5,1.39996211862962,0.774321289231259,7,5,1.39996211862962,0.774321289231259
"SLC35A2",0,0,0,1,74,77,0.961030643875612,0.870116290192298,74,77,0.961030643875612,0.870116290192298
"PLOD3",1,0,Inf,1,444,395,1.12404147328473,0.102482154973476,445,395,1.12657290315504,0.0954288441712421
"PIGY",0,0,0,1,76,55,1.38178237762913,0.0788674030634163,76,55,1.38178237762913,0.0788674030634163
"KIRREL3",1,0,Inf,1,102,110,0.92730359564911,0.628324816229637,103,110,0.936340386721899,0.678900910090602
"ZNF461",11,7,1.57137166906517,0.480408072445365,631,696,0.906615140696272,0.09068786168885,642,703,0.913241506163068,0.117010989507932
"MDM4",0,0,0,1,234,221,1.05884410733947,0.567924185258363,234,221,1.05884410733947,0.567924185258363
"TM2D2",1,0,Inf,1,45,51,0.882360968647184,0.608893964722807,46,51,0.9019700068947,0.683867396403437
"PEX1",1,4,0.250037905700928,0.374914345456448,772,710,1.08730225624633,0.126857717002977,773,714,1.08260701264832,0.149085624499091
"FRG2B",0,0,0,1,7,7,1,1,7,7,1,1
"XPNPEP2",4,3,1.33330279094402,1,133,129,1.03101279355311,0.851707109223139,137,132,1.03788670777406,0.805643328862497
"LGALS13",3,0,Inf,0.249948605513182,137,158,0.867097629661282,0.23962160430205,140,158,0.886083638513415,0.319945503282609
"SPIN3",0,0,0,1,12,11,1.09088169146973,1,12,11,1.09088169146973,1
