"","LoF_pvalue","All_variants_pvalue","fisher_combine_pvalue"
"GALC",0.25,0.25,0.596573590279973
"PHB2",0.6875,0.6875,0.94510174649097
"ENHO",1,1,1
"KRTAP4-6",0.125,0.125,0.38493019270998
"PTGDR",0.812924143797602,0.812924143797602,0.981294942143853
"ZNF365",0.25,0.25,0.596573590279973
"CLIP2",1,0.5,0.846573590279973
"SPATA2L",1,0.5,0.846573590279973
"PDZD3",0.212178111076355,0.212178111076355,0.541124034495951
"TMEM119",0.738266468048096,0.738266468048096,0.962293761278177
"RSPH9",0.5,0.36328125,0.596573590279973
"P4HB",1,1,1
"INPP5F",0.03515625,0.03515625,0.152857717985508
"EIF3G",1,0.5,0.846573590279973
"HIST1H2BE",1,1,1
"NAALADL1",0.2744140625,0.2744140625,0.629263589151039
"CCDC186",0.5,0.5,0.846573590279973
"ZNF320",1,0.75,0.846573590279973
"FBXO47",0.5,0.5,0.846573590279973
"FANCB",1,1,1
"MGAT4C",1,1,1
"KRBA1",0.5,0.5,0.846573590279973
"CSK",1,0.70947265625,0.952987313340813
"AP3M1",1,1,1
"GRAMD1C",0.604736328125,0.604736328125,0.90889616702116
"GINS4",0.5,0.5,0.846573590279973
"CHRNB4",0.75,0.75,0.965761554338836
"RHO",0.75,0.75,0.965761554338836
"ZNF787",1,0.5,0.846573590279973
"ZNF85",0.74609375,0.74609375,0.964627606010508
"KIF19",0.808344841003418,0.808344841003418,0.980333566320842
"GFRA1",1,1,1
"NOL9",1,1,1
"IGSF11",0.5,0.5,0.846573590279973
"CCND3",1,0.5,0.846573590279973
"ADRA1B",1,0.61279296875,0.846573590279973
"PSMA4",1,0.5,0.846573590279973
"OR1A2",0.34375,0.34375,0.710820216562966
"RAD51B",0.65625,0.65625,0.932671336456324
"LGI1",1,1,1
"TMEM161A",0.105056762695313,0.105056762695313,0.341776383661316
"TENT2",0.5,0.5,0.846573590279973
"PDE6B",0.875,0.875,0.991839968546457
"DMC1",0.5,0.5,0.846573590279973
"UBR7",1,1,1
"TTC36",0.5,0.5,0.846573590279973
"CDKL4",0.109375,0.109375,0.351418914689539
"PTH1R",0.5,0.5,0.846573590279973
"SYS1",1,1,1
"TMC6",0.5,0.5,0.846573590279973
"SLC45A1",1,1,1
