"","LoF_pvalue","All_variants_pvalue","fisher_combine_pvalue","LoF_ACAT_pvalue","Missense_ACAT_pvalue"
"KCNMB1",1,1,1,NA,0.976744186046512
"SPX",0.65625,0.65625,0.932671336456324,0.75,0.75
"KLC3",0.65625,0.65625,0.932671336456324,0.85328189075553,0.988372093023256
"LYRM2",1,1,1,NA,0.916666666666667
"APOL2",0.875,0.875,0.991839968546457,0.5,0.978260869565217
"ACADVL",1,1,1,NA,0.986486486486487
"PRDX3",0.125,0.125,0.38493019270998,0.5,0.966666666666667
"RGS3",0.8125,0.8125,0.981206983882324,0.8,0.992647058823529
"SLC38A7",0.5,0.5,0.846573590279973,0.5,0.980769230769231
"BLID",1,1,1,NA,0.944444444444444
"FAHD2A",0.25,0.25,0.596573590279973,0.5,0.972222222222222
"DDX41",0.125,0.0625,0.165726263729903,0.5,0.979591836734694
"PAK1IP1",1,1,1,NA,0.96875
"TXN2",0.75,0.75,0.965761554338836,0.75,0.9375
"ERF",1,0.75,0.965761554338836,NA,0.978260869565217
"KRTAP10-12",0.5,0.5,0.846573590279973,0.666666666666667,0.981481481481482
"HIST1H3G",0.75,0.75,0.965761554338836,0.75,0.909090909090909
"CTAG2",1,1,1,NA,0.961538461538462
"RDH16",0.875,0.875,0.991839968546457,0.666666666666667,0.982142857142857
"FABP3",1,1,1,NA,0.888888888888889
"MOGAT2",0.5,0.5,0.846573590279973,0.5,0.983870967741935
"COMT",1,1,1,1,0.973684210526316
"ANKRD28",1,1,1,NA,0.986111111111111
"CMTM5",0.5,0.5,0.846573590279973,0.647583617650433,0.95
"OAZ3",0.3125,0.3125,0.675984628064276,0.602416382349567,0.956521739130435
"IL2",1,1,1,NA,0.875
"CAPSL",0.3125,0.3125,0.675984628064276,0.5,0.96969696969697
"NEIL1",0.0706187795051051,0.0706187795051051,0.257790971303251,0.833333333333333,0.979591836734694
"GPT",0.623046875,0.623046875,0.917831237498511,0.833333333333333,0.986842105263158
"TRAF3IP1",0.3125,0.3125,0.675984628064276,0.75,0.986111111111111
"TNFAIP8L3",1,1,1,0.5,0.971428571428571
"TMEM60",1,1,1,NA,0.916666666666667
"COX7B",1,1,1,NA,0.5
"DDX20",0.75,0.75,0.965761554338836,0.5,0.989010989010989
"NAE1",1,1,1,1,0.967741935483871
"OR7G3",0.863865527013977,0.863865527013977,0.990282020729982,0.863865527013977,0.967741935483871
"TBRG1",0.5,0.5,0.846573590279973,0.647583617650433,0.978260869565217
"GTF3C6",0.5,0.5,0.846573590279973,0.5,0.947368421052632
"DHFR2",1,1,1,NA,0.941176470588235
"CLIC4",0.5,0.5,0.846573590279973,0.5,0.941176470588235
"PAGE3",1,1,1,NA,0.9
"RNF135",1,1,1,1,0.979166666666667
"RIDA",1,1,1,NA,0.916666666666667
"ZBTB32",0.25,0.25390625,0.38493019270998,0.5,0.978260869565217
"TAL2",1,1,1,NA,0.909090909090909
"C15orf48",0.75,0.75,0.965761554338836,0.5,0.8
"ZNF665",0.425277009606362,0.425277009606362,0.788895034250789,0.888888888888889,0.989247311827957
"KRCC1",0.5,0.5,0.846573590279973,0.647583617650433,0.972222222222222
"SLC13A2",0.61279296875,0.61279296875,0.912894926227959,0.8,0.987012987012987
"CEACAM6",0.1875,0.1875,0.501370581294688,0.75,0.976190476190476
"GLB1L",0.9375,0.9375,0.998004863566473,0.666666666666667,0.987179487179487
"NFAM1",1,1,1,NA,0.956521739130435
"UBE2NL",1,1,1,NA,0.857142857142857
"CAPZA1",1,1,1,NA,0.962962962962963
"IL1F10",0.5,0.5,0.846573590279973,0.5,0.952380952380952
"MANEA",0.65625,0.65625,0.932671336456324,0.5,0.981818181818182
"PTPN7",0.395263671875,0.395263671875,0.762148286844367,0.875,0.981481481481482
"KCNE1",1,1,1,NA,0.944444444444444
"GNB1L",1,1,1,NA,0.981481481481482
"FAM166A",0.442716748643257,0.442716748643257,0.803453470735189,0.75,0.985294117647059
"TMEM26",1,1,1,NA,0.979166666666667
"PTK6",0.3125,0.3125,0.675984628064276,0.75,0.985074626865672
"HSD11B2",1,1,1,NA,0.975
"ZNF519",0.65625,0.65625,0.932671336456324,0.75,0.985074626865672
"TBPL1",1,1,1,NA,0.861380683466032
"ATP13A5",0.413469503770287,0.413469503770287,0.778633993351471,0.928571428571429,0.992
"TSPAN1",1,1,1,NA,0.962962962962963
"HESX1",1,1,1,1,0.954545454545455
"PRSS23",0.5,0.5,0.846573590279973,0.5,0.976744186046512
"COX7A2L",0.75,0.75,0.965761554338836,0.5,0.909090909090909
"RPF1",0.75,0.75,0.965761554338836,0.75,0.976744186046512
"ACAT1",1,1,1,NA,0.96969696969697
"APOC4",0.34375,0.34375,0.710820216562966,0.34375,0.954545454545455
"TPSD1",0.74609375,0.74609375,0.964627606010508,0.75,0.972222222222222
"SLC35A5",0.75,0.75,0.965761554338836,0.5,0.976190476190476
"FN3KRP",0.9375,0.9375,0.998004863566473,0.5,0.976744186046512
"VPS39",0.3125,0.14453125,0.324834142540172,0.666666666666667,0.981481481481482
"PMCH",1,1,1,1,0.9375
"ZNF76",0.6875,0.6875,0.94510174649097,0.75,0.988505747126437
"NIPA2",0.75,0.75,0.965761554338836,0.75,NA
"KANK3",0.75,0.75,0.965761554338836,0.75,NA
"IRX1",0.75,0.75,0.965761554338836,0.75,NA
"MBTPS2",1,1,1,NA,0.944444444444444
"AHRR",0.5,0.5,0.846573590279973,0.5,0.987654320987654
"RPS2",1,1,1,NA,0.9
"IAPP",0.5,0.5,0.846573590279973,0.5,0.909090909090909
"COQ4",0.890625,0.890625,0.993787710702062,0.833333333333333,0.96875
"CXCL11",1,1,1,NA,0.875
"CKS1B",1,1,1,NA,0.5
"SLC11A1",0.2265625,0.2265625,0.562947645187978,0.833333333333333,0.987179487179487
"SKA3",1,1,1,NA,0.962962962962963
"ZNF773",0.875,0.875,0.991839968546457,0.666666666666667,0.982456140350877
"RF00406",1,1,1,NA,0.5
"ADK",0.5,0.5,0.846573590279973,0.5,0.947368421052632
"OTUD7B",1,1,1,NA,0.9875
"RBM7",1,1,1,NA,0.961538461538462
"BAK1",0.75,0.75,0.965761554338836,0.5,0.933333333333333
"KRTAP5-3",1,1,1,NA,0.96551724137931
"LRRC39",0.0924666710197926,0.0924666710197926,0.312621216491076,0.0924666710197926,0.972222222222222
"SLIRP",1,1,1,NA,0.95
"RPP14",1,1,1,NA,0.916666666666667
"MRPL1",0.75,0.75,0.965761554338836,0.75,0.956521739130435
"PKP3",0.0625,0.0625,0.235786795139986,0.5,0.991379310344828
"LPIN3",0.696380615234375,0.696380615234375,0.948372143625449,0.833333333333333,0.992481203007519
"DNAJC12",0.314529418945313,0.314529418945313,0.678338572906542,0.449708649049241,0.95
"EPHX4",0.25,0.25,0.596573590279973,0.5,0.9375
"CTSC",1,1,1,NA,0.980769230769231
"SNX29",0.6875,0.6875,0.94510174649097,0.666666666666667,NA
"MAPK13",0.5,0.5,0.846573590279973,0.687512789497009,0.972222222222222
"CCDC30",0.140520757529885,0.140520757529885,0.416278700635389,0.888888888888889,0.984375
"CXCL8",1,1,1,NA,0.909090909090909
"RAB3IP",0.6875,0.6875,0.94510174649097,0.75,0.977272727272727
"POU5F1B",0.9375,0.9375,0.998004863566473,0.666666666666667,0.970588235294118
"RNF151",1,1,1,NA,0.972222222222222
"FAM216A",0.125,0.125,0.38493019270998,0.5,0.956521739130435
"BCL11B",1,0.5,0.846573590279973,NA,0.976190476190476
"PLA2G2C",0.75,0.75,0.965761554338836,0.5,0.923076923076923
"GIPC1",1,1,1,NA,0.96551724137931
"POLR3H",0.5,0.5,0.846573590279973,0.647583617650433,0.956521739130435
"CEACAM21",0.691545284658847,0.691545284658847,0.946605610098573,0.857142857142857,0.96969696969697
"PRMT3",0.5,0.5,0.846573590279973,0.5,0.981481481481482
"NABP1",1,1,1,1,0.956521739130435
"SLPI",0.5,0.5,0.846573590279973,0.577470495089237,0.956521739130435
"DNASE1L1",1,1,1,NA,0.933333333333333
"MEGF6",0.15087890625,0.15087890625,0.436232818438404,0.888888888888889,0.995652173913044
"AKR1B15",0.875,0.875,0.991839968546457,0.5,0.977777777777778
"UROS",0.6875,0.6875,0.94510174649097,0.5,0.971428571428571
"CRABP2",0.5,0.5,0.846573590279973,0.5,0.933333333333333
"GPD1",0.5,0.5,0.846573590279973,0.5,0.975
"CAMK1G",0.5,0.75,0.846573590279973,0.5,0.975
"FRMPD1",0.2265625,0.2265625,0.562947645187978,0.8,0.994818652849741
"DLST",1,1,1,NA,0.976744186046512
"OR4N4",1,1,1,NA,0.666666666666667
"ZC3H8",0.5,0.5,0.846573590279973,0.5,0.923076923076923
"H1FNT",1,1,1,NA,0.975
"NOL11",1,1,1,NA,0.984615384615385
"ASH1L",0.1875,0.303619384765625,0.36764944186106,0.1875,0.995192307692308
"IYD",1,1,1,NA,0.976190476190476
"LNP1",0.5,0.5,0.846573590279973,0.5,0.95
"RNF152",1,1,1,NA,0.956521739130435
"GLRX3",1,1,1,NA,0.958333333333333
"LHFPL1",1,1,1,NA,0.916666666666667
"S100A14",1,1,1,1,0.857142857142857
"TMTC1",1,1,1,1,0.987179487179487
"RAMP2",1,1,1,1,0.909090909090909
"INSL5",0.5,0.5,0.846573590279973,0.5,0.952380952380952
"RPL34",1,0.75,0.965761554338836,NA,0.602416382349567
"WEE2",0.75,0.75,0.965761554338836,0.5,0.980392156862745
"ARHGAP24",0.875,0.875,0.991839968546457,0.666666666666667,0.988888888888889
"MAGEB4",1,1,1,NA,0.944444444444444
"WASF2",1,1,1,NA,0.974358974358974
"NMUR1",0.5,0.5,0.846573590279973,0.5,0.983606557377049
"KCNK17",0.65625,0.65625,0.932671336456324,0.666666666666667,0.976744186046512
"ZC2HC1A",1,1,1,NA,0.966666666666667
"TCF4",0.75,0.691140341485152,0.861445371390894,0.75,0.970588235294118
"CSPG5",1,1,1,1,0.977777777777778
"CDKN2AIP",1,1,1,NA,0.981132075471698
"DGCR8",1,0.376953125,0.744721574558559,NA,0.983333333333333
"TAF9B",1,1,1,NA,0.928571428571429
"IL2RG",1,1,1,NA,0.916666666666667
"TMEM43",0.75,0.75,0.965761554338836,0.5,0.984126984126984
"WDR5B",0.999340636422858,0.999340636422858,0.999999782572043,0.999123300355331,0.978260869565217
"MRPL30",1,1,1,NA,0.923076923076923
"GALNT12",0.65625,0.65625,0.932671336456324,0.8,0.983606557377049
"RXRA",1,0.36328125,0.73113183388026,NA,0.96875
"SIPA1L1",1,1,1,NA,0.993377483443709
"KIN",0.5,0.5,0.846573590279973,0.5,0.971428571428571
"SYF2",1,1,1,1,0.956521739130435
"PPIL4",0.96875,0.96875,0.99950655149225,0.75,0.966666666666667
"GPN2",1,1,1,0.5,0.967741935483871
"TCIRG1",0.91021728515625,0.91021728515625,0.995843184690498,0.875,0.99236641221374
"ZNF597",0.5,0.5,0.846573590279973,0.5,0.983333333333333
"AAMDC",1,1,1,NA,0.916666666666667
"ZNF764",0.5,0.5,0.846573590279973,0.8,0.98
"BMP7",1,1,1,NA,0.977777777777778
"RBBP9",0.9375,0.9375,0.998004863566473,0.75,0.958333333333333
"SUFU",1,0.5,0.846573590279973,NA,0.978260869565217
"AC091959.3",1,1,1,NA,0.666666666666667
"CTSW",0.856860637664795,0.856860637664795,0.989228460489767,0.75,0.981481481481482
"PCP4",1,1,1,NA,0.8
"TRIML2",1,1,1,NA,0.981132075471698
"TAS2R7",0.423401037594598,0.423401037594598,0.787286907194005,0.423401037594598,0.971428571428571
"SLC2A11",1,1,1,NA,0.971428571428571
"APOA2",1,1,1,NA,0.9
"SRI",0.75,0.75,0.965761554338836,0.5,0.947368421052632
"CFAP57",0.85546875,0.85546875,0.989012310590666,0.857142857142857,0.988095238095238
"CHMP6",1,1,1,NA,0.954545454545455
"RPL14",1,1,1,NA,0.956521739130435
"ASB9",1,1,1,NA,0.909090909090909
"KRTAP17-1",1,1,1,NA,0.916666666666667
"ARHGEF40",0.9375,0.9375,0.998004863566473,0.75,0.994565217391304
"CCNJL",0.5,0.5,0.846573590279973,0.5,0.972972972972973
"SCG2",1,1,1,NA,0.985074626865672
"GAS7",1,0.75,0.965761554338836,NA,0.973684210526316
"OR51S1",0.6875,0.6875,0.94510174649097,0.666666666666667,0.981481481481482
"CD82",1,1,1,0.5,0.975
"DDOST",1,1,1,NA,0.980769230769231
"PIRT",0.5,0.5,0.846573590279973,0.5,0.952380952380952
"LY6D",1,1,1,NA,0.916666666666667
"COX20",0.75,0.75,0.965761554338836,0.5,0.923076923076923
"CYSLTR1",1,1,1,NA,0.952380952380952
