"","Gene","BF","SFARI_score","total_count","g1_count","g1_BF","g2_count","g2_BF","g3_count","g3_BF","g4_count","g4_BF","g5_count","g5_BF","g6_count","g6_BF","g7_count","g7_BF","g8_count","g8_BF","g9_count","g9_BF","g10_count","g10_BF","g11_count","g11_BF","g12_count","g12_BF","g13_count","g13_BF","g14_count","g4_BF.1","g15_count","g15_BF"
"12531","SLC35F5",0.6045,"NA","178 vs 197","-",NA,"-",NA,"-",NA,"-",NA,"0 vs 2",0.93,"-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"40 vs 43",0.66,"138 vs 152",1,"-",NA
"12532","CTGF",0.6043,"NA","45 vs 47","-",NA,"-",NA,"-",NA,"-",NA,"1 vs 2",0.95,"-",NA,"-",NA,"-",NA,"-",NA,"14 vs 12",0.85,"21 vs 19",1,"-",NA,"9 vs 14",0.75,"-",NA,"-",NA
"12533","AADACL4",0.6042,"NA","198 vs 175","-",NA,"-",NA,"-",NA,"-",NA,"3 vs 2",1.01,"-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"49 vs 53",0.6,"146 vs 120",1,"-",NA
"12534","C19orf73",0.6042,"NA","61 vs 73","-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"16 vs 21",0.6,"45 vs 52",1,"-",NA
"12535","AGXT",0.6042,"NA","611 vs 654","-",NA,"-",NA,"-",NA,"-",NA,"0 vs 1",0.96,"-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"99 vs 104",0.64,"245 vs 243",1,"267 vs 306",0.99
"12536","DPEP2",0.6041,"NA","951 vs 989","-",NA,"-",NA,"-",NA,"-",NA,"41 vs 36",1.13,"-",NA,"-",NA,"-",NA,"-",NA,"1 vs 1",0.95,"-",NA,"-",NA,"59 vs 67",0.57,"78 vs 84",1,"772 vs 801",0.99
"12537","RAD51D",0.604,"NA","290 vs 291","-",NA,"-",NA,"-",NA,"-",NA,"5 vs 1",1.1,"-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"74 vs 86",0.55,"211 vs 204",1,"-",NA
"12538","CLCA2",0.6039,"NA","869 vs 862","-",NA,"-",NA,"-",NA,"-",NA,"3 vs 6",0.97,"-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"177 vs 191",0.63,"105 vs 117",1,"584 vs 548",0.99
"12539","TRIM64C",0.6038,"NA","569 vs 616","-",NA,"-",NA,"-",NA,"-",NA,"6 vs 5",1.03,"-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"53 vs 48",0.59,"61 vs 68",1,"449 vs 495",1
"12540","RWDD3",0.6038,"NA","157 vs 151","-",NA,"-",NA,"-",NA,"-",NA,"1 vs 1",1,"-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"19 vs 24",0.61,"137 vs 126",1,"-",NA
"12541","NAMPT",0.6038,"NA","11 vs 11","-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"0 vs 3",0.48,"-",NA,"-",NA,"10 vs 7",1.28,"-",NA,"-",NA,"1 vs 1",1,"-",NA,"-",NA
"12542","SIGLEC9",0.6038,"NA","266 vs 275","-",NA,"-",NA,"-",NA,"-",NA,"3 vs 1",1.02,"-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"59 vs 67",0.59,"67 vs 75",1,"137 vs 132",1
"12543","FUT2",0.6037,"NA","457 vs 458","-",NA,"-",NA,"-",NA,"-",NA,"30 vs 30",0.82,"-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"65 vs 61",0.74,"258 vs 258",1,"104 vs 109",1
"12544","RDM1",0.6037,"NA","402 vs 362","-",NA,"-",NA,"-",NA,"-",NA,"1 vs 0",1.04,"-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"34 vs 34",0.58,"-",NA,"367 vs 328",1
"12545","MARCH9",0.6037,"NA","107 vs 93","-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"1 vs 2",0.86,"-",NA,"-",NA,"9 vs 13",0.7,"97 vs 78",1,"-",NA
"12546","TPM2",0.6037,"NA","3 vs 4","-",NA,"-",NA,"-",NA,"-",NA,"0 vs 0",1,"-",NA,"1 vs 3",0.58,"-",NA,"-",NA,"2 vs 1",1.04,"-",NA,"-",NA,"-",NA,"-",NA,"-",NA
"12547","TMED2",0.6037,"NA","11 vs 14","-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"0 vs 1",0.78,"-",NA,"-",NA,"10 vs 11",0.83,"-",NA,"-",NA,"1 vs 2",0.94,"-",NA,"-",NA
"12548","GINS1",0.6036,"NA","31 vs 33","-",NA,"-",NA,"-",NA,"-",NA,"0 vs 1",0.96,"-",NA,"-",NA,"-",NA,"-",NA,"6 vs 14",0.59,"-",NA,"-",NA,"8 vs 6",1.06,"17 vs 12",1,"-",NA
"12549","PRR5-ARHGAP8",0.6035,"NA","8 vs 14","-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"8 vs 14",0.6,"-",NA,"-",NA
"12550","IAH1",0.6035,"NA","334 vs 356","-",NA,"-",NA,"-",NA,"-",NA,"0 vs 5",0.91,"-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"56 vs 57",0.67,"-",NA,"278 vs 294",1
"12551","USP37",0.6035,"NA","473 vs 472","-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"12 vs 10",0.98,"-",NA,"-",NA,"59 vs 71",0.62,"192 vs 198",1,"210 vs 193",1
"12552","SCN3B",0.6034,"NA","26 vs 34","-",NA,"-",NA,"-",NA,"-",NA,"1 vs 0",1.04,"-",NA,"-",NA,"-",NA,"-",NA,"12 vs 16",0.81,"-",NA,"-",NA,"13 vs 18",0.72,"-",NA,"-",NA
"12553","SF1",0.6034,"NA","14 vs 14","-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"1 vs 3",0.54,"-",NA,"-",NA,"2 vs 1",1.09,"-",NA,"-",NA,"11 vs 10",1.03,"-",NA,"-",NA
"12554","UTP18",0.6034,"NA","100 vs 93","-",NA,"-",NA,"-",NA,"-",NA,"0 vs 2",0.93,"-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"43 vs 41",0.65,"57 vs 50",1,"-",NA
"12555","RAB11B",0.6033,"NA","12 vs 15","-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"3 vs 3",0.8,"-",NA,"-",NA,"9 vs 12",0.75,"-",NA,"-",NA,"-",NA,"-",NA,"-",NA
"12556","HIST2H2AC",0.6032,"NA","1 vs 3","-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"0 vs 2",0.61,"-",NA,"-",NA,"1 vs 1",0.99,"-",NA,"-",NA,"-",NA,"-",NA,"-",NA
"12557","PIP4K2C",0.6032,"NA","314 vs 302","-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"9 vs 13",0.63,"-",NA,"-",NA,"21 vs 21",0.96,"-",NA,"284 vs 268",1
"12558","PPIL4",0.6031,"NA","44 vs 51","-",NA,"-",NA,"-",NA,"-",NA,"1 vs 4",0.95,"-",NA,"-",NA,"-",NA,"-",NA,"2 vs 1",1.12,"-",NA,"-",NA,"20 vs 27",0.57,"21 vs 19",1,"-",NA
"12559","OR13C4",0.6031,"NA","324 vs 349","-",NA,"-",NA,"-",NA,"-",NA,"7 vs 12",0.86,"-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"50 vs 52",0.7,"43 vs 51",1,"224 vs 234",1
"12560","TM6SF1",0.603,"NA","854 vs 837","-",NA,"-",NA,"-",NA,"-",NA,"1 vs 1",0.97,"-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"31 vs 32",0.62,"-",NA,"822 vs 804",1
"12561","PIGO",0.6029,"NA","189 vs 183","-",NA,"-",NA,"-",NA,"-",NA,"1 vs 1",1,"-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"127 vs 129",0.61,"61 vs 53",1,"-",NA
"12562","IRF5",0.6029,"NA","32 vs 35","-",NA,"-",NA,"-",NA,"-",NA,"0 vs 1",0.96,"-",NA,"1 vs 0",1.22,"-",NA,"-",NA,"12 vs 20",0.48,"-",NA,"-",NA,"19 vs 14",1.06,"-",NA,"-",NA
"12563","ZNF629",0.6029,"NA","131 vs 124","-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"28 vs 25",0.32,"-",NA,"-",NA,"25 vs 17",2.44,"42 vs 42",1,"-",NA,"6 vs 11",0.77,"30 vs 29",1,"-",NA
"12564","FGF8",0.6028,"NA","11 vs 16","-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"2 vs 1",1.16,"-",NA,"-",NA,"6 vs 11",0.57,"-",NA,"-",NA,"3 vs 4",0.92,"-",NA,"-",NA
"12565","SENP6",0.6027,"NA","246 vs 265","1 vs 1",0.86,"-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"135 vs 134",0.71,"110 vs 130",1,"-",NA
"12566","RGS18",0.6026,"NA","36 vs 40","-",NA,"-",NA,"-",NA,"-",NA,"1 vs 0",1.04,"-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"35 vs 40",0.58,"-",NA,"-",NA
"12567","DDX58",0.6026,"NA","505 vs 529","-",NA,"-",NA,"-",NA,"-",NA,"8 vs 5",1.08,"-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"72 vs 75",0.56,"425 vs 449",0.99,"-",NA
"12568","SYT8",0.6025,"NA","395 vs 376","-",NA,"-",NA,"-",NA,"-",NA,"7 vs 8",0.92,"-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"84 vs 80",0.66,"100 vs 106",0.99,"204 vs 182",1
"12569","CLINT1",0.6024,"NA","112 vs 98","-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"0 vs 2",0.61,"-",NA,"-",NA,"4 vs 7",0.88,"-",NA,"-",NA,"87 vs 72",1.12,"21 vs 17",1,"-",NA
"12570","SCML4",0.6024,"NA","398 vs 431","-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"49 vs 51",0.61,"52 vs 69",1,"297 vs 311",1
"12571","PSMD8",0.6023,"NA","46 vs 56","-",NA,"-",NA,"-",NA,"-",NA,"1 vs 2",0.96,"-",NA,"-",NA,"-",NA,"-",NA,"5 vs 8",0.88,"-",NA,"-",NA,"30 vs 43",0.71,"10 vs 3",1.01,"-",NA
"12572","PTDSS2",0.6023,"NA","151 vs 138","-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"13 vs 14",0.78,"62 vs 49",1,"-",NA,"15 vs 16",0.78,"-",NA,"61 vs 59",1
"12573","SIGLEC10",0.6023,"NA","400 vs 409","-",NA,"-",NA,"-",NA,"-",NA,"3 vs 1",1.08,"-",NA,"-",NA,"-",NA,"-",NA,"1 vs 4",0.72,"-",NA,"-",NA,"98 vs 93",0.78,"298 vs 311",0.99,"-",NA
"12574","FAM210A",0.6023,"NA","571 vs 618","-",NA,"-",NA,"-",NA,"-",NA,"0 vs 2",0.93,"-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"27 vs 33",0.65,"-",NA,"544 vs 583",1
"12575","C1QC",0.6023,"NA","59 vs 62","-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"2 vs 9",0.57,"-",NA,"-",NA,"33 vs 28",1.05,"24 vs 25",1,"-",NA
"12576","GFI1",0.6022,"NA","765 vs 737","-",NA,"-",NA,"-",NA,"-",NA,"0 vs 1",0.96,"-",NA,"-",NA,"-",NA,"-",NA,"4 vs 4",0.95,"51 vs 52",1,"-",NA,"13 vs 18",0.66,"9 vs 12",1,"688 vs 650",1
"12577","HSD17B13",0.6022,"NA","869 vs 891","-",NA,"-",NA,"-",NA,"-",NA,"43 vs 33",0.94,"-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"54 vs 54",0.63,"74 vs 78",1.03,"698 vs 726",1
"12578","TTC5",0.6022,"NA","215 vs 245","-",NA,"-",NA,"-",NA,"-",NA,"0 vs 2",0.93,"-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"39 vs 38",0.65,"176 vs 205",1,"-",NA
"12579","DGKG",0.6021,"NA","157 vs 158","-",NA,"-",NA,"-",NA,"-",NA,"1 vs 1",1,"-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"136 vs 134",0.6,"20 vs 23",1,"-",NA
"12580","WNT5A",0.6021,"NA","18 vs 21","-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"5 vs 9",0.65,"-",NA,"-",NA,"13 vs 12",0.93,"-",NA,"-",NA
"12581","WDFY2",0.6016,"NA","282 vs 256","-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"9 vs 13",0.66,"-",NA,"228 vs 201",0.95,"13 vs 14",0.96,"32 vs 28",1,"-",NA
"12582","OR2D3",0.6016,"NA","162 vs 160","-",NA,"-",NA,"-",NA,"-",NA,"0 vs 2",0.93,"-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"35 vs 34",0.65,"127 vs 124",1,"-",NA
"12583","CORO2B",0.6016,"NA","72 vs 76","-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"0 vs 1",0.78,"-",NA,"-",NA,"14 vs 19",0.7,"47 vs 47",1,"-",NA,"11 vs 9",1.1,"-",NA,"-",NA
"12584","POLR2M",0.6015,"NA","188 vs 212","-",NA,"-",NA,"-",NA,"-",NA,"0 vs 1",0.96,"-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"70 vs 79",0.63,"118 vs 132",1,"-",NA
"12585","ABCC5",0.6015,"NA","96 vs 91","-",NA,"-",NA,"2 vs 1",1.16,"-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"30 vs 29",0.74,"-",NA,"-",NA,"57 vs 55",0.7,"7 vs 6",1,"-",NA
"12586","KARS",0.6014,"NA","163 vs 168","-",NA,"-",NA,"-",NA,"-",NA,"1 vs 0",1.04,"-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"95 vs 101",0.58,"67 vs 67",1,"-",NA
"12587","RARRES2",0.6013,"NA","78 vs 79","-",NA,"-",NA,"-",NA,"-",NA,"0 vs 1",0.96,"-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"51 vs 46",0.63,"27 vs 32",1,"-",NA
"12588","MCRIP1",0.6013,"NA","10 vs 19","-",NA,"-",NA,"-",NA,"-",NA,"1 vs 1",0.97,"-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"9 vs 18",0.62,"-",NA,"-",NA
"12589","ART1",0.6012,"NA","425 vs 369","-",NA,"-",NA,"-",NA,"-",NA,"23 vs 23",0.82,"-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"64 vs 57",0.73,"141 vs 122",1,"197 vs 167",1
"12590","EEF1D",0.6012,"NA","470 vs 495","-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"140 vs 124",0.61,"110 vs 124",0.99,"220 vs 247",0.99
"12591","FCGRT",0.6011,"NA","261 vs 229","-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"2 vs 9",0.53,"-",NA,"-",NA,"38 vs 27",1.14,"115 vs 100",1,"106 vs 93",1
"12592","GPX8",0.601,"NA","9 vs 13","-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"4 vs 7",0.69,"-",NA,"-",NA,"5 vs 6",0.87,"-",NA,"-",NA
"12593","ZC3H7B",0.601,"NA","415 vs 405","-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"0 vs 1",0.78,"-",NA,"-",NA,"30 vs 25",0.96,"55 vs 42",1,"156 vs 156",0.95,"61 vs 54",0.85,"25 vs 37",1,"88 vs 90",1
"12594","SLC12A5",0.6009,"3","699 vs 706","1 vs 0",1.38,"-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"5 vs 6",0.56,"-",NA,"-",NA,"17 vs 17",0.77,"-",NA,"-",NA,"26 vs 24",1.02,"33 vs 42",1,"617 vs 617",1
"12595","C1orf194",0.6009,"NA","623 vs 651","-",NA,"-",NA,"-",NA,"-",NA,"22 vs 18",0.92,"-",NA,"-",NA,"-",NA,"-",NA,"10 vs 11",0.74,"-",NA,"472 vs 505",0.95,"5 vs 4",0.93,"114 vs 113",1,"-",NA
"12596","MON1B",0.6004,"NA","250 vs 248","-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"16 vs 12",1.02,"-",NA,"-",NA,"36 vs 47",0.59,"9 vs 14",1,"189 vs 175",1
"12597","IRF6",0.6003,"NA","22 vs 35","-",NA,"-",NA,"0 vs 1",0.55,"-",NA,"-",NA,"-",NA,"3 vs 0",1.89,"-",NA,"-",NA,"5 vs 8",0.69,"-",NA,"-",NA,"14 vs 26",0.83,"-",NA,"-",NA
"12598","NEUROG3",0.6003,"NA","521 vs 577","-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"9 vs 19",0.72,"-",NA,"491 vs 530",0.95,"21 vs 28",0.88,"-",NA,"-",NA
"12599","PKIB",0.6002,"NA","15 vs 24","-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"15 vs 24",0.6,"-",NA,"-",NA
"12600","CXorf21",0.6,"NA","18 vs 21","-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"9 vs 5",1.04,"-",NA,"-",NA,"9 vs 16",0.58,"-",NA,"-",NA
"12601","MTNR1B",0.6,"NA","670 vs 651","-",NA,"-",NA,"-",NA,"-",NA,"0 vs 2",0.95,"-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"57 vs 52",0.64,"90 vs 104",1,"523 vs 493",1
"12602","ZNF260",0.6,"NA","302 vs 310","-",NA,"-",NA,"-",NA,"-",NA,"1 vs 1",1,"-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"28 vs 28",0.6,"-",NA,"273 vs 281",1
"12603","PRKCB",0.6,"3","45 vs 45","-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"6 vs 5",0.93,"-",NA,"-",NA,"24 vs 29",0.67,"-",NA,"-",NA,"15 vs 11",0.97,"-",NA,"-",NA
"12604","ITIH6",0.5999,"NA","218 vs 229","-",NA,"-",NA,"-",NA,"-",NA,"4 vs 7",0.86,"-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"72 vs 73",0.7,"142 vs 149",1,"-",NA
"12605","SMAP1",0.5998,"NA","173 vs 156","-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"1 vs 1",0.95,"-",NA,"-",NA,"-",NA,"140 vs 119",1,"-",NA,"32 vs 36",0.63,"-",NA,"-",NA
"12606","ACKR2",0.5998,"NA","1108 vs 1100","-",NA,"-",NA,"-",NA,"-",NA,"1 vs 0",1.04,"-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"58 vs 69",0.58,"198 vs 195",1,"851 vs 836",1
"12607","LENG9",0.5998,"NA","684 vs 708","-",NA,"-",NA,"-",NA,"-",NA,"4 vs 3",0.96,"-",NA,"-",NA,"-",NA,"-",NA,"14 vs 14",1.1,"213 vs 237",1,"-",NA,"45 vs 56",0.57,"28 vs 22",1,"380 vs 376",0.99
"12608","KCTD14",0.5998,"NA","56 vs 59","-",NA,"-",NA,"-",NA,"-",NA,"1 vs 1",0.97,"-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"40 vs 44",0.62,"15 vs 14",1,"-",NA
"12609","H1FOO",0.5998,"NA","51 vs 57","-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"25 vs 34",0.6,"26 vs 23",1,"-",NA
"12610","OR7A10",0.5998,"NA","457 vs 391","-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"32 vs 35",0.61,"-",NA,"425 vs 356",0.99
"12611","POMGNT2",0.5997,"NA","163 vs 160","-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"9 vs 6",1.13,"-",NA,"-",NA,"91 vs 90",0.53,"63 vs 64",1,"-",NA
"12612","ANKRD1",0.5996,"NA","103 vs 102","-",NA,"-",NA,"-",NA,"-",NA,"4 vs 1",1.21,"-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"58 vs 61",0.5,"41 vs 40",1,"-",NA
"12613","SAA4",0.5996,"NA","69 vs 86","-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"18 vs 21",0.6,"51 vs 65",1,"-",NA
"12614","PGM1",0.5995,"NA","154 vs 167","-",NA,"-",NA,"-",NA,"-",NA,"92 vs 101",0.92,"-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"53 vs 56",0.65,"9 vs 10",1,"-",NA
"12615","RASGRP1",0.5995,"NA","89 vs 94","-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"10 vs 14",0.72,"-",NA,"-",NA,"37 vs 39",0.83,"42 vs 41",1,"-",NA
"12616","CA7",0.5994,"NA","48 vs 47","-",NA,"-",NA,"0 vs 1",0.55,"-",NA,"-",NA,"-",NA,"0 vs 1",0.78,"-",NA,"-",NA,"3 vs 2",1.08,"-",NA,"-",NA,"8 vs 2",1.3,"37 vs 41",1,"-",NA
"12617","FDPS",0.5994,"NA","435 vs 448","-",NA,"-",NA,"-",NA,"-",NA,"2 vs 1",1.06,"-",NA,"-",NA,"-",NA,"-",NA,"2 vs 2",0.98,"36 vs 27",1,"-",NA,"24 vs 30",0.58,"20 vs 26",1,"351 vs 362",1
"12618","SLC39A2",0.5994,"NA","388 vs 402","-",NA,"-",NA,"-",NA,"-",NA,"16 vs 9",0.93,"-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"50 vs 47",0.65,"182 vs 206",0.99,"140 vs 140",1
"12619","IL1RL2",0.5993,"NA","350 vs 353","-",NA,"-",NA,"-",NA,"-",NA,"5 vs 1",1.26,"-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"73 vs 77",0.48,"135 vs 128",1,"137 vs 147",1
"12620","EIF2S2",0.5993,"NA","37 vs 32","-",NA,"-",NA,"1 vs 1",0.68,"-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"9 vs 6",0.92,"-",NA,"-",NA,"7 vs 10",0.96,"20 vs 15",1,"-",NA
"12621","HOOK1",0.5993,"NA","362 vs 350","-",NA,"-",NA,"-",NA,"-",NA,"1 vs 0",1.04,"-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"64 vs 66",0.58,"38 vs 33",1,"259 vs 251",1
"12622","EPB41L5",0.5991,"NA","739 vs 769","-",NA,"-",NA,"-",NA,"-",NA,"1 vs 1",1,"-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"99 vs 96",0.6,"136 vs 138",1,"503 vs 534",1
"12623","ZNF275",0.599,"NA","39 vs 44","-",NA,"-",NA,"-",NA,"-",NA,"0 vs 1",0.96,"-",NA,"-",NA,"-",NA,"-",NA,"2 vs 2",0.94,"-",NA,"-",NA,"10 vs 17",0.66,"27 vs 24",1,"-",NA
"12624","IL36RN",0.5988,"NA","90 vs 102","-",NA,"-",NA,"-",NA,"-",NA,"2 vs 0",1.08,"-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"33 vs 36",0.56,"55 vs 66",1,"-",NA
"12625","ALOXE3",0.5988,"NA","680 vs 660","-",NA,"-",NA,"-",NA,"-",NA,"3 vs 1",1.02,"-",NA,"0 vs 6",0.25,"-",NA,"-",NA,"4 vs 4",0.95,"-",NA,"-",NA,"142 vs 130",2.49,"143 vs 136",1,"388 vs 383",0.99
"12626","ASIC3",0.5987,"NA","323 vs 327","-",NA,"-",NA,"-",NA,"-",NA,"16 vs 14",1.04,"-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"113 vs 104",0.58,"194 vs 209",1,"-",NA
"12627","GPHA2",0.5986,"NA","22 vs 23","-",NA,"-",NA,"-",NA,"-",NA,"1 vs 2",0.95,"-",NA,"-",NA,"-",NA,"-",NA,"9 vs 6",0.98,"-",NA,"-",NA,"12 vs 15",0.64,"-",NA,"-",NA
"12628","ZNF613",0.5986,"NA","439 vs 421","-",NA,"-",NA,"-",NA,"-",NA,"1 vs 1",0.97,"-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"64 vs 62",0.62,"88 vs 92",1,"286 vs 266",1
"12629","CLPX",0.5985,"NA","142 vs 153","-",NA,"-",NA,"0 vs 1",0.55,"-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"12 vs 10",1.34,"59 vs 62",1,"-",NA,"27 vs 30",0.81,"44 vs 50",1,"-",NA
"12630","ELOVL6",0.5985,"NA","8 vs 7","-",NA,"-",NA,"1 vs 1",0.68,"-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"7 vs 6",0.88,"-",NA,"-",NA,"-",NA,"-",NA,"-",NA
"12631","WDR61",0.5985,"NA","21 vs 25","-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"3 vs 10",0.55,"-",NA,"-",NA,"18 vs 15",1.09,"-",NA,"-",NA
"12632","SPIRE2",0.5984,"NA","433 vs 465","-",NA,"-",NA,"-",NA,"-",NA,"3 vs 0",1.14,"-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"110 vs 102",0.53,"19 vs 26",1,"301 vs 337",1
"12633","OR5T3",0.5984,"NA","195 vs 182","-",NA,"-",NA,"-",NA,"-",NA,"1 vs 0",1.04,"-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"35 vs 38",0.58,"159 vs 144",1,"-",NA
