"","Gene","BF","SFARI_score","total_count","g1_count","g1_BF","g2_count","g2_BF","g3_count","g3_BF","g4_count","g4_BF","g5_count","g5_BF","g6_count","g6_BF","g7_count","g7_BF","g8_count","g8_BF","g9_count","g9_BF","g10_count","g10_BF","g11_count","g11_BF","g12_count","g12_BF","g13_count","g13_BF","g14_count","g4_BF.1","g15_count","g15_BF"
"48","ARHGAP11A",15.8595,"NA","1163 vs 1117","-",NA,"-",NA,"-",NA,"-",NA,"1 vs 2",0.96,"-",NA,"10 vs 2",5.7,"-",NA,"-",NA,"10 vs 9",0.88,"-",NA,"-",NA,"110 vs 84",3.32,"224 vs 232",1,"808 vs 788",0.99
"49","MROH2A",15.3259,"NA","779 vs 778","-",NA,"-",NA,"-",NA,"-",NA,"39 vs 55",1.18,"-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"142 vs 116",13.31,"194 vs 197",0.99,"404 vs 410",0.99
"50","ZFPM2",15.0993,"NA","507 vs 406","1 vs 0",1.38,"-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"142 vs 103",11.04,"305 vs 250",1,"59 vs 53",1
"51","STAG3",14.6137,"NA","239 vs 195","-",NA,"-",NA,"-",NA,"-",NA,"8 vs 1",1.6,"-",NA,"-",NA,"-",NA,"-",NA,"44 vs 38",0.92,"-",NA,"-",NA,"161 vs 123",9.93,"26 vs 33",1,"-",NA
"52","NEK1",14.266,"NA","1810 vs 1769","-",NA,"-",NA,"-",NA,"-",NA,"6 vs 2",1.11,"-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"118 vs 79",13.04,"113 vs 123",1,"1573 vs 1565",0.99
"53","NSUN7",14.2343,"NA","186 vs 123","-",NA,"-",NA,"-",NA,"-",NA,"6 vs 3",1.03,"-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"118 vs 70",13.74,"62 vs 50",1,"-",NA
"54","INTS3",14.0981,"NA","49 vs 31","-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"12 vs 2",7.5,"-",NA,"-",NA,"31 vs 27",1.46,"-",NA,"-",NA,"6 vs 2",1.29,"-",NA,"-",NA
"55","ZFHX4",14.0121,"NA","2078 vs 1982","-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"353 vs 315",14.37,"442 vs 445",0.99,"1283 vs 1222",0.99
"56","ZNF470",13.7947,"NA","189 vs 152","-",NA,"-",NA,"-",NA,"-",NA,"6 vs 4",0.97,"-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"96 vs 71",14.2,"87 vs 77",1,"-",NA
"57","CDC37L1",13.6723,"NA","56 vs 24","-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"56 vs 24",13.67,"-",NA,"-",NA
"58","PLEKHB1",13.5358,"NA","46 vs 46","-",NA,"-",NA,"-",NA,"-",NA,"3 vs 2",1.03,"-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"42 vs 42",13.18,"1 vs 2",1,"-",NA
"59","TNR",13.496,"NA","383 vs 339","-",NA,"-",NA,"3 vs 0",3.05,"-",NA,"-",NA,"-",NA,"1 vs 1",0.95,"-",NA,"-",NA,"6 vs 15",0.49,"-",NA,"-",NA,"169 vs 143",9.55,"204 vs 180",1,"-",NA
"60","SLC5A4",13.4193,"NA","1371 vs 1337","-",NA,"-",NA,"-",NA,"-",NA,"6 vs 7",0.91,"165 vs 154",1,"-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"101 vs 79",15.04,"87 vs 97",1,"1012 vs 1000",0.99
