"","Gene","BF","SFARI_score","total_count","g1_count","g1_BF","g2_count","g2_BF","g3_count","g3_BF","g4_count","g4_BF","g5_count","g5_BF","g6_count","g6_BF"
"3693","ZNF548",1.0984,"4","147 vs 158","-",NA,"-",NA,"5 vs 3",1.03,"-",NA,"-",NA,"142 vs 155",1.06
"3694","HIST1H2BO",1.0983,"NA","15 vs 10","-",NA,"-",NA,"-",NA,"-",NA,"12 vs 6",1.1,"3 vs 4",1
"3695","TTLL9",1.0983,"NA","347 vs 334","-",NA,"-",NA,"11 vs 8",0.99,"-",NA,"-",NA,"336 vs 326",1.11
"3696","CDT1",1.0982,"NA","331 vs 385","-",NA,"-",NA,"2 vs 5",0.93,"1 vs 0",1.21,"21 vs 15",1.08,"307 vs 365",0.89
"3697","WNT9B",1.0982,"NA","167 vs 164","-",NA,"-",NA,"-",NA,"-",NA,"30 vs 33",1.19,"137 vs 131",0.92
"3698","C1orf131",1.0981,"NA","98 vs 87","-",NA,"-",NA,"1 vs 0",1.02,"-",NA,"-",NA,"97 vs 87",1.08
"3699","TMEM54",1.0979,"NA","318 vs 311","-",NA,"-",NA,"2 vs 2",0.98,"-",NA,"2 vs 0",1.13,"314 vs 309",0.99
"3700","GM2A",1.0978,"NA","36 vs 28","-",NA,"-",NA,"1 vs 0",1.02,"-",NA,"-",NA,"35 vs 28",1.08
"3701","MLF1",1.0978,"NA","65 vs 47","-",NA,"-",NA,"4 vs 0",1.09,"-",NA,"-",NA,"61 vs 47",1.01
"3702","CD300E",1.0974,"NA","75 vs 48","-",NA,"-",NA,"4 vs 3",1.01,"-",NA,"1 vs 0",1.05,"70 vs 45",1.03
"3703","MOXD1",1.0974,"NA","676 vs 684","-",NA,"-",NA,"6 vs 1",1.12,"-",NA,"-",NA,"670 vs 683",0.98
"3704","OR1B1",1.0972,"NA","238 vs 216","-",NA,"-",NA,"6 vs 6",0.97,"-",NA,"-",NA,"232 vs 210",1.13
"3705","SPRYD3",1.0972,"NA","19 vs 16","-",NA,"-",NA,"-",NA,"1 vs 0",1.21,"9 vs 10",0.9,"9 vs 6",1
"3706","CXCL17",1.097,"NA","20 vs 9","-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"20 vs 9",1.1
