"","Gene","BF","BF_filtered","SFARI_score","total_count","g1_count","g1_BF","g2_count","g2_BF","g3_count","g3_BF","g4_count","g4_BF","g5_count","g5_BF","g6_count","g6_BF"
"16016","JUN",0.5946,0.6168,"NA","18 vs 17","-",NA,"-",NA,"-",NA,"0 vs 2",0.62,"15 vs 12",0.96,"3 vs 3",1
"16035","CHIC1",0.5909,0.6168,"NA","2 vs 4","-",NA,"-",NA,"-",NA,"0 vs 2",0.62,"2 vs 2",0.96,"-",NA
"16076","PRDM14",0.5834,0.6168,"NA","73 vs 70","-",NA,"-",NA,"-",NA,"0 vs 2",0.62,"17 vs 17",0.99,"56 vs 51",0.96
"16126","FGF10",0.5715,0.6168,"NA","45 vs 36","-",NA,"-",NA,"-",NA,"0 vs 2",0.62,"29 vs 21",0.93,"16 vs 13",1
"16164","SLC38A5",0.5636,0.6168,"NA","10 vs 13","-",NA,"-",NA,"-",NA,"2 vs 4",0.62,"8 vs 8",0.91,"0 vs 1",0.99
"16233","TENM3",0.549,0.6168,"NA","598 vs 556","-",NA,"-",NA,"-",NA,"0 vs 2",0.62,"125 vs 120",0.87,"473 vs 434",1.03
"16622","DROSHA",0.4591,0.6168,"NA","206 vs 207","2 vs 1",0.93,"-",NA,"-",NA,"0 vs 2",0.62,"30 vs 30",0.83,"174 vs 174",0.96
"16641","RNF20",0.4529,0.6168,"NA","120 vs 114","-",NA,"-",NA,"3 vs 2",1.01,"0 vs 2",0.62,"40 vs 37",0.74,"77 vs 73",0.98
"15878","PTCHD1",0.6166,0.6166,"2","14 vs 19","-",NA,"-",NA,"-",NA,"0 vs 1",0.79,"6 vs 9",0.79,"8 vs 9",1
"16102","LSS",0.5772,0.6161,"NA","1201 vs 1204","-",NA,"-",NA,"1 vs 1",1,"-",NA,"23 vs 37",0.62,"1177 vs 1166",0.94
"15884","KLHL31",0.6159,0.6159,"NA","216 vs 233","-",NA,"-",NA,"0 vs 1",0.98,"0 vs 3",0.54,"34 vs 29",1.29,"182 vs 200",0.91
"15130","TMC8",0.724,0.6157,"NA","1380 vs 1410","-",NA,"-",NA,"3 vs 5",0.94,"3 vs 4",0.75,"280 vs 289",1.18,"1094 vs 1112",0.87
"15885","CGB3",0.6157,0.6157,"NA","5 vs 9","-",NA,"-",NA,"-",NA,"2 vs 3",0.71,"3 vs 6",0.86,"-",NA
"16011","PTGS1",0.5956,0.6154,"NA","621 vs 600","-",NA,"-",NA,"5 vs 4",0.99,"-",NA,"19 vs 24",0.62,"597 vs 572",0.98
"15891","ZNF296",0.6146,0.6146,"NA","46 vs 63","-",NA,"-",NA,"-",NA,"-",NA,"14 vs 21",0.66,"32 vs 42",0.93
"15892","DPF1",0.6144,0.6144,"NA","30 vs 35","-",NA,"-",NA,"-",NA,"0 vs 2",0.62,"3 vs 4",1,"27 vs 29",0.99
"16080","PCDHAC2",0.5827,0.6139,"4","136 vs 129","-",NA,"-",NA,"-",NA,"3 vs 5",0.48,"44 vs 41",1.27,"89 vs 83",0.95
"16506","SSRP1",0.4882,0.6135,"4","83 vs 87","-",NA,"-",NA,"-",NA,"3 vs 4",0.64,"68 vs 65",0.8,"12 vs 18",0.97
"15859","SEC11C",0.6201,0.6134,"NA","6 vs 7","-",NA,"-",NA,"-",NA,"0 vs 2",0.68,"4 vs 5",0.9,"2 vs 0",1.01
"15898","RIMBP2",0.6134,0.6134,"NA","337 vs 348","-",NA,"-",NA,"-",NA,"-",NA,"10 vs 13",0.75,"327 vs 335",0.82
"15984","RPS6KA4",0.6002,0.612,"NA","76 vs 79","-",NA,"-",NA,"-",NA,"18 vs 20",0.64,"22 vs 23",0.96,"36 vs 36",0.98
"15618","HIST1H3D",0.659,0.6118,"NA","4 vs 6","-",NA,"-",NA,"-",NA,"0 vs 2",0.62,"3 vs 1",1.08,"1 vs 3",0.99
"15905","PRKACG",0.6114,0.6114,"NA","27 vs 46","-",NA,"-",NA,"-",NA,"-",NA,"14 vs 27",0.63,"13 vs 19",0.97
"15908","CRTC3",0.611,0.611,"NA","87 vs 100","-",NA,"-",NA,"-",NA,"1 vs 2",0.75,"0 vs 4",0.83,"86 vs 94",0.98
"15819","STMN3",0.6268,0.6107,"NA","4 vs 6","-",NA,"-",NA,"1 vs 0",1.02,"0 vs 2",0.68,"1 vs 3",0.9,"2 vs 1",1.01
"15913","CHAD",0.6107,0.6107,"NA","199 vs 224","-",NA,"-",NA,"-",NA,"-",NA,"104 vs 107",0.65,"95 vs 117",0.94
"15515","ARID5B",0.6741,0.6105,"NA","150 vs 161","-",NA,"-",NA,"-",NA,"4 vs 5",0.59,"79 vs 84",1.1,"67 vs 72",1.03
"16084","CNP",0.5821,0.6102,"NA","57 vs 71","-",NA,"-",NA,"-",NA,"1 vs 1",0.95,"4 vs 12",0.63,"52 vs 58",0.97
"15765","EIF2B1",0.6378,0.6101,"NA","13 vs 13","-",NA,"-",NA,"1 vs 0",1.02,"0 vs 2",0.62,"9 vs 6",1.02,"3 vs 5",0.99
"17113","ATG2A",0.3423,0.61,"NA","2126 vs 1969","1 vs 1",0.66,"-",NA,"-",NA,"0 vs 1",0.79,"34 vs 35",0.78,"2091 vs 1932",0.85
"15643","SLC39A6",0.6571,0.6095,"NA","109 vs 118","-",NA,"-",NA,"3 vs 0",1.08,"6 vs 7",0.67,"0 vs 1",0.95,"100 vs 110",0.96
"16031","ULBP2",0.5915,0.6093,"NA","168 vs 187","-",NA,"-",NA,"2 vs 2",0.97,"117 vs 131",0.54,"5 vs 3",1.15,"44 vs 51",0.98
"15912","DCAF8",0.6108,0.6091,"NA","22 vs 26","-",NA,"-",NA,"-",NA,"0 vs 1",0.79,"18 vs 21",0.78,"4 vs 4",1
"15889","DUSP7",0.615,0.609,"NA","18 vs 16","-",NA,"-",NA,"-",NA,"1 vs 4",0.46,"9 vs 4",1.32,"8 vs 8",1.01
"15924","PRPH",0.6087,0.6087,"NA","477 vs 488","-",NA,"-",NA,"48 vs 54",0.9,"-",NA,"28 vs 32",0.7,"401 vs 402",0.97
"15896","ODF3B",0.6136,0.6086,"NA","712 vs 700","-",NA,"-",NA,"0 vs 1",0.98,"112 vs 113",0.53,"9 vs 4",1.18,"591 vs 582",1.01
"15927","FAT1",0.6082,0.6082,"4","2952 vs 2970","-",NA,"-",NA,"2 vs 3",0.98,"-",NA,"-",NA,"2950 vs 2967",0.62
"16537","KRTAP9-2",0.4798,0.608,"NA","64 vs 74","-",NA,"-",NA,"2 vs 3",0.99,"27 vs 26",0.79,"35 vs 45",0.61,"-",NA
"15931","ZMYM4",0.6079,0.6079,"NA","505 vs 533","-",NA,"-",NA,"-",NA,"-",NA,"14 vs 20",0.65,"491 vs 513",0.94
"15904","FBXO32",0.6118,0.6076,"NA","33 vs 32","-",NA,"-",NA,"-",NA,"-",NA,"21 vs 25",0.61,"12 vs 7",1.01
"15936","COPS4",0.6075,0.6075,"NA","15 vs 23","-",NA,"-",NA,"-",NA,"0 vs 1",0.79,"7 vs 11",0.79,"8 vs 11",0.98
"15601","FCRLB",0.6609,0.6074,"NA","600 vs 587","-",NA,"-",NA,"2 vs 0",1.04,"2 vs 1",1.04,"19 vs 28",0.61,"577 vs 558",1
"15945","GNG2",0.6057,0.6074,"NA","5 vs 5","-",NA,"-",NA,"-",NA,"2 vs 4",0.55,"2 vs 0",1.11,"1 vs 1",1
