"","Gene","BF","BF_filtered","SFARI_score","total_count","g1_count","g1_BF","g2_count","g2_BF","g3_count","g3_BF","g4_count","g4_BF","g5_count","g5_BF","g6_count","g6_BF"
"7635","KCNMB1",0.9866,1,"NA","174 vs 144","-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"174 vs 144",0.99
"7637","KLC3",0.9866,1,"NA","181 vs 171","-",NA,"-",NA,"3 vs 3",1.03,"-",NA,"-",NA,"178 vs 168",0.96
"7644","BLID",0.9864,1,"NA","68 vs 53","-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"68 vs 53",0.99
"7647","PAK1IP1",0.9864,1,"NA","417 vs 398","-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"417 vs 398",0.99
"7648","TXN2",0.9864,1,"NA","21 vs 16","-",NA,"-",NA,"1 vs 1",0.99,"-",NA,"-",NA,"20 vs 15",1
"7651","HIST1H3G",0.9863,1,"NA","12 vs 12","-",NA,"-",NA,"1 vs 1",0.99,"-",NA,"6 vs 6",1,"5 vs 5",1
"7654","FABP3",0.9863,1,"5","525 vs 487","-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"525 vs 487",0.99
"7655","MOGAT2",0.9863,1,"NA","223 vs 206","-",NA,"-",NA,"1 vs 0",1.02,"-",NA,"-",NA,"222 vs 206",0.97
"7656","COMT",0.9863,1,"NA","56 vs 43","-",NA,"-",NA,"0 vs 0",1,"-",NA,"13 vs 11",0.94,"43 vs 32",1.05
"7657","ANKRD28",0.9863,1,"NA","566 vs 559","-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"566 vs 559",0.99
"7660","IL2",0.9863,1,"NA","9 vs 8","-",NA,"-",NA,"-",NA,"-",NA,"2 vs 2",0.99,"7 vs 6",0.99
"7661","CAPSL",0.9863,1,"NA","78 vs 73","-",NA,"-",NA,"3 vs 1",1.04,"-",NA,"-",NA,"75 vs 72",0.95
"7662","NEIL1",0.9862,1,"NA","242 vs 214","-",NA,"-",NA,"103 vs 82",1.03,"-",NA,"-",NA,"139 vs 132",0.96
"7663","GPT",0.9862,1,"NA","360 vs 347","-",NA,"-",NA,"5 vs 5",0.99,"-",NA,"-",NA,"355 vs 342",0.99
"7667","COX7B",0.9862,1,"NA","9 vs 9","-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"9 vs 9",0.99
"7675","PAGE3",0.9861,1,"NA","23 vs 18","-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"23 vs 18",0.99
"7682","KRCC1",0.9859,1,"NA","89 vs 78","-",NA,"-",NA,"2 vs 1",1.01,"-",NA,"-",NA,"87 vs 77",0.98
"7683","SLC13A2",0.9859,1,"NA","148 vs 124","-",NA,"-",NA,"6 vs 6",0.94,"-",NA,"10 vs 9",1.01,"132 vs 109",1.04
"7686","NFAM1",0.9858,1,"NA","117 vs 111","-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"117 vs 111",0.99
"7687","UBE2NL",0.9858,1,"NA","51 vs 37","-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"51 vs 37",0.99
"7688","CAPZA1",0.9858,1,"NA","322 vs 316","-",NA,"-",NA,"-",NA,"-",NA,"3 vs 2",0.98,"319 vs 314",1
"7694","FAM166A",0.9856,1,"NA","770 vs 715","-",NA,"-",NA,"25 vs 23",0.92,"-",NA,"-",NA,"745 vs 692",1.07
"7696","PTK6",0.9856,1,"NA","83 vs 79","-",NA,"-",NA,"3 vs 1",1.04,"-",NA,"-",NA,"80 vs 78",0.95
"7700","ATP13A5",0.9856,1,"NA","1719 vs 1607","-",NA,"-",NA,"380 vs 373",1,"-",NA,"-",NA,"1339 vs 1234",0.99
"7701","TSPAN1",0.9856,1,"NA","68 vs 65","-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"68 vs 65",0.99
"7704","COX7A2L",0.9855,1,"NA","33 vs 30","-",NA,"-",NA,"1 vs 1",1,"-",NA,"-",NA,"32 vs 29",0.99
"7705","RPF1",0.9855,1,"NA","788 vs 723","-",NA,"-",NA,"1 vs 1",0.99,"-",NA,"-",NA,"787 vs 722",1
"7706","ACAT1",0.9855,1,"NA","36 vs 35","-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"36 vs 35",0.99
"7709","SLC35A5",0.9854,1,"NA","136 vs 120","-",NA,"-",NA,"1 vs 1",1,"-",NA,"-",NA,"135 vs 119",0.99
"7713","ZNF76",0.9854,1,"NA","515 vs 506","-",NA,"-",NA,"2 vs 2",1,"-",NA,"-",NA,"513 vs 504",0.99
"7714","NIPA2",0.9854,1,"4","1 vs 1","-",NA,"-",NA,"1 vs 1",0.99,"-",NA,"-",NA,"-",NA
"7715","KANK3",0.9854,1,"NA","1 vs 1","-",NA,"-",NA,"1 vs 1",0.99,"-",NA,"-",NA,"-",NA
"7716","IRX1",0.9854,1,"NA","1 vs 1","-",NA,"-",NA,"1 vs 1",0.99,"-",NA,"-",NA,"-",NA
"7719","RPS2",0.9853,1,"NA","13 vs 8","-",NA,"-",NA,"-",NA,"-",NA,"6 vs 6",0.96,"7 vs 2",1.03
"7720","IAPP",0.9853,1,"NA","20 vs 14","-",NA,"-",NA,"4 vs 3",0.98,"-",NA,"-",NA,"16 vs 11",1.01
"7724","SLC11A1",0.9853,1,"NA","372 vs 351","-",NA,"-",NA,"5 vs 2",1.05,"-",NA,"-",NA,"367 vs 349",0.94
"7729","OTUD7B",0.9852,1,"NA","118 vs 107","-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"118 vs 107",0.99
"7732","KRTAP5-3",0.9852,1,"NA","107 vs 91","-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"107 vs 91",0.99
"7734","SLIRP",0.9852,1,"NA","126 vs 113","-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"126 vs 113",0.99
"7735","RPP14",0.9852,1,"NA","29 vs 22","-",NA,"-",NA,"-",NA,"-",NA,"1 vs 1",1,"28 vs 21",0.99
"7737","PKP3",0.9851,1,"NA","959 vs 949","-",NA,"-",NA,"4 vs 0",1.09,"-",NA,"-",NA,"955 vs 949",0.91
"7739","DNAJC12",0.985,1,"NA","136 vs 109","-",NA,"-",NA,"10 vs 7",0.99,"-",NA,"-",NA,"126 vs 102",0.99
"7741","CTSC",0.985,1,"NA","55 vs 53","-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"55 vs 53",0.98
"7742","SNX29",0.9849,1,"NA","2 vs 2","-",NA,"-",NA,"2 vs 2",0.98,"-",NA,"-",NA,"-",NA
"7744","CCDC30",0.9849,1,"NA","858 vs 849","-",NA,"-",NA,"19 vs 12",1.02,"-",NA,"1 vs 0",1.05,"838 vs 837",0.91
"7746","RAB3IP",0.9848,1,"NA","69 vs 55","-",NA,"-",NA,"2 vs 2",1,"-",NA,"-",NA,"67 vs 53",0.99
"7748","RNF151",0.9848,1,"NA","1007 vs 949","-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"1007 vs 949",0.98
"7750","BCL11B",0.9847,1,"NA","31 vs 30","-",NA,"-",NA,"-",NA,"5 vs 4",1.01,"9 vs 9",1,"17 vs 17",0.98
"7752","GIPC1",0.9847,1,"NA","51 vs 45","-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"51 vs 45",0.98
"7755","PRMT3",0.9846,1,"NA","96 vs 92","-",NA,"-",NA,"2 vs 1",1.03,"-",NA,"-",NA,"94 vs 91",0.95
"7763","GPD1",0.9845,1,"NA","119 vs 100","-",NA,"-",NA,"1 vs 0",1.02,"-",NA,"-",NA,"118 vs 100",0.96
"7765","FRMPD1",0.9845,1,"NA","843 vs 761","-",NA,"-",NA,"5 vs 2",1.06,"-",NA,"-",NA,"838 vs 759",0.93
"7768","ZC3H8",0.9845,1,"NA","67 vs 55","-",NA,"-",NA,"1 vs 0",1.02,"-",NA,"-",NA,"66 vs 55",0.96
"7769","H1FNT",0.9844,1,"NA","337 vs 308","-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"337 vs 308",0.98
"7772","IYD",0.9844,1,"NA","227 vs 206","-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"227 vs 206",0.98
"7774","RNF152",0.9844,1,"NA","224 vs 208","-",NA,"-",NA,"-",NA,"-",NA,"5 vs 4",1,"219 vs 204",0.98
"7776","LHFPL1",0.9843,1,"NA","13 vs 13","-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"13 vs 13",0.98
"7784","MAGEB4",0.9842,1,"NA","46 vs 35","-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"46 vs 35",0.98
"7785","WASF2",0.9842,1,"NA","131 vs 128","-",NA,"-",NA,"-",NA,"-",NA,"2 vs 1",1.05,"129 vs 127",0.94
"7786","NMUR1",0.9842,1,"NA","219 vs 215","-",NA,"-",NA,"1 vs 0",1.02,"-",NA,"-",NA,"218 vs 215",0.96
"7787","KCNK17",0.9841,1,"NA","136 vs 133","-",NA,"-",NA,"3 vs 3",0.99,"-",NA,"-",NA,"133 vs 130",1
"7788","ZC2HC1A",0.9841,1,"NA","310 vs 304","-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"310 vs 304",0.98
"7791","CDKN2AIP",0.9841,1,"NA","66 vs 49","-",NA,"-",NA,"-",NA,"-",NA,"3 vs 3",0.97,"63 vs 46",1.02
"7792","DGCR8",0.9841,1,"NA","220 vs 184","-",NA,"-",NA,"-",NA,"6 vs 4",1.07,"154 vs 136",0.9,"60 vs 44",1.03
"7797","MRPL30",0.984,1,"NA","184 vs 151","-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"184 vs 151",0.98
"7798","GALNT12",0.984,1,"NA","298 vs 292","-",NA,"-",NA,"3 vs 3",0.98,"-",NA,"-",NA,"295 vs 289",1
"7807","AAMDC",0.9839,1,"NA","19 vs 17","-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"19 vs 17",0.98
"7808","ZNF764",0.9838,1,"NA","371 vs 339","-",NA,"-",NA,"4 vs 3",1.02,"-",NA,"1 vs 0",1.05,"366 vs 336",0.92
"7809","BMP7",0.9838,1,"NA","128 vs 116","-",NA,"-",NA,"-",NA,"-",NA,"26 vs 21",0.98,"102 vs 95",1
"7815","TRIML2",0.9837,1,"NA","330 vs 320","-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"330 vs 320",0.98
"7816","TAS2R7",0.9837,1,"NA","738 vs 672","-",NA,"-",NA,"55 vs 52",0.97,"-",NA,"-",NA,"683 vs 620",1.01
"7817","SLC2A11",0.9837,1,"NA","669 vs 648","-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"669 vs 648",0.98
"7818","APOA2",0.9837,1,"NA","15 vs 14","-",NA,"-",NA,"-",NA,"-",NA,"1 vs 1",0.97,"14 vs 13",1.01
"7822","RPL14",0.9836,1,"NA","453 vs 393","-",NA,"-",NA,"-",NA,"-",NA,"1 vs 1",1,"452 vs 392",0.99
"7823","ASB9",0.9836,1,"NA","11 vs 9","-",NA,"-",NA,"-",NA,"-",NA,"3 vs 3",0.98,"8 vs 6",1.01
"7824","KRTAP17-1",0.9835,1,"NA","13 vs 13","-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"13 vs 13",0.98
"7828","GAS7",0.9835,1,"NA","53 vs 39","-",NA,"-",NA,"-",NA,"1 vs 1",0.95,"14 vs 10",1,"38 vs 28",1.03
"7831","DDOST",0.9834,1,"NA","111 vs 105","-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"111 vs 105",0.98
"7833","LY6D",0.9833,1,"NA","19 vs 19","-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"19 vs 19",0.98
"7835","CYSLTR1",0.9833,1,"NA","26 vs 24","-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"26 vs 24",0.98
"7842","MAP7D1",0.9832,1,"NA","565 vs 560","-",NA,"-",NA,"-",NA,"2 vs 1",1.08,"14 vs 11",0.9,"549 vs 548",1.01
"7843","ADAM8",0.9832,1,"NA","897 vs 884","-",NA,"-",NA,"3 vs 1",1.04,"-",NA,"-",NA,"894 vs 883",0.94
"7853","MFSD2A",0.9831,1,"NA","83 vs 78","-",NA,"-",NA,"-",NA,"-",NA,"28 vs 24",0.99,"55 vs 54",0.99
"7854","SVOPL",0.9831,1,"NA","264 vs 252","-",NA,"-",NA,"59 vs 50",0.95,"-",NA,"-",NA,"205 vs 202",1.03
"7855","CEP44",0.9831,1,"NA","149 vs 141","-",NA,"-",NA,"2 vs 0",1.06,"-",NA,"-",NA,"147 vs 141",0.93
"7858","MAGEB16",0.983,1,"NA","59 vs 45","-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"59 vs 45",0.98
"7859","ZNF354A",0.9829,1,"NA","145 vs 129","-",NA,"-",NA,"1 vs 1",1,"-",NA,"-",NA,"144 vs 128",0.98
"7869","NDUFB7",0.9828,1,"NA","33 vs 28","-",NA,"-",NA,"1 vs 1",1,"-",NA,"-",NA,"32 vs 27",0.98
"7872","DHRSX",0.9827,1,"NA","338 vs 314","-",NA,"-",NA,"1 vs 1",0.99,"-",NA,"1 vs 1",0.97,"336 vs 312",1.02
"7873","MUSTN1",0.9827,1,"NA","47 vs 43","-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"47 vs 43",0.98
"7875","ABHD10",0.9827,1,"NA","987 vs 985","-",NA,"-",NA,"2 vs 1",1.02,"-",NA,"-",NA,"985 vs 984",0.96
"7876","MREG",0.9827,1,"NA","48 vs 41","-",NA,"-",NA,"1 vs 0",1.02,"-",NA,"-",NA,"47 vs 41",0.96
"7877","DNAJC15",0.9826,1,"NA","51 vs 51","-",NA,"-",NA,"5 vs 5",0.95,"-",NA,"-",NA,"46 vs 46",1.03
"7879","FAAH2",0.9826,1,"NA","120 vs 119","-",NA,"-",NA,"1 vs 0",1.02,"-",NA,"-",NA,"119 vs 119",0.96
"7882","TMA16",0.9826,1,"NA","94 vs 87","-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"94 vs 87",0.98
"7889","MST1R",0.9824,1,"NA","1145 vs 1075","-",NA,"-",NA,"12 vs 11",0.94,"-",NA,"-",NA,"1133 vs 1064",1.05
"7893","SLC16A12",0.9824,1,"NA","75 vs 71","-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"75 vs 71",0.98
"7899","AMER3",0.9823,1,"NA","569 vs 512","-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"569 vs 512",0.98
"7901","AIMP2",0.9822,1,"NA","161 vs 148","-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"161 vs 148",0.98
"7904","CR1L",0.9822,1,"NA","2462 vs 2273","-",NA,"-",NA,"6 vs 5",1.02,"-",NA,"-",NA,"2456 vs 2268",0.96
"7908","RNF157",0.9821,1,"NA","1277 vs 1245","-",NA,"-",NA,"1 vs 0",1.02,"-",NA,"-",NA,"1276 vs 1245",0.96
"7912","EVPL",0.982,1,"NA","1925 vs 1898","-",NA,"-",NA,"7 vs 7",0.95,"-",NA,"-",NA,"1918 vs 1891",1.03
"7916","TNN",0.982,1,NA,"1512 vs 1314","-",NA,"-",NA,"10 vs 9",1,"-",NA,"-",NA,"1502 vs 1305",0.98
"7930","BRCA2",0.9818,1,"4","1546 vs 1519","-",NA,"-",NA,"99 vs 91",0.96,"-",NA,"-",NA,"1447 vs 1428",1.03
"7932","MYL6",0.9817,1,"NA","176 vs 160","-",NA,"-",NA,"-",NA,"-",NA,"1 vs 1",1,"175 vs 159",0.98
"7934","YJEFN3",0.9817,1,"NA","130 vs 126","-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"130 vs 126",0.98
"7940","CXCL9",0.9816,1,"NA","24 vs 23","-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"24 vs 23",0.98
"7941","GMPPA",0.9816,1,"NA","99 vs 78","-",NA,"-",NA,"1 vs 1",1,"-",NA,"25 vs 22",0.91,"73 vs 55",1.08
"7942","GXYLT1",0.9816,1,"NA","59 vs 51","-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"59 vs 51",0.98
"7944","PIP4P1",0.9816,1,"NA","40 vs 29","-",NA,"-",NA,"-",NA,"-",NA,"20 vs 17",0.95,"20 vs 12",1.03
"7945","SMAGP",0.9816,1,"NA","18 vs 16","-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"18 vs 16",0.98
"7950","CLDN8",0.9814,1,"NA","163 vs 151","-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"163 vs 151",0.98
"7953","MCAM",0.9814,1,"NA","811 vs 787","-",NA,"-",NA,"2 vs 0",1.04,"-",NA,"-",NA,"809 vs 787",0.94
"7962","TSPO",0.9813,1,"NA","53 vs 45","-",NA,"-",NA,"0 vs 0",1,"-",NA,"-",NA,"53 vs 45",0.98
"7966","C1orf226",0.9811,1,"NA","40 vs 40","-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"40 vs 40",0.98
"7977","MPI",0.981,1,"NA","226 vs 222","-",NA,"-",NA,"1 vs 1",1,"-",NA,"-",NA,"225 vs 221",0.98
"7978","COMMD10",0.981,1,"NA","15 vs 15","-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"15 vs 15",0.98
"7979","CMTM8",0.9809,1,"NA","54 vs 46","-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"54 vs 46",0.98
"7980","UCMA",0.9809,1,"NA","231 vs 226","-",NA,"-",NA,"4 vs 2",1,"-",NA,"-",NA,"227 vs 224",0.98
"7981","LCN15",0.9809,1,"NA","41 vs 34","-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"41 vs 34",0.98
"7987","AKIP1",0.9807,1,"NA","430 vs 406","-",NA,"-",NA,"2 vs 0",1.04,"-",NA,"-",NA,"428 vs 406",0.94
"7991","LRRC59",0.9807,1,"NA","29 vs 19","-",NA,"-",NA,"-",NA,"-",NA,"7 vs 7",0.92,"22 vs 12",1.07
"7996","FYCO1",0.9806,1,"NA","1250 vs 1133","-",NA,"-",NA,"4 vs 2",1.04,"-",NA,"-",NA,"1246 vs 1131",0.94
"7997","SNCG",0.9806,1,"NA","38 vs 32","-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"38 vs 32",0.98
"7998","UNG",0.9806,1,"NA","47 vs 46","-",NA,"-",NA,"1 vs 0",1.02,"-",NA,"-",NA,"46 vs 46",0.96
"8006","FBXL22",0.9805,1,"NA","194 vs 179","-",NA,"-",NA,"4 vs 3",0.98,"-",NA,"1 vs 0",1.05,"189 vs 176",0.95
"8008","PRXL2C",0.9805,1,"NA","58 vs 54","-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"58 vs 54",0.98
"8010","ATP5PF",0.9804,1,"NA","60 vs 53","-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"60 vs 53",0.98
"8021","PRELID3B",0.9802,1,"NA","60 vs 56","-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"60 vs 56",0.98
"8024","OR5AK2",0.9801,1,"NA","21 vs 14","-",NA,"-",NA,"21 vs 14",0.98,"-",NA,"-",NA,"-",NA
"8028","NUDT14",0.9801,1,"NA","95 vs 89","-",NA,"-",NA,"1 vs 0",1.02,"-",NA,"-",NA,"94 vs 89",0.96
"8030","NOVA1",0.98,1,"NA","18 vs 18","-",NA,"-",NA,"-",NA,"-",NA,"2 vs 2",0.99,"16 vs 16",0.99
"8033","PRR15L",0.98,1,"NA","83 vs 63","-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"83 vs 63",0.98
"8034","BMP2K",0.98,1,"NA","527 vs 485","-",NA,"-",NA,"70 vs 58",0.98,"-",NA,"-",NA,"457 vs 427",1
"8037","PRM1",0.9799,1,"NA","109 vs 101","-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"109 vs 101",0.98
"8039","ZNF680",0.9799,1,"NA","135 vs 119","-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"135 vs 119",0.98
"8040","TSSC4",0.9799,1,"NA","469 vs 432","-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"469 vs 432",0.98
"8041","PDCD4",0.9799,1,"NA","128 vs 127","-",NA,"-",NA,"1 vs 0",1.02,"-",NA,"-",NA,"127 vs 127",0.96
"8046","TMEM116",0.9798,1,"NA","56 vs 56","-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"56 vs 56",0.98
"8048","DOK1",0.9798,1,"NA","78 vs 73","-",NA,"-",NA,"1 vs 0",1.02,"-",NA,"3 vs 3",0.95,"74 vs 70",1.01
"8050","HAUS3",0.9797,1,"NA","133 vs 129","-",NA,"-",NA,"4 vs 1",1.06,"-",NA,"-",NA,"129 vs 128",0.92
"8054","CRISP2",0.9796,1,"NA","390 vs 354","-",NA,"-",NA,"3 vs 3",1.01,"-",NA,"-",NA,"387 vs 351",0.97
"8055","TFG",0.9795,1,"NA","56 vs 52","-",NA,"-",NA,"-",NA,"-",NA,"3 vs 3",0.99,"53 vs 49",0.99
"8058","SLC7A10",0.9795,1,"NA","81 vs 64","-",NA,"-",NA,"-",NA,"-",NA,"36 vs 29",0.9,"45 vs 35",1.09
"8059","CCL15",0.9795,1,"NA","51 vs 43","-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"51 vs 43",0.98
"8062","RMI2",0.9794,1,"NA","12 vs 8","-",NA,"-",NA,"-",NA,"-",NA,"1 vs 1",0.97,"11 vs 7",1.01
"8067","THAP1",0.9793,1,"NA","14 vs 13","-",NA,"-",NA,"-",NA,"-",NA,"6 vs 5",0.98,"8 vs 8",1
"8069","CHRNA6",0.9793,1,"NA","97 vs 96","-",NA,"-",NA,"1 vs 0",1.02,"-",NA,"-",NA,"96 vs 96",0.96
"8092","CENPX",0.9792,1,"NA","106 vs 95","-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"106 vs 95",0.98
"8097","XIAP",0.979,1,"NA","24 vs 24","-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"24 vs 24",0.98
"8098","STAC",0.979,1,"NA","170 vs 159","-",NA,"-",NA,"2 vs 2",1,"-",NA,"-",NA,"168 vs 157",0.98
"8103","DEFB131A",0.979,1,"NA","10 vs 10","-",NA,"-",NA,"0 vs 0",1,"-",NA,"-",NA,"10 vs 10",0.98
"8104","WBP2NL",0.9789,1,"NA","144 vs 138","-",NA,"-",NA,"6 vs 5",0.96,"-",NA,"-",NA,"138 vs 133",1.02
"8105","KRTAP5-7",0.9789,1,"NA","71 vs 69","-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"71 vs 69",0.98
"8107","TEX9",0.9789,1,"NA","94 vs 87","-",NA,"-",NA,"5 vs 5",0.96,"-",NA,"-",NA,"89 vs 82",1.02
"8109","RNF216",0.9789,1,"NA","138 vs 127","-",NA,"-",NA,"1 vs 0",1.02,"-",NA,"-",NA,"137 vs 127",0.96
"8116","LIMCH1",0.9788,1,"NA","511 vs 501","2 vs 1",1.05,"-",NA,"-",NA,"-",NA,"-",NA,"509 vs 500",0.93
"8122","OTUD6B",0.9787,1,"NA","452 vs 438","-",NA,"-",NA,"1 vs 1",1,"-",NA,"-",NA,"451 vs 437",0.98
"8124","PUS3",0.9786,1,"NA","642 vs 629","-",NA,"-",NA,"1 vs 1",0.99,"-",NA,"-",NA,"641 vs 628",0.99
"8128","KCTD1",0.9786,1,"NA","19 vs 12","-",NA,"-",NA,"-",NA,"-",NA,"4 vs 4",0.96,"15 vs 8",1.02
"8133","TSHZ2",0.9785,1,"NA","353 vs 349","-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"353 vs 349",0.98
"8138","MEI1",0.9784,1,"NA","823 vs 722","-",NA,"-",NA,"5 vs 5",1,"-",NA,"-",NA,"818 vs 717",0.98
"8139","C7orf33",0.9784,1,"NA","306 vs 300","-",NA,"-",NA,"3 vs 3",0.99,"-",NA,"-",NA,"303 vs 297",0.98
"8144","MRPL36",0.9783,1,"NA","321 vs 281","-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"321 vs 281",0.98
"8145","GPIHBP1",0.9783,1,"NA","41 vs 36","-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"41 vs 36",0.98
"8148","KLRC3",0.9783,1,"NA","121 vs 109","-",NA,"-",NA,"79 vs 79",0.94,"-",NA,"-",NA,"42 vs 30",1.04
"8149","MCHR1",0.9783,1,"NA","372 vs 344","-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"372 vs 344",0.98
"8154","MRPS11",0.9782,1,"NA","84 vs 68","-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"84 vs 68",0.98
"8155","LMO7",0.9782,1,"NA","787 vs 774","-",NA,"-",NA,"7 vs 5",1.01,"-",NA,"-",NA,"780 vs 769",0.96
"8156","C11orf54",0.9782,1,"NA","85 vs 72","-",NA,"-",NA,"5 vs 5",0.95,"-",NA,"-",NA,"80 vs 67",1.03
"8157","GPRC6A",0.9781,1,"NA","581 vs 553","-",NA,"-",NA,"7 vs 7",0.96,"-",NA,"-",NA,"574 vs 546",1.02
"8162","DNAJC21",0.9779,1,"NA","392 vs 385","-",NA,"-",NA,"2 vs 1",1.01,"-",NA,"-",NA,"390 vs 384",0.97
"8164","RNF103",0.9779,1,"NA","317 vs 316","-",NA,"-",NA,"-",NA,"-",NA,"1 vs 1",1,"316 vs 315",0.98
"8167","OR4K2",0.9779,1,"NA","33 vs 29","-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"33 vs 29",0.98
"8169","QSOX1",0.9779,1,"NA","383 vs 347","-",NA,"-",NA,"9 vs 6",0.99,"-",NA,"-",NA,"374 vs 341",0.99
"8172","MAGEA10",0.9778,1,"NA","65 vs 60","-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"65 vs 60",0.98
"8173","NDUFA5",0.9778,1,"4","118 vs 101","-",NA,"-",NA,"106 vs 90",0.97,"-",NA,"-",NA,"12 vs 11",1.01
"8177","SLC39A11",0.9778,1,NA,"275 vs 275","-",NA,"-",NA,"2 vs 2",1.03,"-",NA,"-",NA,"273 vs 273",0.95
"8178","ATP5PD",0.9778,1,"NA","26 vs 24","-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"26 vs 24",0.98
"8181","RASSF7",0.9777,1,"NA","211 vs 206","-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"211 vs 206",0.98
"8183","SLC29A3",0.9777,1,"NA","341 vs 325","-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"341 vs 325",0.98
"8184","THY1",0.9777,1,"NA","19 vs 17","-",NA,"-",NA,"-",NA,"-",NA,"4 vs 4",0.98,"15 vs 13",1
"8189","IRAK1BP1",0.9777,1,"NA","634 vs 609","-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"634 vs 609",0.98
"8190","ZDHHC4",0.9777,1,"NA","207 vs 178","-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"207 vs 178",0.98
"8191","GRPEL1",0.9776,1,"NA","27 vs 23","-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"27 vs 23",0.98
"8192","LAT2",0.9776,1,"NA","309 vs 274","-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"309 vs 274",0.98
"8193","OR1S1",0.9776,1,"NA","319 vs 272","-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"319 vs 272",0.98
"8203","VRK3",0.9775,1,"5","71 vs 69","-",NA,"-",NA,"3 vs 2",1.01,"-",NA,"-",NA,"68 vs 67",0.97
"8205","TCEANC",0.9774,1,"NA","29 vs 27","-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"29 vs 27",0.98
"8211","AC118549.1",0.9773,1,"NA","854 vs 749","-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"854 vs 749",0.98
"8214","SELENOO",0.9773,1,"NA","608 vs 584","-",NA,"-",NA,"3 vs 1",1.03,"-",NA,"-",NA,"605 vs 583",0.95
