"","LoF_pvalue","LoF.Missense_pvalue","fisher_combine_pvalue","LoF_ACAT_pvalue","Missense_ACAT_pvalue"
"ATP6V1B2",0.5,0.38720703125,0.596573590279973,0.5,0.980769230769231
"LZTS1",1,1,1,NA,0.993197278911565
"MYOM2",0.369068401520926,0.369068401520926,0.736945923440982,0.981132075471698,0.997916666666667
"GFRA2",0.25,0.34375,0.474544779940224,0.25,0.989130434782609
"DOK2",0.999170973736909,0.999170973736909,0.999999656262725,0.833333333333333,0.991596638655462
"XPO7",1,0.36328125,0.73113183388026,NA,0.986842105263158
"NPM2",0.5,0.5,0.846573590279973,0.8,0.974358974358974
"FGF17",1,0.890625,0.993787710702062,NA,0.95
"DMTN",1,1,1,0.5,0.984375
"FAM160B2",0.360050065908582,0.360050065908582,0.727845595528254,0.923076923076923,0.994350282485876
"NUDT18",0.5,0.5,0.846573590279972,0.719529912567064,0.986111111111111
"HR",0.5,0.5,0.846573590279973,0.857142857142857,0.99601593625498
"REEP4",0.34375,0.34375,0.710820216562966,0.75,0.984126984126984
"LGI3",0.85546875,0.85546875,0.989012310590666,0.666666666666667,0.992424242424242
"SFTPC",0.5,0.5,0.846573590279973,0.647583617650433,0.974358974358974
"BMP1",0.623046875,0.623046875,0.917831237498511,0.9,0.993975903614458
"PHYHIP",1,0.04656982421875,0.18939027739693,NA,0.96551724137931
"POLR3D",0.25390625,0.25390625,0.60195844276545,0.9,0.983333333333333
"PIWIL2",0.29052734375,0.29052734375,0.649635869367769,0.909090909090909,0.994871794871795
"SLC39A14",0.5,0.5,0.846573590279973,0.666666666666667,0.984615384615385
"PPP3CC",0.01953125,0.01953125,0.0964011627352629,0.464697480351567,0.986111111111111
"SORBS3",0.8665771484375,0.8665771484375,0.990674583064462,0.9,0.994186046511628
"PDLIM2",0.75,0.75,0.965761554338836,0.5,0.993377483443709
"C8orf58",0.1875,0.1875,0.501370581294688,0.75,0.988372093023256
"CCAR2",0.1875,0.5,0.424787185562981,0.5,0.994011976047904
"BIN3",0.96484375,0.96484375,0.999374647028678,0.833333333333333,NA
"EGR3",1,1,1,1,NA
"PEBP4",1,1,1,0.5,0.984126984126984
"RHOBTB2",0.8125,0.661180257797241,0.833475008544637,0.8,0.990740740740741
"TNFRSF10B",0.915681228041649,0.915681228041649,0.996340821327152,0.881460887406455,0.989010989010989
"TNFRSF10C",0.875,0.875,0.991839968546457,0.5,0.952380952380952
"TNFRSF10D",0.109375,0.109375,0.351418914689539,0.5,0.986301369863014
"TNFRSF10A",0.059234619140625,0.059234619140625,0.226646409670159,0.390438848615247,0.991150442477876
"CHMP7",1,1,1,0.666666666666667,0.984615384615385
"R3HCC1",0.890625,0.890625,0.993787710702062,0.8,NA
"LOXL2",0.105056762695313,0.105056762695313,0.341776383661316,0.8,0.994652406417112
"ENTPD4",0.295026665888318,0.295026665888318,0.655162629155395,0.956521739130435,0.992647058823529
"SLC25A37",0.1875,0.1875,0.501370581294688,0.8,0.978260869565217
"NKX3-1",1,1,1,NA,0.977777777777778
"NKX2-6",0.5,0.5,0.846573590279973,0.5,0.983870967741935
"STC1",1,1,1,1,0.96875
"ZNF596",0.243425120832398,0.243425120832398,0.587371646230829,0.9375,0.992248062015504
"ADAM28",0.999843724421225,0.999843724421225,0.999999987788336,0.95,0.993710691823899
"ADAMDEC1",0.928268432617188,0.928268432617188,0.997363470287329,0.888888888888889,0.986486486486487
"ADAM7",0.438807164376158,0.438807164376158,0.800250529715877,0.752584011577695,0.993506493506494
"NEFM",1,1,1,1,0.991803278688525
"DOCK5",0.5,0.5,0.846573590279973,0.928571428571429,0.997076023391813
"GNRH1",0.890625,0.890625,0.993787710702062,0.8,0.96
"KCTD9",0.5,0.25,0.596573590279973,0.5,0.833333333333333
"CDCA2",0.875,0.875,0.991839968546457,0.666666666666667,0.99438202247191
"EBF2",0.875,0.875,0.991839968546457,0.666666666666667,0.985074626865672
"PPP2R2A",1,0.34375,0.710820216562966,NA,0.961538461538462
"BNIP3L",0.5,0.5,0.846573590279973,0.5,0.967741935483871
"PNMA2",0.8125,0.8125,0.981206983882324,0.75,0.984375
"DPYSL2",1,0.604736328125,0.90889616702116,NA,0.981818181818182
"ADRA1A",0.912267375504598,0.912267375504598,0.996033733665709,0.888888888888889,0.988235294117647
"STMN4",0.875,0.763435170054436,0.918719442881979,0.666666666666667,0.96
"TRIM35",0.5,0.5,0.846573590279973,0.833333333333333,0.989690721649485
"PTK2B",0.759658813476562,0.759658813476562,0.968478291984216,0.745647677200417,0.99492385786802
"CHRNA2",0.5,0.5,0.846573590279973,0.833333333333333,0.98936170212766
"EPHX2",0.682085998685579,0.682085998685579,0.943051782095038,0.941176470588235,0.991666666666667
"CLU",0.5,0.5,0.846573590279973,0.5,0.9875
"SCARA3",0.598190307617187,0.598190307617187,0.905568205115889,0.9,0.992700729927007
"CCDC25",1,1,1,NA,0.933333333333333
"ESCO2",0.0625,0.0625,0.235786795139986,0.5,0.989247311827957
"PBK",0.78802490234375,0.78802490234375,0.975752597798862,0.857142857142857,0.982142857142857
"SCARA5",0.828125,0.828125,0.984302062496877,0.833333333333333,0.990825688073395
"NUGGC",0.0997954334598038,0.0997954334598038,0.329787268053254,0.909090909090909,0.99290780141844
