"","LoF_pvalue","All_variants_pvalue","fisher_combine_pvalue","LoF_ACAT_pvalue","Missense_ACAT_pvalue"
"ADAM17",0.96875,0.96875,0.99950655149225,0.666666666666667,0.975609756097561
"MAL",1,1,1,NA,0.941176470588235
"MRPS5",0.9375,0.9375,0.998004863566473,0.666666666666667,0.979166666666667
"ZNF514",1,1,1,NA,0.972972972972973
"ZNF2",1,1,1,NA,0.98
"PROM2",0.78802490234375,0.78802490234375,0.975752597798862,0.875,0.98876404494382
"KCNIP3",1,1,1,NA,0.961538461538462
"FAHD2A",1,1,1,NA,0.75
"TRIM43",1,1,1,NA,1
"YWHAQ",1,1,1,NA,0.666666666666667
"GPAT2",1,0.5,0.846573590279973,NA,0.923076923076923
"ADRA2B",1,1,1,NA,0.979166666666667
"ASTL",0.5,0.5,0.846573590279973,0.647583617650433,0.977272727272727
"DUSP2",1,0.80615234375,0.95833631868662,1,0.967741935483871
"STARD7",1,1,1,1,0.962962962962963
"TMEM127",0.5,0.5,0.846573590279973,0.5,0.947368421052632
"CIAO1",1,1,1,NA,0.95
"SNRNP200",1,0.69620431936346,0.948308327076831,NA,0.982758620689655
"ITPRIPL1",0.876105718314647,0.876105718314647,0.991986918310966,0.8,0.981818181818182
"NCAPH",1,1,1,1,0.984375
"ARID5A",1,0.5,0.846573590279973,NA,0.978723404255319
"KANSL3",1,0.36328125,0.73113183388026,NA,0.979166666666667
"LMAN2L",0.5,0.5,0.846573590279973,0.5,0.944444444444444
"CNNM4",0.5,0.80615234375,0.803976632647832,0.5,0.974358974358974
"CNNM3",0.5,0.5,0.846573590279973,0.666666666666667,NA
"ANKRD23",0.588098526000976,0.588098526000976,0.900296970520863,0.857142857142857,0.96969696969697
"ANKRD39",1,1,1,NA,0.947368421052632
"SEMA4C",1,0.5,0.846573590279973,NA,0.984848484848485
"FAM178B",0.376953125,0.376953125,0.744721574558559,0.75,0.976744186046512
"FAHD2B",1,1,1,NA,0.5
"ANKRD36",0.84912109375,0.84912109375,0.987997796615769,0.5,NA
"COX5B",1,1,1,NA,0.875
"ACTR1B",0.5,0.5,0.846573590279973,0.5,0.966666666666667
"ZAP70",0.7734375,0.5,0.660565852892113,0.7734375,0.972222222222222
"TMEM131",1,1,1,NA,0.991666666666667
"VWA3B",0.155252329539508,0.155252329539508,0.444441395414663,0.9,0.989247311827957
"CNGA3",0.676197052001953,0.676197052001953,0.940773178585611,0.720420172755919,0.987341772151899
"TAF1B",0.738266468048096,0.738266468048096,0.962293761278177,0.857142857142857,0.980769230769231
"INPP4A",1,1,1,1,0.979591836734694
"COA5",1,1,1,NA,0.9
"UNC50",0.9375,0.9375,0.998004863566473,0.9375,0.9
