"","LoF_T","LoF_UT","LoF_OR","LoF_P_value","Missense_T","Missense_UT","Missense_OR","Missense_P_value","LoF.Missense_T","LoF.Missense_UT","LoF.Missense_OR","LoF.Missense_P_value"
"TXK",3,6,0.500014255773652,0.91015625,0,0,0,1,3,6,0.500014255773652,0.91015625
"TEC",4,2,1.99994297987752,0.34375,0,0,0,1,4,2,1.99994297987752,0.34375
"SLAIN2",2,1,1.99994298122268,0.5,0,0,0,1,2,1,1.99994298122268,0.5
"SLC10A4",4,4,1,0.63671875,0,1,0,1,4,5,0.800007767854906,0.74609375
"ZAR1",2,2,1,0.6875,1,3,0.33332444571292,0.9375,3,5,0.600013956752488,0.85546875
"FRYL",14,8,1.74995639667079,0.143139362335205,1,1,1,0.75,15,9,1.66662788897156,0.153728127479553
"MSX1",1,0,Inf,0.5,2,0,Inf,0.25,3,0,Inf,0.125
"OCIAD1",3,3,1,0.65625,0,0,0,1,3,3,1,0.65625
"OCIAD2",5,4,1.24998786284456,0.5,0,0,0,1,5,4,1.24998786284456,0.5
"CWH43",9,13,0.692319593933029,0.856860637664795,0,0,0,1,9,13,0.692319593933029,0.856860637664795
"PIGG",9,3,3.00007917498088,0.072998046875,0,0,0,1,9,3,3.00007917498088,0.072998046875
"CYTL1",4,8,0.500014256110559,0.927001953125,0,0,0,1,4,8,0.500014256110559,0.927001953125
"STK32B",2,3,0.666679308369914,0.8125,0,0,0,1,2,3,0.666679308369914,0.8125
"DCUN1D4",1,0,Inf,0.5,0,0,0,1,1,0,Inf,0.5
"LRRC66",6,5,1.19999087482567,0.5,0,0,0,1,6,5,1.19999087482567,0.5
"SGCB",9,4,2.25007947463828,0.1334228515625,0,0,0,1,9,4,2.25007947463828,0.1334228515625
"SPATA18",7,7,1,0.604736328125,0,0,0,1,7,7,1,0.604736328125
"USP46",1,0,Inf,0.5,2,3,0.666679308369914,0.8125,3,3,1,0.65625
"RASL11B",0,0,0,1,0,0,0,1,0,0,0,1
"SCFD2",12,14,0.857148181600067,0.721401453018188,0,0,0,1,12,14,0.857148181600067,0.721401453018188
"FIP1L1",3,3,1,0.65625,8,8,1,0.598190307617187,11,11,1,0.584094047546386
"LNX1",14,16,0.875004582440203,0.707667644135654,0,0,0,1,14,16,0.875004582440203,0.707667644135654
"CHIC2",0,1,0,1,2,0,Inf,0.25,2,1,1.99994298122268,0.5
"GSX2",2,3,0.666679308369914,0.8125,3,3,1,0.65625,5,6,0.833339670308138,0.7255859375
"PDGFRA",3,2,1.49997155670705,0.5,1,0,Inf,0.5,4,2,1.99994297987752,0.34375
"KIT",1,3,0.33332444571292,0.9375,0,0,0,1,1,3,0.33332444571292,0.9375
"KDR",2,2,1,0.6875,18,17,1.05884486925089,0.5,20,19,1.05264876466869,0.5
"SRD5A3",7,1,6.99954948592764,0.03515625,0,0,0,1,7,1,6.99954948592764,0.03515625
"TMEM165",1,0,Inf,0.5,0,0,0,1,1,0,Inf,0.5
"CLOCK",0,3,0,1,0,0,0,1,0,3,0,1
"PDCL2",3,2,1.49997155670705,0.5,0,0,0,1,3,2,1.49997155670705,0.5
"NMU",1,3,0.33332444571292,0.9375,0,0,0,1,1,3,0.33332444571292,0.9375
"EVC2",21,17,1.2352828875421,0.313551285078574,0,0,0,1,21,17,1.2352828875421,0.313551285078574
"EXOC1",5,13,0.384605946666382,0.98455810546875,5,6,0.833339670308138,0.7255859375,10,19,0.526330142758832,0.969285827130079
"CEP135",18,23,0.782617202123124,0.825555560275461,0,0,0,1,18,23,0.782617202123124,0.825555560275461
"KIAA1211",2,6,0.33332449100887,0.96484375,0,0,0,1,2,6,0.33332449100887,0.96484375
"AASDH",9,12,0.750009839348803,0.808344841003418,0,0,0,1,9,12,0.750009839348803,0.808344841003418
"PPAT",0,0,0,1,0,4,0,1,0,4,0,1
"PAICS",2,3,0.666679308369914,0.8125,0,0,0,1,2,3,0.666679308369914,0.8125
"SRP72",0,2,0,1,0,0,0,1,0,2,0,1
"ARL9",2,0,Inf,0.25,0,0,0,1,2,0,Inf,0.25
"THEGL",6,3,1.99994297853116,0.25390625,0,0,0,1,6,3,1.99994297853116,0.25390625
"HOPX",1,2,0.500014255100735,0.875,0,0,0,1,1,2,0.500014255100735,0.875
"SPINK2",0,2,0,1,0,0,0,1,0,2,0,1
"REST",1,0,Inf,0.5,3,3,1,0.65625,4,3,1.33331584334321,0.5
"NOA1",10,8,1.24998786282077,0.407264709472656,1,5,0.200016783456664,0.984375,11,13,0.84615963525029,0.729371905326843
"POLR2B",1,2,0.500014255100735,0.875,29,23,1.26085674786996,0.244227834689946,30,25,1.19999087728241,0.295026665888318
"IGFBP7",5,5,1,0.623046875,0,0,0,1,5,5,1,0.623046875
"EVC",13,8,1.62496372108961,0.191655158996582,0,0,0,1,13,8,1.62496372108961,0.191655158996582
"CRMP1",1,1,1,0.75,0,0,0,1,1,1,1,0.75
"C4orf50",13,8,1.62496372108961,0.191655158996582,0,0,0,1,13,8,1.62496372108961,0.191655158996582
"JAKMIP1",0,2,0,1,0,0,0,1,0,2,0,1
"PDE6B",15,26,0.576937278613153,0.970208055990952,0,0,0,1,15,26,0.576937278613153,0.970208055990952
"WFS1",14,11,1.27271370645351,0.345018982887268,0,0,0,1,14,11,1.27271370645351,0.345018982887268
"PPP2R2C",1,0,Inf,0.5,7,4,1.74995640367567,0.2744140625,8,4,1.99994297718361,0.19384765625
"TECRL",2,5,0.399989311352963,0.9375,0,0,0,1,2,5,0.399989311352963,0.9375
"EPHA5",0,1,0,1,0,0,0,1,0,1,0,1
"MAN2B2",30,35,0.857148179297148,0.771489607294705,0,0,0,1,30,35,0.857148179297148,0.771489607294705
"MRFAP1",0,0,0,1,2,1,1.99994298122268,0.5,2,1,1.99994298122268,0.5
"S100P",0,3,0,1,0,0,0,1,0,3,0,1
"MRFAP1L1",0,0,0,1,0,0,0,1,0,0,0,1
"BLOC1S4",0,1,0,1,5,7,0.714296885722386,0.80615234375,5,8,0.62501357396942,0.8665771484375
"CENPC",3,0,Inf,0.125,0,0,0,1,3,0,Inf,0.125
"STAP1",2,3,0.666679308369914,0.8125,0,0,0,1,2,3,0.666679308369914,0.8125
"UBA6",3,4,0.750009838248499,0.7734375,0,0,0,1,3,4,0.750009838248499,0.7734375
"GNRHR",0,1,0,1,0,0,0,1,0,1,0,1
"TMPRSS11D",7,12,0.583347475328415,0.916465759277344,0,0,0,1,7,12,0.583347475328415,0.916465759277344
"MYL5",23,25,0.920023202388451,0.667267093961689,0,0,0,1,23,25,0.920023202388451,0.667267093961689
"TMPRSS11A",11,9,1.22221178418982,0.411901473999024,0,0,0,1,11,9,1.22221178418982,0.411901473999024
"TMPRSS11F",4,2,1.99994297987752,0.34375,0,0,0,1,4,2,1.99994297987752,0.34375
"TMPRSS11B",5,8,0.62501357396942,0.8665771484375,0,0,0,1,5,8,0.62501357396942,0.8665771484375
"KIAA0232",0,0,0,1,0,0,0,1,0,0,0,1
"YTHDC1",0,1,0,1,5,2,2.50006680582914,0.2265625,5,3,1.66662789881154,0.36328125
"TMPRSS11E",21,20,1.05001553812138,0.5,0,0,0,1,21,20,1.05001553812138,0.5
"UGT2B17",0,0,0,1,0,4,0,1,0,4,0,1
"UGT2B15",0,0,0,1,1,0,Inf,0.5,1,0,Inf,0.5
"UGT2B10",0,0,0,1,0,0,0,1,0,0,0,1
"UGT2A3",6,14,0.428557848039176,0.979305267333984,0,0,0,1,6,14,0.428557848039176,0.979305267333984
"UGT2B7",1,4,0.250027596706012,0.96875,0,0,0,1,1,4,0.250027596706012,0.96875
"UGT2B11",0,1,0,1,0,0,0,1,0,1,0,1
"TBC1D14",1,3,0.33332444571292,0.9375,0,0,0,1,1,3,0.33332444571292,0.9375
"UGT2B28",0,0,0,1,0,0,0,1,0,0,0,1
"UGT2B4",7,8,0.875004583473351,0.696380615234375,0,0,0,1,7,8,0.875004583473351,0.696380615234375
"UGT2A1",19,23,0.826093603463158,0.779600466328702,0,0,0,1,19,23,0.826093603463158,0.779600466328702
"UGT2A2",0,1,0,1,0,0,0,1,0,1,0,1
"SULT1B1",4,6,0.666679309338813,0.828125,0,0,0,1,4,6,0.666679309338813,0.828125
"SULT1E1",7,3,2.33340772037698,0.171875,0,0,0,1,7,3,2.33340772037698,0.171875
"CSN1S1",7,15,0.466680665215013,0.973760604858398,0,0,0,1,7,15,0.466680665215013,0.973760604858398
"CSN2",0,0,0,1,0,0,0,1,0,0,0,1
"STATH",0,0,0,1,0,0,0,1,0,0,0,1
"HTN3",0,0,0,1,0,0,0,1,0,0,0,1
"HTN1",2,2,1,0.6875,0,0,0,1,2,2,1,0.6875
"ODAM",5,3,1.66662789881154,0.36328125,0,0,0,1,5,3,1.66662789881154,0.36328125
"FDCSP",0,0,0,1,0,0,0,1,0,0,0,1
"CSN3",0,0,0,1,0,0,0,1,0,0,0,1
"CABS1",0,0,0,1,0,0,0,1,0,0,0,1
"SMR3A",0,0,0,1,0,0,0,1,0,0,0,1
"SMR3B",0,0,0,1,0,0,0,1,0,0,0,1
"CCDC96",10,6,1.66662789389482,0.227249145507813,0,0,0,1,10,6,1.66662789389482,0.227249145507813
"TADA2B",0,2,0,1,2,2,1,0.6875,2,4,0.500014255437044,0.890625
"MUC7",0,0,0,1,0,0,0,1,0,0,0,1
"AMTN",2,1,1.99994298122268,0.5,0,0,0,1,2,1,1.99994298122268,0.5
"AMBN",11,17,0.647071952389608,0.907533328980207,0,0,0,1,11,17,0.647071952389608,0.907533328980207
"GRPEL1",1,1,1,0.75,0,0,0,1,1,1,1,0.75
"ENAM",0,1,0,1,0,0,0,1,0,1,0,1
"UTP3",1,0,Inf,0.5,0,0,0,1,1,0,Inf,0.5
"RUFY3",2,2,1,0.6875,7,4,1.74995640367567,0.2744140625,9,6,1.49997155234536,0.303619384765625
"GRSF1",5,5,1,0.623046875,0,0,0,1,5,5,1,0.623046875
"MOB1B",10,2,4.99957992186891,0.019287109375,0,0,0,1,10,2,4.99957992186891,0.019287109375
"DCK",2,2,1,0.6875,0,0,0,1,2,2,1,0.6875
"SLC4A4",1,2,0.500014255100735,0.875,10,4,2.50006639448486,0.08978271484375,11,6,1.83328510689726,0.166152954101563
"GC",9,3,3.00007917498088,0.072998046875,0,0,0,1,9,3,3.00007917498088,0.072998046875
"SORCS2",5,4,1.24998786284456,0.5,18,9,1.9999429704279,0.0610390603542328,23,13,1.76918607278739,0.0662490819813685
"NPFFR2",1,2,0.500014255100735,0.875,0,0,0,1,1,2,0.500014255100735,0.875
"ADAMTS3",1,9,0.111117779642894,0.9990234375,0,0,0,1,1,9,0.111117779642894,0.9990234375
"COX18",7,4,1.74995640367567,0.2744140625,0,0,0,1,7,4,1.74995640367567,0.2744140625
"ANKRD17",0,0,0,1,23,22,1.04546740970626,0.500000000000001,23,22,1.04546740970626,0.500000000000001
"PCGF3",0,0,0,1,4,0,Inf,0.0625,4,0,Inf,0.0625
"ALB",4,5,0.800007767854906,0.74609375,0,0,0,1,4,5,0.800007767854906,0.74609375
"AFP",11,9,1.22221178418982,0.411901473999024,0,0,0,1,11,9,1.22221178418982,0.411901473999024
"AFM",4,3,1.33331584334321,0.5,0,0,0,1,4,3,1.33331584334321,0.5
"RASSF6",25,25,1,0.556137586329607,0,0,0,1,25,25,1,0.556137586329607
"CXCL6",3,1,3.0000799907165,0.3125,0,0,0,1,3,1,3.0000799907165,0.3125
"PF4V1",0,0,0,1,0,0,0,1,0,0,0,1
"CXCL1",0,0,0,1,0,0,0,1,0,0,0,1
"PF4",0,0,0,1,0,0,0,1,0,0,0,1
"PPBP",1,0,Inf,0.5,0,0,0,1,1,0,Inf,0.5
"CXCL5",2,5,0.399989311352963,0.9375,0,0,0,1,2,5,0.399989311352963,0.9375
"CXCL3",1,0,Inf,0.5,0,0,0,1,1,0,Inf,0.5
"CXCL2",0,0,0,1,0,0,0,1,0,0,0,1
"MTHFD2L",5,11,0.454559327210576,0.961593627929688,0,0,0,1,5,11,0.454559327210576,0.961593627929688
"EPGN",4,0,Inf,0.0625,0,0,0,1,4,0,Inf,0.0625
"EREG",1,1,1,0.75,0,0,0,1,1,1,1,0.75
"AREG",2,4,0.500014255437044,0.890625,44,59,0.745772724615114,0.942765878993721,46,63,0.730169340323245,0.95788921255165
"BTC",0,0,0,1,0,0,0,1,0,0,0,1
"PARM1",1,0,Inf,0.5,0,0,0,1,1,0,Inf,0.5
"RCHY1",1,1,1,0.75,0,0,0,1,1,1,1,0.75
"THAP6",1,0,Inf,0.5,0,0,0,1,1,0,Inf,0.5
"CDKL2",10,5,1.99994297583486,0.15087890625,0,0,0,1,10,5,1.99994297583486,0.15087890625
"G3BP2",1,0,Inf,0.5,8,7,1.14285115631106,0.5,9,7,1.28569989068322,0.401809692382813
"USO1",5,1,4.99958044879101,0.109375,0,0,0,1,5,1,4.99958044879101,0.109375
"PPEF2",12,15,0.800007767886719,0.778965830802917,0,0,0,1,12,15,0.800007767886719,0.778965830802917
"NAAA",5,3,1.66662789881154,0.36328125,0,1,0,1,5,4,1.24998786284456,0.5
"SDAD1",5,5,1,0.623046875,0,0,0,1,5,5,1,0.623046875
"CXCL9",0,0,0,1,0,0,0,1,0,0,0,1
"CXCL10",0,0,0,1,0,0,0,1,0,0,0,1
"CXCL11",1,0,Inf,0.5,0,0,0,1,1,0,Inf,0.5
"ART3",5,6,0.833339670308138,0.7255859375,0,0,0,1,5,6,0.833339670308138,0.7255859375
"NUP54",0,0,0,1,0,0,0,1,0,0,0,1
"SCARB2",7,5,1.39997810432657,0.38720703125,0,0,0,1,7,5,1.39997810432657,0.38720703125
"FAM47E",14,11,1.27271370645351,0.345018982887268,0,0,0,1,14,11,1.27271370645351,0.345018982887268
"CCDC158",22,26,0.846159634032072,0.764560493189144,0,0,0,1,22,26,0.846159634032072,0.764560493189144
"SHROOM3",4,4,1,0.63671875,0,0,0,1,4,4,1,0.63671875
"SOWAHB",1,1,1,0.75,0,0,0,1,1,1,1,0.75
"SEPT11",3,2,1.49997155670705,0.5,0,0,0,1,3,2,1.49997155670705,0.5
"CCNI",3,4,0.750009838248499,0.7734375,0,0,0,1,3,4,0.750009838248499,0.7734375
"CCNG2",0,0,0,1,0,0,0,1,0,0,0,1
"CXCL13",1,1,1,0.75,0,0,0,1,1,1,1,0.75
"AFAP1",8,6,1.33331584236617,0.395263671875,0,0,0,1,8,6,1.33331584236617,0.395263671875
"CNOT6L",0,0,0,1,3,1,3.0000799907165,0.3125,3,1,3.0000799907165,0.3125
"MRPL1",1,1,1,0.75,0,0,0,1,1,1,1,0.75
"FRAS1",37,25,1.47997282806952,0.0809407027627992,0,0,0,1,37,25,1.47997282806952,0.0809407027627992
"ANXA3",10,9,1.11110522650381,0.5,0,0,0,1,10,9,1.11110522650381,0.5
"CPLX1",1,0,Inf,0.5,0,0,0,1,1,0,Inf,0.5
"BMP2K",5,5,1,0.623046875,0,0,0,1,5,5,1,0.623046875
"PAQR3",7,7,1,0.604736328125,0,0,0,1,7,7,1,0.604736328125
"NAA11",5,3,1.66662789881154,0.36328125,0,0,0,1,5,3,1.66662789881154,0.36328125
"GK2",1,1,1,0.75,0,0,0,1,1,1,1,0.75
"ABLIM2",3,2,1.49997155670705,0.5,0,0,0,1,3,2,1.49997155670705,0.5
"ANTXR2",1,12,0.0833109045837686,0.9998779296875,0,0,0,1,1,12,0.0833109045837686,0.9998779296875
"PRDM8",1,1,1,0.75,0,0,0,1,1,1,1,0.75
"FGF5",1,1,1,0.75,0,0,0,1,1,1,1,0.75
"BMP3",1,0,Inf,0.5,0,0,0,1,1,0,Inf,0.5
"PRKG2",3,3,1,0.65625,0,0,0,1,3,3,1,0.65625
"RASGEF1B",3,2,1.49997155670705,0.5,0,0,0,1,3,2,1.49997155670705,0.5
"SH3TC1",22,23,0.956509969336074,0.617004087877602,0,0,0,1,22,23,0.956509969336074,0.617004087877602
"HNRNPD",0,0,0,1,2,5,0.399989311352963,0.9375,2,5,0.399989311352963,0.9375
"HNRNPDL",0,0,0,1,0,0,0,1,0,0,0,1
"ENOPH1",0,1,0,1,0,0,0,1,0,1,0,1
"TMEM150C",0,0,0,1,0,0,0,1,0,0,0,1
"SCD5",2,3,0.666679308369914,0.8125,0,0,0,1,2,3,0.666679308369914,0.8125
"HTRA3",1,4,0.250027596706012,0.96875,0,2,0,1,1,6,0.166678456622776,0.9921875
"SEC31A",4,3,1.33331584334321,0.5,0,0,0,1,4,3,1.33331584334321,0.5
"THAP9",6,10,0.600013958522591,0.894943237304688,0,0,0,1,6,10,0.600013958522591,0.894943237304688
"LIN54",1,0,Inf,0.5,2,2,1,0.6875,3,2,1.49997155670705,0.5
"COPS4",0,0,0,1,0,2,0,1,0,2,0,1
"PLAC8",0,0,0,1,0,0,0,1,0,0,0,1
"COQ2",2,2,1,0.6875,0,0,0,1,2,2,1,0.6875
"HPSE",11,14,0.785722660901136,0.787821888923645,0,0,0,1,11,14,0.785722660901136,0.787821888923645
"HELQ",13,8,1.62496372108961,0.191655158996582,0,0,0,1,13,8,1.62496372108961,0.191655158996582
"MRPS18C",9,13,0.692319593933029,0.856860637664795,0,0,0,1,9,13,0.692319593933029,0.856860637664795
"ACOX3",11,22,0.500014258477281,0.982458983315155,0,0,0,1,11,22,0.500014258477281,0.982458983315155
"TRMT44",19,24,0.791674790028246,0.819811173532116,0,0,0,1,19,24,0.791674790028246,0.819811173532116
"NKX6-1",1,0,Inf,0.5,11,5,2.19993285834997,0.105056762695313,12,5,2.4000704303545,0.0717315673828125
"CDS1",1,3,0.33332444571292,0.9375,0,0,0,1,1,3,0.33332444571292,0.9375
"WDFY3",5,3,1.66662789881154,0.36328125,11,15,0.733343815639524,0.836530208587646,16,18,0.888892908216961,0.69620431936346
"GAK",4,4,1,0.63671875,5,3,1.66662789881154,0.36328125,9,7,1.28569989068322,0.401809692382813
"ARHGAP24",5,6,0.833339670308138,0.7255859375,0,0,0,1,5,6,0.833339670308138,0.7255859375
"GPR78",1,1,1,0.75,0,0,0,1,1,1,1,0.75
"CPZ",35,30,1.1666594226683,0.310072382540653,0,0,0,1,35,30,1.1666594226683,0.310072382540653
"MAPK10",1,0,Inf,0.5,5,6,0.833339670308138,0.7255859375,6,6,1,0.61279296875
"PTPN13",21,18,1.16665942058124,0.374629312380421,0,0,0,1,21,18,1.16665942058124,0.374629312380421
"SLC10A6",4,3,1.33331584334321,0.5,0,0,0,1,4,3,1.33331584334321,0.5
"C4orf36",17,3,5.66624569132839,0.00128841400146485,0,0,0,1,17,3,5.66624569132839,0.00128841400146485
"AFF1",6,1,5.99957559160261,0.0625,0,0,0,1,6,1,5.99957559160261,0.0625
"KLHL8",6,6,1,0.61279296875,0,0,0,1,6,6,1,0.61279296875
"HSD17B13",28,29,0.96550987362381,0.604316786110409,0,0,0,1,28,29,0.96550987362381,0.604316786110409
"HSD17B11",5,4,1.24998786284456,0.5,0,0,0,1,5,4,1.24998786284456,0.5
"NUDT9",3,6,0.500014255773652,0.91015625,0,0,0,1,3,6,0.500014255773652,0.91015625
"SPARCL1",1,0,Inf,0.5,0,0,0,1,1,0,Inf,0.5
"DMP1",9,7,1.28569989068322,0.401809692382813,0,0,0,1,9,7,1.28569989068322,0.401809692382813
"IBSP",5,12,0.416654439533383,0.975479125976562,0,0,0,1,5,12,0.416654439533383,0.975479125976562
"MEPE",1,2,0.500014255100735,0.875,0,0,0,1,1,2,0.500014255100735,0.875
"SPP1",17,12,1.41664366396839,0.22912915982306,0,0,0,1,17,12,1.41664366396839,0.22912915982306
"PKD2",1,3,0.33332444571292,0.9375,0,0,0,1,1,3,0.33332444571292,0.9375
"ABCG2",53,46,1.15216744862634,0.273356741799407,0,0,0,1,53,46,1.15216744862634,0.273356741799407
"PPM1K",5,5,1,0.623046875,0,0,0,1,5,5,1,0.623046875
"HERC6",9,9,1,0.592735290527344,0,0,0,1,9,9,1,0.592735290527344
"HERC5",2,12,0.166678468743464,0.99908447265625,0,0,0,1,2,12,0.166678468743464,0.99908447265625
"PIGY",1,0,Inf,0.5,0,0,0,1,1,0,Inf,0.5
"HERC3",5,1,4.99958044879101,0.109375,0,0,0,1,5,1,4.99958044879101,0.109375
"HMX1",1,0,Inf,0.5,17,16,1.06252398413383,0.500000000000001,18,16,1.12499491306091,0.432083120220341
"NAP1L5",0,0,0,1,0,0,0,1,0,0,0,1
"FAM13A",10,8,1.24998786282077,0.407264709472656,0,0,0,1,10,8,1.24998786282077,0.407264709472656
"TIGD2",3,2,1.49997155670705,0.5,0,0,0,1,3,2,1.49997155670705,0.5
"GPRIN3",0,0,0,1,0,0,0,1,0,0,0,1
"SNCA",0,1,0,1,0,0,0,1,0,1,0,1
"MMRN1",16,11,1.45451995854003,0.221034169197083,0,0,0,1,16,11,1.45451995854003,0.221034169197083
"CCSER1",4,5,0.800007767854906,0.74609375,0,0,0,1,4,5,0.800007767854906,0.74609375
"GRID2",1,0,Inf,0.5,0,0,0,1,1,0,Inf,0.5
"ATOH1",0,0,0,1,0,0,0,1,0,0,0,1
"SMARCAD1",1,1,1,0.75,5,4,1.24998786284456,0.5,6,5,1.19999087482567,0.5
"HPGDS",4,7,0.571442807317693,0.88671875,0,0,0,1,4,7,0.571442807317693,0.88671875
"PDLIM5",1,1,1,0.75,0,0,0,1,1,1,1,0.75
"TMEM175",12,3,3.99955731864749,0.017578125,0,0,0,1,12,3,3.99955731864749,0.017578125
"BMPR1B",3,0,Inf,0.125,1,1,1,0.75,4,1,3.99955850143943,0.1875
"UNC5C",3,1,3.0000799907165,0.3125,0,0,0,1,3,1,3.0000799907165,0.3125
"PDHA2",0,0,0,1,0,0,0,1,0,0,0,1
"DGKQ",10,3,3.33354623261725,0.046142578125,3,6,0.500014255773652,0.91015625,13,9,1.44441961308513,0.261733531951904
"STPG2",5,6,0.833339670308138,0.7255859375,0,0,0,1,5,6,0.833339670308138,0.7255859375
"DRD5",0,0,0,1,0,0,0,1,0,0,0,1
"RAP1GDS1",2,3,0.666679308369914,0.8125,0,0,0,1,2,3,0.666679308369914,0.8125
"TSPAN5",1,1,1,0.75,2,0,Inf,0.25,3,1,3.0000799907165,0.3125
"SLC26A1",2,0,Inf,0.25,0,0,0,1,2,0,Inf,0.25
"EIF4E",0,0,0,1,1,1,1,0.75,1,1,1,0.75
"METAP1",12,7,1.71424415514444,0.179641723632813,0,0,0,1,12,7,1.71424415514444,0.179641723632813
"ADH5",0,3,0,1,0,0,0,1,0,3,0,1
"ADH4",8,12,0.666679311279021,0.868412017822266,0,0,0,1,8,12,0.666679311279021,0.868412017822266
"ADH6",10,6,1.66662789389482,0.227249145507813,0,0,0,1,10,6,1.66662789389482,0.227249145507813
"ADH1A",21,20,1.05001553812138,0.5,0,0,0,1,21,20,1.05001553812138,0.5
"ADH1B",0,1,0,1,0,0,0,1,0,1,0,1
"ADH7",8,7,1.14285115631106,0.5,0,0,0,1,8,7,1.14285115631106,0.5
"C4orf17",0,5,0,1,0,0,0,1,0,5,0,1
"TRMT10A",3,5,0.600013956752488,0.85546875,0,0,0,1,3,5,0.600013956752488,0.85546875
"MTTP",4,3,1.33331584334321,0.5,0,0,0,1,4,3,1.33331584334321,0.5
"DAPP1",3,2,1.49997155670705,0.5,0,0,0,1,3,2,1.49997155670705,0.5
"LAMTOR3",4,1,3.99955850143943,0.1875,0,0,0,1,4,1,3.99955850143943,0.1875
"DNAJB14",1,1,1,0.75,1,0,Inf,0.5,2,1,1.99994298122268,0.5
"FAM174A",2,1,1.99994298122268,0.5,0,0,0,1,2,1,1.99994298122268,0.5
"ST8SIA4",0,1,0,1,0,0,0,1,0,1,0,1
"NKD2",10,3,3.33354623261725,0.046142578125,0,0,0,1,10,3,3.33354623261725,0.046142578125
"SLCO4C1",7,8,0.875004583473351,0.696380615234375,0,0,0,1,7,8,0.875004583473351,0.696380615234375
"FAM173B",12,6,1.99994297448491,0.118942260742188,0,0,0,1,12,6,1.99994297448491,0.118942260742188
"SLCO6A1",3,1,3.0000799907165,0.3125,0,0,0,1,3,1,3.0000799907165,0.3125
"CCT5",0,0,0,1,0,0,0,1,0,0,0,1
"CMBL",14,28,0.500014259496059,0.99023976360877,0,0,0,1,14,28,0.500014259496059,0.99023976360877
"PAM",4,1,3.99955850143943,0.1875,0,0,0,1,4,1,3.99955850143943,0.1875
"GIN1",3,1,3.0000799907165,0.3125,0,0,0,1,3,1,3.0000799907165,0.3125
"PPIP5K2",7,13,0.538475896165297,0.942340850830078,7,7,1,0.604736328125,14,20,0.700011657421705,0.885259493486956
"C5orf30",0,1,0,1,0,0,0,1,0,1,0,1
"NUDT12",8,7,1.14285115631106,0.5,0,0,0,1,8,7,1.14285115631106,0.5
"MARCH6",0,1,0,1,1,2,0.500014255100735,0.875,1,3,0.33332444571292,0.9375
"ROPN1L",7,10,0.700011654785446,0.833847045898437,0,0,0,1,7,10,0.700011654785446,0.833847045898437
"SLC12A7",8,5,1.59996525139297,0.29052734375,0,0,0,1,8,5,1.59996525139297,0.29052734375
"DAP",0,4,0,1,0,0,0,1,0,4,0,1
"EFNA5",1,1,1,0.75,0,0,0,1,1,1,1,0.75
"FBXL17",0,2,0,1,0,0,0,1,0,2,0,1
"FER",2,6,0.33332449100887,0.96484375,0,0,0,1,2,6,0.33332449100887,0.96484375
"PJA2",1,1,1,0.75,3,0,Inf,0.125,4,1,3.99955850143943,0.1875
"MAN2A1",3,2,1.49997155670705,0.5,0,0,0,1,3,2,1.49997155670705,0.5
"CTNND2",0,0,0,1,17,20,0.85000562523338,0.744312109207385,17,20,0.85000562523338,0.744312109207385
"TMEM232",6,12,0.500014256785272,0.951873779296875,0,0,0,1,6,12,0.500014256785272,0.951873779296875
"SLC25A46",2,5,0.399989311352963,0.9375,0,0,0,1,2,5,0.399989311352963,0.9375
"TSLP",1,0,Inf,0.5,0,0,0,1,1,0,Inf,0.5
"WDR36",0,1,0,1,0,0,0,1,0,1,0,1
"CAMK4",1,0,Inf,0.5,3,4,0.750009838248499,0.7734375,4,4,1,0.63671875
"STARD4",10,4,2.50006639448486,0.08978271484375,0,0,0,1,10,4,2.50006639448486,0.08978271484375
"NREP",0,1,0,1,0,0,0,1,0,1,0,1
"EPB41L4A",25,20,1.24998786273661,0.27574216490126,0,0,0,1,25,20,1.24998786273661,0.27574216490126
"APC",5,1,4.99958044879101,0.109375,0,0,0,1,5,1,4.99958044879101,0.109375
"SRP19",0,2,0,1,0,0,0,1,0,2,0,1
"REEP5",1,3,0.33332444571292,0.9375,0,0,0,1,1,3,0.33332444571292,0.9375
"DCP2",5,1,4.99958044879101,0.109375,0,0,0,1,5,1,4.99958044879101,0.109375
"MCC",3,9,0.333324536345403,0.980712890625,0,0,0,1,3,9,0.333324536345403,0.980712890625
"TSSK1B",11,5,2.19993285834997,0.105056762695313,0,0,0,1,11,5,2.19993285834997,0.105056762695313
"YTHDC2",2,4,0.500014255437044,0.890625,0,0,0,1,2,4,0.500014255437044,0.890625
"KCNN2",0,1,0,1,5,6,0.833339670308138,0.7255859375,5,7,0.714296885722386,0.80615234375
"TRIM36",0,4,0,1,0,0,0,1,0,4,0,1
"PGGT1B",3,0,Inf,0.125,0,0,0,1,3,0,Inf,0.125
"CCDC112",0,3,0,1,0,0,0,1,0,3,0,1
"FEM1C",0,0,0,1,0,0,0,1,0,0,0,1
"TMED7-TICAM2",17,18,0.944425410218475,0.63206059957156,7,2,3.49954044171834,0.08984375,24,20,1.19999087667175,0.325793913604458
"TMED7",0,0,0,1,0,0,0,1,0,0,0,1
"CDO1",0,0,0,1,0,0,0,1,0,0,0,1
"ATG12",0,0,0,1,0,0,0,1,0,0,0,1
"AP3S1",0,0,0,1,0,0,0,1,0,0,0,1
"ARL14EPL",5,2,2.50006680582914,0.2265625,0,0,0,1,5,2,2.50006680582914,0.2265625
