"","Gene","BF","SFARI_score","total_count","g1_count","g1_BF","g2_count","g2_BF","g3_count","g3_BF","g4_count","g4_BF","g5_count","g5_BF","g6_count","g6_BF"
"10375","POGLUT1",0.8047,"NA","81 vs 74","-",NA,"-",NA,"2 vs 3",0.93,"-",NA,"21 vs 24",0.85,"58 vs 47",1.01
"10376","RAB19",0.8046,"6","69 vs 71","-",NA,"-",NA,"20 vs 15",0.85,"-",NA,"7 vs 7",1,"42 vs 49",0.95
"10377","FPGS",0.8046,"NA","109 vs 108","-",NA,"-",NA,"5 vs 4",0.96,"-",NA,"28 vs 28",0.92,"76 vs 76",0.91
"10378","CXADR",0.8045,"NA","18 vs 26","-",NA,"-",NA,"1 vs 1",1,"-",NA,"3 vs 6",0.89,"14 vs 19",0.91
"10379","NETO1",0.8045,"NA","45 vs 47","-",NA,"-",NA,"1 vs 1",1,"-",NA,"17 vs 21",0.84,"27 vs 25",0.97
"10380","PLA2G12A",0.8044,"NA","13 vs 23","-",NA,"-",NA,"0 vs 3",0.91,"-",NA,"-",NA,"13 vs 20",0.88
"10381","PID1",0.8043,"NA","42 vs 53","-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"42 vs 53",0.8
"10382","NUMBL",0.8043,"NA","150 vs 136","4 vs 1",2.55,"-",NA,"-",NA,"13 vs 17",0.35,"29 vs 25",1.04,"104 vs 93",0.86
"10383","RGS5",0.8042,"NA","57 vs 71","-",NA,"-",NA,"1 vs 1",1,"-",NA,"-",NA,"56 vs 70",0.81
"10384","RUSC1",0.8042,"NA","167 vs 193","-",NA,"5 vs 2",1.65,"-",NA,"4 vs 3",0.95,"64 vs 86",0.5,"94 vs 102",1.03
"10385","SYT2",0.8042,"NA","52 vs 67","-",NA,"1 vs 1",0.76,"-",NA,"9 vs 5",1.63,"11 vs 13",0.91,"31 vs 48",0.71
"10386","BCS1L",0.804,"NA","89 vs 81","-",NA,"-",NA,"8 vs 12",0.73,"-",NA,"43 vs 45",0.92,"38 vs 24",1.2
"10387","SLPI",0.804,"NA","17 vs 27","-",NA,"-",NA,"0 vs 1",0.94,"-",NA,"-",NA,"17 vs 26",0.86
"10388","PLEKHG5",0.8039,"NA","308 vs 326","-",NA,"-",NA,"10 vs 6",1.13,"-",NA,"21 vs 24",0.81,"277 vs 296",0.88
"10389","MTTP",0.8037,"NA","147 vs 147","-",NA,"-",NA,"4 vs 3",1.04,"-",NA,"3 vs 1",1.05,"140 vs 143",0.74
"10390","CLN6",0.8036,"NA","97 vs 94","-",NA,"-",NA,"4 vs 5",0.8,"-",NA,"31 vs 28",1.11,"62 vs 61",0.9
"10391","TIAL1",0.8036,"NA","8 vs 10","-",NA,"-",NA,"-",NA,"4 vs 4",0.88,"4 vs 6",0.92,"-",NA
"10392","TRMT1L",0.8036,"NA","108 vs 102","-",NA,"1 vs 1",0.76,"-",NA,"-",NA,"15 vs 26",0.78,"92 vs 75",1.36
"10393","GSX2",0.8036,"NA","71 vs 66","-",NA,"-",NA,"2 vs 3",0.92,"3 vs 3",0.92,"19 vs 25",0.74,"47 vs 35",1.3
"10394","DPH2",0.8035,"NA","163 vs 146","-",NA,"-",NA,"2 vs 3",0.93,"-",NA,"2 vs 1",1.03,"159 vs 142",0.84
"10395","IMPA2",0.8035,"NA","98 vs 89","-",NA,"-",NA,"1 vs 2",0.89,"-",NA,"36 vs 27",1.09,"61 vs 60",0.83
"10396","PKIB",0.8035,"NA","37 vs 41","-",NA,"-",NA,"0 vs 1",0.94,"-",NA,"-",NA,"37 vs 40",0.86
"10397","EXO5",0.8034,"NA","61 vs 69","-",NA,"-",NA,"9 vs 11",0.9,"-",NA,"-",NA,"52 vs 58",0.89
"10398","ISG20",0.8034,"NA","62 vs 61","-",NA,"-",NA,"2 vs 9",0.77,"-",NA,"2 vs 0",1.08,"58 vs 52",0.96
"10399","COX7A2L",0.8034,"NA","32 vs 47","-",NA,"-",NA,"3 vs 4",0.93,"-",NA,"-",NA,"29 vs 43",0.87
"10400","PRIM2",0.8033,"NA","23 vs 31","-",NA,"-",NA,"2 vs 3",0.97,"-",NA,"-",NA,"21 vs 28",0.83
"10401","SEMA4G",0.8031,"NA","272 vs 302","-",NA,"-",NA,"6 vs 5",1.03,"-",NA,"19 vs 20",1.07,"247 vs 277",0.73
"10402","NYAP1",0.8031,"NA","193 vs 182","0 vs 1",0.49,"-",NA,"-",NA,"3 vs 3",0.96,"-",NA,"190 vs 178",1.72
"10403","HLA-DQB1",0.803,"NA","5 vs 15","-",NA,"-",NA,"-",NA,"-",NA,"1 vs 7",0.83,"4 vs 8",0.97
"10404","KCNAB1",0.803,"NA","78 vs 93","-",NA,"-",NA,"3 vs 4",0.97,"-",NA,"29 vs 36",0.98,"46 vs 53",0.85
"10405","MTX3",0.803,"NA","79 vs 82","-",NA,"-",NA,"2 vs 1",1.06,"-",NA,"-",NA,"77 vs 81",0.76
"10406","RASGRP3",0.8029,"NA","112 vs 112","-",NA,"-",NA,"2 vs 3",0.89,"-",NA,"-",NA,"110 vs 109",0.9
"10407","TONSL",0.8028,"NA","413 vs 438","-",NA,"-",NA,"10 vs 11",0.92,"-",NA,"-",NA,"403 vs 427",0.87
"10408","CXCL5",0.8026,"NA","24 vs 30","-",NA,"-",NA,"2 vs 5",0.9,"-",NA,"-",NA,"22 vs 25",0.89
"10409","RNFT1",0.8026,"NA","78 vs 80","-",NA,"-",NA,"9 vs 6",0.97,"-",NA,"-",NA,"69 vs 74",0.83
"10410","NAA40",0.8026,"NA","32 vs 36","-",NA,"-",NA,"1 vs 1",1,"-",NA,"11 vs 16",0.85,"20 vs 19",0.95
"10411","ASTE1",0.8026,"NA","184 vs 172","-",NA,"-",NA,"5 vs 9",0.79,"-",NA,"-",NA,"179 vs 163",1.02
"10412","BTBD6",0.8026,"NA","60 vs 70","-",NA,"-",NA,"3 vs 4",0.97,"-",NA,"14 vs 16",0.97,"43 vs 50",0.86
"10413","AKNAD1",0.8025,"NA","203 vs 220","-",NA,"-",NA,"3 vs 1",1.08,"-",NA,"-",NA,"200 vs 219",0.74
"10414","POPDC2",0.8025,"NA","99 vs 95","-",NA,"-",NA,"6 vs 10",0.7,"-",NA,"-",NA,"93 vs 85",1.15
"10415","FLAD1",0.8024,"NA","225 vs 212","-",NA,"-",NA,"3 vs 3",0.99,"-",NA,"3 vs 2",1.01,"219 vs 207",0.8
"10416","P4HB",0.8024,"NA","153 vs 145","1 vs 1",0.74,"-",NA,"-",NA,"-",NA,"45 vs 39",1.07,"107 vs 105",1.02
"10417","ADA",0.8023,"3","102 vs 104","-",NA,"-",NA,"11 vs 5",1.14,"-",NA,"-",NA,"91 vs 99",0.7
"10418","SLBP",0.8021,"NA","34 vs 41","-",NA,"-",NA,"4 vs 4",0.9,"-",NA,"2 vs 1",1.01,"28 vs 36",0.88
"10419","TMPRSS5",0.8021,"NA","181 vs 164","-",NA,"-",NA,"15 vs 13",0.95,"-",NA,"-",NA,"166 vs 151",0.84
"10420","MAT2B",0.8021,"NA","58 vs 79","-",NA,"-",NA,"0 vs 1",0.94,"-",NA,"20 vs 31",0.79,"38 vs 47",1.09
"10421","MAG",0.8021,"NA","168 vs 175","-",NA,"-",NA,"2 vs 1",1.06,"-",NA,"70 vs 66",1.14,"96 vs 108",0.67
"10422","PRSS37",0.8019,"NA","88 vs 91","-",NA,"-",NA,"25 vs 20",0.98,"-",NA,"-",NA,"63 vs 71",0.82
"10423","CHRNA6",0.8019,"NA","142 vs 162","-",NA,"-",NA,"20 vs 26",0.96,"-",NA,"-",NA,"122 vs 136",0.84
"10424","ZNF747",0.8019,"NA","16 vs 24","-",NA,"-",NA,"0 vs 1",0.94,"-",NA,"1 vs 1",0.98,"15 vs 22",0.87
"10425","MGARP",0.8018,"NA","75 vs 79","-",NA,"-",NA,"3 vs 4",0.96,"-",NA,"-",NA,"72 vs 75",0.84
"10426","ITK",0.8017,"NA","94 vs 108","-",NA,"-",NA,"2 vs 3",0.93,"-",NA,"33 vs 30",1.13,"59 vs 75",0.77
"10427","LTV1",0.8017,"NA","166 vs 157","-",NA,"-",NA,"41 vs 35",0.83,"-",NA,"-",NA,"125 vs 122",0.96
"10428","ESPNL",0.8017,"NA","392 vs 414","-",NA,"-",NA,"8 vs 14",0.69,"-",NA,"-",NA,"384 vs 400",1.17
"10429","OR4D11",0.8016,"NA","69 vs 74","-",NA,"-",NA,"8 vs 16",0.91,"-",NA,"-",NA,"61 vs 58",0.88
"10430","A1CF",0.8016,"NA","83 vs 95","-",NA,"-",NA,"2 vs 4",0.96,"-",NA,"1 vs 0",1.03,"80 vs 91",0.8
"10431","RIT1",0.8016,"NA","23 vs 26","-",NA,"-",NA,"6 vs 2",1.1,"1 vs 1",0.91,"3 vs 8",0.84,"13 vs 15",0.94
"10432","SERBP1",0.8014,"NA","12 vs 11","-",NA,"-",NA,"-",NA,"0 vs 2",0.7,"11 vs 5",1.2,"1 vs 4",0.96
"10433","POLE2",0.8013,"NA","113 vs 115","-",NA,"-",NA,"8 vs 10",0.87,"-",NA,"2 vs 2",0.97,"103 vs 103",0.95
"10434","HOXC10",0.8013,"NA","75 vs 83","-",NA,"-",NA,"2 vs 3",0.87,"-",NA,"18 vs 15",1.16,"55 vs 65",0.79
"10435","PLA1A",0.8012,"NA","149 vs 136","-",NA,"-",NA,"10 vs 8",0.91,"-",NA,"-",NA,"139 vs 128",0.88
"10436","EAPP",0.8011,"NA","87 vs 98","-",NA,"-",NA,"2 vs 4",0.91,"-",NA,"-",NA,"85 vs 94",0.88
"10437","RNF167",0.8011,"NA","125 vs 129","-",NA,"-",NA,"12 vs 11",0.9,"-",NA,"-",NA,"113 vs 118",0.89
"10438","ALDH16A1",0.801,"NA","388 vs 388","-",NA,"-",NA,"17 vs 15",1.04,"-",NA,"-",NA,"371 vs 373",0.77
"10439","HMSD",0.801,"NA","38 vs 39","-",NA,"-",NA,"-",NA,"-",NA,"2 vs 1",1.02,"36 vs 38",0.79
"10440","CSNK1A1L",0.801,"NA","114 vs 121","-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"114 vs 121",0.8
"10441","STARD7",0.801,"NA","68 vs 74","-",NA,"-",NA,"6 vs 4",1.11,"-",NA,"28 vs 34",0.72,"34 vs 36",1
"10442","PNO1",0.8009,"NA","74 vs 80","-",NA,"-",NA,"0 vs 1",0.94,"-",NA,"-",NA,"74 vs 79",0.86
"10443","CRKL",0.8008,"NA","17 vs 20","-",NA,"-",NA,"3 vs 1",1.17,"1 vs 2",0.76,"8 vs 7",1,"5 vs 10",0.9
"10444","CSK",0.8008,"NA","27 vs 27","-",NA,"-",NA,"-",NA,"16 vs 14",0.86,"11 vs 13",0.93,"-",NA
"10445","RICTOR",0.8007,"NA","174 vs 161","1 vs 1",0.74,"-",NA,"-",NA,"7 vs 6",0.91,"60 vs 62",0.95,"106 vs 92",1.26
"10446","SGMS2",0.8006,"NA","78 vs 79","-",NA,"-",NA,"7 vs 6",0.97,"-",NA,"23 vs 20",0.95,"48 vs 53",0.87
"10447","SETD9",0.8006,"NA","65 vs 61","-",NA,"-",NA,"9 vs 18",0.75,"-",NA,"3 vs 0",1.1,"53 vs 43",0.97
"10448","RALGPS2",0.8006,"NA","61 vs 69","-",NA,"-",NA,"0 vs 2",0.87,"-",NA,"3 vs 4",0.98,"58 vs 63",0.93
"10449","PABPC3",0.8005,"NA","64 vs 69","-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"64 vs 69",0.8
"10450","OR6A2",0.8004,"NA","171 vs 154","-",NA,"-",NA,"15 vs 10",0.79,"-",NA,"-",NA,"156 vs 144",1.02
"10451","OR2AG2",0.8004,"NA","22 vs 33","-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"22 vs 33",0.8
"10452","LMOD3",0.8004,"NA","173 vs 180","-",NA,"-",NA,"5 vs 2",1.15,"-",NA,"-",NA,"168 vs 178",0.7
"10453","ZNF224",0.8004,"NA","142 vs 139","-",NA,"-",NA,"1 vs 1",0.95,"-",NA,"-",NA,"141 vs 138",0.84
"10454","ZNF620",0.8003,"NA","103 vs 105","-",NA,"-",NA,"1 vs 1",1,"-",NA,"-",NA,"102 vs 104",0.8
"10455","OR6C74",0.8003,"NA","72 vs 70","-",NA,"-",NA,"0 vs 1",0.94,"-",NA,"-",NA,"72 vs 69",0.86
"10456","KIF6",0.8003,"NA","234 vs 246","-",NA,"-",NA,"13 vs 11",1.37,"-",NA,"-",NA,"221 vs 235",0.58
"10457","CP",0.8002,"NA","199 vs 224","-",NA,"-",NA,"6 vs 6",1.11,"-",NA,"-",NA,"193 vs 218",0.72
"10458","ILK",0.8002,"NA","96 vs 89","-",NA,"-",NA,"1 vs 7",0.69,"-",NA,"19 vs 15",1.08,"76 vs 67",1.07
"10459","HRC",0.8002,"NA","162 vs 156","-",NA,"-",NA,"1 vs 5",0.85,"-",NA,"-",NA,"161 vs 151",0.94
"10460","OR4C12",0.8001,"NA","45 vs 51","-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"45 vs 51",0.8
"10461","CENPP",0.8,"NA","83 vs 103","-",NA,"-",NA,"1 vs 0",1.06,"-",NA,"-",NA,"82 vs 103",0.75
"10462","FAM49A",0.8,"NA","28 vs 28","-",NA,"-",NA,"0 vs 1",0.94,"13 vs 10",0.96,"6 vs 10",0.87,"9 vs 7",1.02
"10463","IL36RN",0.8,"NA","68 vs 70","-",NA,"-",NA,"1 vs 0",1.06,"-",NA,"-",NA,"67 vs 70",0.75
"10464","RAB23",0.7999,"NA","76 vs 67","-",NA,"-",NA,"19 vs 17",0.79,"-",NA,"-",NA,"57 vs 50",1.01
"10465","RNF166",0.7999,"NA","38 vs 42","-",NA,"-",NA,"-",NA,"-",NA,"1 vs 2",0.95,"37 vs 40",0.84
"10466","GNPAT",0.7999,"NA","141 vs 138","-",NA,"-",NA,"1 vs 1",1,"-",NA,"3 vs 1",1.05,"137 vs 136",0.77
"10467","LCMT2",0.7998,"NA","196 vs 199","-",NA,"-",NA,"21 vs 20",0.98,"-",NA,"-",NA,"175 vs 179",0.82
"10468","TUSC1",0.7997,"NA","75 vs 80","-",NA,"-",NA,"2 vs 2",0.95,"1 vs 0",1.17,"46 vs 39",0.91,"26 vs 39",0.79
"10469","ZNF331",0.7996,"NA","60 vs 78","-",NA,"-",NA,"-",NA,"-",NA,"33 vs 47",0.78,"27 vs 31",1.02
"10470","TMEM120B",0.7996,"NA","52 vs 72","-",NA,"-",NA,"0 vs 1",0.94,"-",NA,"16 vs 13",1.1,"36 vs 58",0.78
"10471","MRPL48",0.7996,"NA","43 vs 54","-",NA,"-",NA,"1 vs 1",1,"-",NA,"-",NA,"42 vs 53",0.8
"10472","WDR59",0.7995,"NA","176 vs 162","-",NA,"-",NA,"7 vs 6",0.99,"3 vs 4",0.76,"6 vs 12",0.79,"160 vs 140",1.33
"10473","WDR75",0.7995,"NA","208 vs 243","-",NA,"-",NA,"11 vs 4",1.38,"-",NA,"-",NA,"197 vs 239",0.58
"10474","PLAU",0.7993,"NA","123 vs 120","-",NA,"-",NA,"7 vs 5",0.95,"-",NA,"21 vs 22",0.9,"95 vs 93",0.94
"10475","DIS3",0.7992,"NA","212 vs 209","-",NA,"-",NA,"13 vs 22",0.79,"-",NA,"-",NA,"199 vs 187",1.01
"10476","GPAM",0.7992,"NA","171 vs 161","-",NA,"-",NA,"2 vs 1",1.06,"-",NA,"6 vs 12",0.81,"163 vs 148",0.93
"10477","SGCB",0.799,"NA","106 vs 123","-",NA,"-",NA,"9 vs 4",1.2,"-",NA,"-",NA,"97 vs 119",0.67
"10478","STXBP6",0.7988,"NA","27 vs 31","-",NA,"-",NA,"1 vs 3",0.87,"-",NA,"-",NA,"26 vs 28",0.92
"10479","SCNM1",0.7988,"NA","59 vs 65","-",NA,"-",NA,"2 vs 4",0.86,"-",NA,"3 vs 2",0.99,"54 vs 59",0.94
"10480","IVD",0.7988,"NA","113 vs 111","-",NA,"-",NA,"8 vs 13",0.68,"-",NA,"25 vs 21",0.98,"80 vs 77",1.21
"10481","CDC42EP2",0.7988,"NA","39 vs 49","-",NA,"-",NA,"0 vs 1",0.94,"-",NA,"13 vs 12",1.04,"26 vs 36",0.82
"10482","DECR2",0.7988,"NA","124 vs 149","-",NA,"-",NA,"4 vs 2",1.27,"-",NA,"-",NA,"120 vs 147",0.63
"10483","FBXO46",0.7986,"NA","74 vs 81","-",NA,"-",NA,"-",NA,"0 vs 1",0.83,"48 vs 52",1.11,"26 vs 28",0.87
"10484","TIRAP",0.7985,"NA","55 vs 54","-",NA,"-",NA,"1 vs 2",0.92,"-",NA,"-",NA,"54 vs 52",0.87
"10485","CABS1",0.7985,"NA","55 vs 64","-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"55 vs 64",0.8
"10486","HMGB4",0.7984,"NA","45 vs 54","-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"45 vs 54",0.8
"10487","B2M",0.7984,"NA","7 vs 9","-",NA,"-",NA,"-",NA,"1 vs 2",0.8,"3 vs 4",0.99,"3 vs 3",1.01
"10488","LEMD2",0.7984,"NA","103 vs 82","-",NA,"1 vs 2",0.39,"-",NA,"11 vs 6",1.68,"74 vs 61",1.24,"17 vs 13",0.99
"10489","CANT1",0.7984,"NA","120 vs 136","-",NA,"-",NA,"2 vs 7",0.67,"-",NA,"28 vs 28",1.03,"90 vs 101",1.15
"10490","SCAF4",0.7983,"NA","182 vs 187","4 vs 2",1.39,"-",NA,"-",NA,"0 vs 3",0.58,"8 vs 11",0.91,"170 vs 171",1.09
"10491","CPEB2",0.7983,"NA","174 vs 174","-",NA,"-",NA,"18 vs 8",1.49,"14 vs 13",0.65,"9 vs 8",1,"133 vs 145",0.83
"10492","MZB1",0.7982,"NA","59 vs 68","-",NA,"-",NA,"1 vs 0",1.06,"-",NA,"-",NA,"58 vs 68",0.75
"10493","IRF8",0.7981,"NA","111 vs 102","-",NA,"-",NA,"-",NA,"1 vs 0",1.17,"52 vs 49",0.66,"58 vs 53",1.03
"10494","ZNF730",0.7981,"NA","107 vs 113","-",NA,"-",NA,"3 vs 3",0.97,"-",NA,"-",NA,"104 vs 110",0.82
"10495","DNAJC28",0.798,"NA","91 vs 106","-",NA,"-",NA,"18 vs 17",0.94,"-",NA,"-",NA,"73 vs 89",0.85
"10496","FOLR3",0.798,"NA","10 vs 25","-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"10 vs 25",0.8
"10497","TMUB1",0.7978,"NA","35 vs 43","-",NA,"-",NA,"-",NA,"-",NA,"7 vs 6",0.97,"28 vs 37",0.82
"10498","NR1H2",0.7977,"5","67 vs 74","-",NA,"-",NA,"1 vs 3",0.87,"5 vs 4",1.02,"6 vs 7",1.01,"55 vs 60",0.89
"10499","NLRP8",0.7977,"NA","338 vs 322","-",NA,"-",NA,"14 vs 16",0.68,"-",NA,"-",NA,"324 vs 306",1.18
"10500","FBXL22",0.7976,"NA","61 vs 64","-",NA,"-",NA,"0 vs 1",0.94,"-",NA,"1 vs 0",1.03,"60 vs 63",0.83
"10501","STMND1",0.7976,"NA","1 vs 5","-",NA,"-",NA,"1 vs 5",0.8,"-",NA,"-",NA,"-",NA
"10502","DYNLL2",0.7975,"NA","9 vs 7","-",NA,"-",NA,"-",NA,"1 vs 3",0.74,"8 vs 4",1.08,"-",NA
"10503","TRAM1",0.7974,"NA","109 vs 96","-",NA,"1 vs 1",0.76,"-",NA,"-",NA,"18 vs 16",0.96,"90 vs 79",1.1
"10504","C15orf62",0.7974,"4","3 vs 6","-",NA,"-",NA,"3 vs 6",0.8,"-",NA,"-",NA,"-",NA
"10505","LILRA2",0.7974,"NA","71 vs 96","-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"71 vs 96",0.8
"10506","NMU",0.7973,"NA","40 vs 38","-",NA,"-",NA,"1 vs 3",0.86,"-",NA,"-",NA,"39 vs 35",0.92
"10507","ZBTB6",0.7972,"NA","58 vs 60","-",NA,"-",NA,"3 vs 4",0.86,"-",NA,"24 vs 27",0.91,"31 vs 29",1.01
"10508","IAPP",0.7972,"NA","35 vs 40","-",NA,"-",NA,"7 vs 10",0.91,"-",NA,"-",NA,"28 vs 30",0.88
"10509","EFNA1",0.7972,"NA","78 vs 76","-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"78 vs 76",0.8
"10510","MAPKAP1",0.7972,"NA","58 vs 64","2 vs 1",1.16,"-",NA,"-",NA,"2 vs 3",0.74,"19 vs 20",0.95,"35 vs 40",0.97
"10511","TUBGCP5",0.7971,"4","7 vs 10","-",NA,"-",NA,"7 vs 10",0.8,"-",NA,"-",NA,"-",NA
"10512","AKT3",0.797,"NA","15 vs 10","-",NA,"-",NA,"-",NA,"2 vs 3",0.72,"13 vs 7",1.11,"-",NA
"10513","KCNK6",0.797,"NA","145 vs 117","-",NA,"-",NA,"10 vs 11",0.91,"3 vs 5",0.55,"14 vs 10",1.1,"118 vs 91",1.46
"10514","MRPS26",0.797,"NA","63 vs 72","-",NA,"-",NA,"2 vs 2",0.99,"-",NA,"22 vs 23",0.79,"39 vs 47",1.01
"10515","BSDC1",0.7969,"NA","103 vs 103","-",NA,"-",NA,"0 vs 2",0.87,"-",NA,"1 vs 0",1.03,"102 vs 101",0.88
"10516","IFIT2",0.7968,"NA","81 vs 86","-",NA,"-",NA,"1 vs 1",0.95,"-",NA,"-",NA,"80 vs 85",0.83
"10517","MBLAC2",0.7968,"NA","57 vs 66","-",NA,"-",NA,"7 vs 7",1,"-",NA,"16 vs 14",0.93,"34 vs 45",0.86
"10518","PKP2",0.7967,"NA","110 vs 109","-",NA,"-",NA,"2 vs 4",0.8,"-",NA,"-",NA,"108 vs 105",1
"10519","BBS12",0.7968,"NA","121 vs 128","-",NA,"-",NA,"1 vs 0",1.06,"-",NA,"-",NA,"120 vs 128",0.75
"10520","PGM2L1",0.7966,"NA","75 vs 85","-",NA,"-",NA,"2 vs 3",0.97,"1 vs 0",1.17,"30 vs 44",0.62,"42 vs 38",1.13
"10521","SIGIRR",0.7966,"NA","121 vs 121","-",NA,"-",NA,"13 vs 15",1.09,"-",NA,"3 vs 4",0.99,"105 vs 102",0.73
"10522","NGFR",0.7966,"NA","75 vs 83","-",NA,"-",NA,"1 vs 0",1.06,"-",NA,"28 vs 26",1,"46 vs 57",0.75
"10523","C1QL2",0.7966,"NA","25 vs 23","-",NA,"-",NA,"-",NA,"7 vs 7",0.77,"14 vs 11",1.02,"4 vs 5",1.01
"10524","CCDC60",0.7966,"NA","164 vs 165","-",NA,"-",NA,"18 vs 12",1.24,"-",NA,"-",NA,"146 vs 153",0.64
"10525","PCK1",0.7966,"NA","209 vs 192","-",NA,"-",NA,"6 vs 6",0.85,"-",NA,"-",NA,"203 vs 186",0.94
"10526","FAM177B",0.7964,"NA","26 vs 35","-",NA,"-",NA,"2 vs 4",0.91,"-",NA,"-",NA,"24 vs 31",0.88
"10527","SPINK7",0.7963,"NA","22 vs 31","-",NA,"-",NA,"0 vs 3",0.86,"-",NA,"-",NA,"22 vs 28",0.93
"10528","C4orf19",0.7963,"NA","110 vs 138","-",NA,"-",NA,"1 vs 0",1.06,"-",NA,"-",NA,"109 vs 138",0.75
"10529","SLCO1B1",0.7962,"NA","188 vs 189","-",NA,"-",NA,"3 vs 8",0.79,"-",NA,"-",NA,"185 vs 181",1.01
"10530","RPS19BP1",0.7962,"NA","26 vs 27","-",NA,"-",NA,"1 vs 2",0.93,"-",NA,"11 vs 13",0.88,"14 vs 12",0.97
"10531","ZNF134",0.7961,"NA","186 vs 195","-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"186 vs 195",0.8
"10532","ODF4",0.7961,"NA","40 vs 52","-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"40 vs 52",0.8
"10533","HSPA13",0.796,"NA","67 vs 81","-",NA,"-",NA,"0 vs 2",0.92,"-",NA,"9 vs 18",0.8,"58 vs 61",1.09
"10534","C1orf50",0.796,"NA","50 vs 56","-",NA,"-",NA,"6 vs 10",0.82,"-",NA,"-",NA,"44 vs 46",0.98
"10535","C10orf71",0.796,"NA","471 vs 488","-",NA,"-",NA,"-",NA,"-",NA,"9 vs 7",1.01,"462 vs 481",0.79
"10536","GSTA5",0.7958,"NA","56 vs 51","-",NA,"-",NA,"28 vs 35",0.63,"-",NA,"-",NA,"28 vs 16",1.26
"10537","GSX1",0.7958,"NA","42 vs 44","-",NA,"-",NA,"-",NA,"0 vs 1",0.83,"25 vs 20",1.1,"17 vs 23",0.87
"10538","FAIM",0.7958,"NA","35 vs 50","-",NA,"-",NA,"7 vs 4",1.01,"-",NA,"2 vs 2",0.97,"26 vs 44",0.81
"10539","PTPRN2",0.7958,"NA","430 vs 426","-",NA,"-",NA,"6 vs 7",0.87,"-",NA,"-",NA,"424 vs 419",0.92
"10540","GOPC",0.7958,"NA","71 vs 77","-",NA,"-",NA,"0 vs 1",0.94,"-",NA,"35 vs 29",1.13,"36 vs 47",0.75
"10541","LIM2",0.7957,"NA","78 vs 104","-",NA,"-",NA,"4 vs 0",1.33,"-",NA,"-",NA,"74 vs 104",0.6
"10542","CCDC65",0.7957,"NA","155 vs 154","-",NA,"-",NA,"9 vs 5",1.02,"-",NA,"-",NA,"146 vs 149",0.78
"10543","SPESP1",0.7956,"NA","62 vs 73","-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"62 vs 73",0.8
"10544","OR52N2",0.7955,"NA","45 vs 53","-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"45 vs 53",0.8
"10545","EGF",0.7955,"NA","250 vs 223","-",NA,"-",NA,"13 vs 16",0.6,"-",NA,"-",NA,"237 vs 207",1.32
"10546","AKNA",0.7955,"NA","574 vs 532","-",NA,"-",NA,"3 vs 3",0.99,"-",NA,"-",NA,"571 vs 529",0.81
"10547","ZNF559",0.7954,"4","174 vs 182","-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"174 vs 182",0.8
"10548","CETN1",0.7953,"NA","40 vs 43","-",NA,"-",NA,"2 vs 7",0.85,"-",NA,"13 vs 14",0.89,"25 vs 22",1.05
"10549","DPY19L3",0.7953,"NA","149 vs 158","-",NA,"-",NA,"12 vs 4",1.29,"-",NA,"14 vs 9",1.24,"123 vs 145",0.5
"10550","RPUSD2",0.795,"NA","181 vs 186","-",NA,"-",NA,"4 vs 8",0.75,"-",NA,"7 vs 5",1.03,"170 vs 173",1.02
"10551","DRG2",0.795,"NA","48 vs 57","-",NA,"-",NA,"2 vs 2",0.95,"-",NA,"25 vs 23",1,"21 vs 32",0.84
"10552","EPHX3",0.7949,"NA","129 vs 121","-",NA,"-",NA,"8 vs 8",0.94,"-",NA,"-",NA,"121 vs 113",0.84
"10553","VGLL2",0.7949,"NA","82 vs 66","-",NA,"1 vs 1",0.66,"-",NA,"-",NA,"39 vs 25",1.16,"42 vs 40",1.04
"10554","COL25A1",0.7949,"NA","143 vs 147","-",NA,"-",NA,"6 vs 8",0.89,"-",NA,"30 vs 28",1.03,"107 vs 111",0.87
"10555","NIT2",0.7949,"NA","78 vs 76","-",NA,"-",NA,"9 vs 8",0.98,"-",NA,"-",NA,"69 vs 68",0.81
"10556","NELL2",0.7948,"NA","171 vs 197","-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"171 vs 197",0.79
"10557","IFT20",0.7948,"NA","30 vs 37","-",NA,"-",NA,"0 vs 1",0.94,"-",NA,"-",NA,"30 vs 36",0.85
"10558","ECM1",0.7947,"NA","139 vs 138","-",NA,"-",NA,"4 vs 4",0.94,"-",NA,"-",NA,"135 vs 134",0.84
"10559","NOSIP",0.7947,"NA","44 vs 49","-",NA,"-",NA,"5 vs 5",0.97,"-",NA,"15 vs 18",0.87,"24 vs 26",0.94
