"","LoF_T","LoF_UT","LoF_OR","LoF_P_value","Missense_T","Missense_UT","Missense_OR","Missense_P_value","All_variants_T","All_variants_UT","All_variants_OR","All_variants_P_value"
"PIK3AP1",0,0,0,1,0,0,0,1,0,0,0,1
"LCOR",0,0,0,1,0,0,0,1,0,0,0,1
"SLIT1",1,0,Inf,0.5,0,0,0,1,1,0,Inf,0.5
"ARHGAP19",1,0,Inf,0.5,0,0,0,1,1,0,Inf,0.5
"FRAT1",0,0,0,1,6,8,0.750009838798097,0.78802490234375,6,8,0.750009838798097,0.78802490234375
"FRAT2",0,0,0,1,11,10,1.09998370194395,0.5,11,10,1.09998370194395,0.5
"RRP12",4,2,1.99994297987752,0.34375,1,0,Inf,0.5,5,2,2.50006680582914,0.2265625
"PGAM1",0,0,0,1,0,1,0,1,0,1,0,1
"EXOSC1",2,2,1,0.6875,0,0,0,1,2,2,1,0.6875
"ZDHHC16",1,3,0.33332444571292,0.9375,0,0,0,1,1,3,0.33332444571292,0.9375
"MMS19",2,0,Inf,0.25,0,0,0,1,2,0,Inf,0.25
"UBTD1",0,0,0,1,0,0,0,1,0,0,0,1
"ANKRD2",1,0,Inf,0.5,0,0,0,1,1,0,Inf,0.5
"HOGA1",3,0,Inf,0.125,0,0,0,1,3,0,Inf,0.125
"C10orf62",0,0,0,1,0,0,0,1,0,0,0,1
"MORN4",0,0,0,1,0,0,0,1,0,0,0,1
"PI4K2A",0,0,0,1,9,12,0.750009839348803,0.808344841003418,9,12,0.750009839348803,0.808344841003418
"AVPI1",7,10,0.700011654785446,0.833847045898437,0,0,0,1,7,10,0.700011654785446,0.833847045898437
"ZFYVE27",1,2,0.500014255100735,0.875,0,0,0,1,1,2,0.500014255100735,0.875
"SFRP5",0,3,0,1,0,0,0,1,0,3,0,1
"GOLGA7B",0,0,0,1,0,0,0,1,0,0,0,1
"CRTAC1",0,0,0,1,0,0,0,1,0,0,0,1
"R3HCC1L",6,5,1.19999087482567,0.5,0,0,0,1,6,5,1.19999087482567,0.5
"LOXL4",4,0,Inf,0.0625,0,0,0,1,4,0,Inf,0.0625
