"","Burden.OR","Burden.pvalue","MIRAGE.risk.prop","MIRAGE.pvalue","cate.index","No.var.case","No.var.control","combine.feature"
"65",1.06034482758621,0.276075889283126,0.0336247569560303,0.4662757065728,"Missense; AF<0.1%",246,232,"SIFT<0.05_High_1e-4<MAF<1e-3"
"66",1.08021390374332,0.149237510250949,0.0577094275712868,0.258994849687452,"Missense; AF<0.1%",404,374,"SIFT<0.05_High_MAF<1e-4"
"67",0.971579961464355,0.825836989051803,1.40698023836565e-05,1,"Missense; AF>0.1%",2017,2076,"SIFT<0.05_Mod_le-3<MAF<1e-2"
"68",1.10632570659489,0.0243054934407695,0.000150851779458185,1,"Missense; AF<0.1%",822,743,"SIFT<0.05_Mod_1e-4<MAF<1e-3"
"69",1.03990024937656,0.171369827073357,0.0426416866682117,0.129196221149478,"Missense; AF<0.1%",1251,1203,"SIFT<0.05_Mod_MAF<1e-4"
"70",0.942867409270571,0.98522385144132,1.04800106593958e-05,1,"Missense; AF>0.1%",2624,2783,"SIFT<0.05_PSD_le-3<MAF<1e-2"
"71",0.97169143665959,0.781350489858248,0.0182417864383319,0.124791653122286,"Missense; AF<0.1%",1373,1413,"SIFT<0.05_PSD_1e-4<MAF<1e-3"
"72",1.03419483101392,0.117341198930855,0.0482552576091535,0.00761591156491689,"Missense; AF<0.1%",2601,2515,"SIFT<0.05_PSD_MAF<1e-4"
"73",0.958474745458175,0.982579622619107,6.77030473806625e-06,1,"Missense; AF>0.1%",4801,5009,"SIFT<0.05_FMRP_le-3<MAF<1e-2"
"74",0.960999123575811,0.91075251043107,0.000108142469699689,1,"Missense; AF<0.1%",2193,2282,"SIFT<0.05_FMRP_1e-4<MAF<1e-3"
"75",1.03018307768431,0.0908165616400486,0.0364564510920836,0.0127643951694998,"Missense; AF<0.1%",4164,4042,"SIFT<0.05_FMRP_MAF<1e-4"
"76",1.01814300960512,0.25339801167888,0.00329491002860855,0.747592707640366,"Missense; AF>0.1%",2862,2811,"SIFT<0.05_AutismKB_le-3<MAF<1e-2"
"77",1.07757805108798,0.041937821529097,0.000346964064694541,1,"Missense; AF<0.1%",1139,1057,"SIFT<0.05_AutismKB_1e-4<MAF<1e-3"
"78",1.10797101449275,0.00302969553663009,0.0831013849488675,0.000913597612050134,"Missense; AF<0.1%",1529,1380,"SIFT<0.05_AutismKB_MAF<1e-4"
"79",0.952465308532625,0.976825205903826,1.61067158393546e-06,1,"Missense; AF>0.1%",3226,3387,"SIFT<0.05_constraint gene_le-3<MAF<1e-2"
"80",0.969363707776905,0.787817891892324,0.000146430439866066,1,"Missense; AF<0.1%",1234,1273,"SIFT<0.05_constraint gene_1e-4<MAF<1e-3"
"81",1.03271537622683,0.116989726017841,0.0520893734060311,0.00261625337853162,"Missense; AF<0.1%",2841,2751,"SIFT<0.05_constraint gene_MAF<1e-4"
"82",0.980889817856076,0.868626441673425,1.06559133848413e-05,1,"Missense; AF>0.1%",6570,6698,"SIFT<0.05_RVIS_le-3<MAF<1e-2"
"83",0.982633053221289,0.773020052254464,0.000394750151077014,1,"Missense; AF<0.1%",3508,3570,"SIFT<0.05_RVIS_1e-4<MAF<1e-3"
"84",1.02445141065831,0.0863056689909602,0.0349134173279153,0.00269078778067644,"Missense; AF<0.1%",6536,6380,"SIFT<0.05_RVIS_MAF<1e-4"
"85",0.989431147031396,0.870586818797908,9.55153258038298e-06,1,"Missense; AF>0.1%",22281,22519,"SIFT<0.05_Haploinsuff_le-3<MAF<1e-2"
"86",0.994156560088203,0.655981896288875,0.000407834715867914,1,"Missense; AF<0.1%",9017,9070,"SIFT<0.05_Haploinsuff_1e-4<MAF<1e-3"
